start	end	type	var
270713	270714	IS_AST_PARENT	
270713	270715	IS_AST_PARENT	
270716	270717	IS_AST_PARENT	
270718	270719	IS_AST_PARENT	
270718	270720	IS_AST_PARENT	
270716	270718	IS_AST_PARENT	
270713	270716	IS_AST_PARENT	
270712	270713	IS_AST_PARENT	
270711	270712	IS_AST_PARENT	
270722	270723	IS_AST_PARENT	
270722	270724	IS_AST_PARENT	
270721	270722	IS_AST_PARENT	
270725	270726	IS_AST_PARENT	
270725	270727	IS_AST_PARENT	
270721	270725	IS_AST_PARENT	
270711	270721	IS_AST_PARENT	
270731	270732	IS_AST_PARENT	
270731	270733	IS_AST_PARENT	
270730	270731	IS_AST_PARENT	
270730	270734	IS_AST_PARENT	
270729	270730	IS_AST_PARENT	
270728	270729	IS_AST_PARENT	
270737	270738	IS_AST_PARENT	
270736	270737	IS_AST_PARENT	
270740	270741	IS_AST_PARENT	
270739	270740	IS_AST_PARENT	
270742	270743	IS_AST_PARENT	
270739	270742	IS_AST_PARENT	
270744	270745	IS_AST_PARENT	
270739	270744	IS_AST_PARENT	
270736	270739	IS_AST_PARENT	
270735	270736	IS_AST_PARENT	
270728	270735	IS_AST_PARENT	
270711	270728	IS_AST_PARENT	
270748	270749	IS_AST_PARENT	
270747	270748	IS_AST_PARENT	
270752	270753	IS_AST_PARENT	
270754	270755	IS_AST_PARENT	
270754	270756	IS_AST_PARENT	
270752	270754	IS_AST_PARENT	
270751	270752	IS_AST_PARENT	
270750	270751	IS_AST_PARENT	
270747	270750	IS_AST_PARENT	
270746	270747	IS_AST_PARENT	
270711	270746	IS_AST_PARENT	
270760	270761	IS_AST_PARENT	
270760	270762	IS_AST_PARENT	
270759	270760	IS_AST_PARENT	
270759	270763	IS_AST_PARENT	
270758	270759	IS_AST_PARENT	
270765	270766	IS_AST_PARENT	
270765	270767	IS_AST_PARENT	
270764	270765	IS_AST_PARENT	
270764	270768	IS_AST_PARENT	
270758	270764	IS_AST_PARENT	
270757	270758	IS_AST_PARENT	
270711	270757	IS_AST_PARENT	
270772	270773	IS_AST_PARENT	
270772	270774	IS_AST_PARENT	
270771	270772	IS_AST_PARENT	
270775	270776	IS_AST_PARENT	
270775	270777	IS_AST_PARENT	
270771	270775	IS_AST_PARENT	
270770	270771	IS_AST_PARENT	
270769	270770	IS_AST_PARENT	
270782	270783	IS_AST_PARENT	
270781	270782	IS_AST_PARENT	
270786	270787	IS_AST_PARENT	
270788	270789	IS_AST_PARENT	
270788	270790	IS_AST_PARENT	
270786	270788	IS_AST_PARENT	
270785	270786	IS_AST_PARENT	
270784	270785	IS_AST_PARENT	
270792	270793	IS_AST_PARENT	
270792	270794	IS_AST_PARENT	
270791	270792	IS_AST_PARENT	
270784	270791	IS_AST_PARENT	
270796	270797	IS_AST_PARENT	
270796	270798	IS_AST_PARENT	
270795	270796	IS_AST_PARENT	
270784	270795	IS_AST_PARENT	
270781	270784	IS_AST_PARENT	
270780	270781	IS_AST_PARENT	
270780	270799	IS_AST_PARENT	
270779	270780	IS_AST_PARENT	
270778	270779	IS_AST_PARENT	
270802	270803	IS_AST_PARENT	
