command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	759392	File	/home/p4ultr4n/workplace/ReVeal/raw_code/av_set_options_string_1.c								
ANR	759393	Function	av_set_options_string	1:0:0:381							
ANR	759394	FunctionDef	"av_set_options_string (void * ctx , const char * opts , const char * key_val_sep , const char * pairs_sep)"		759393	0					
ANR	759395	CompoundStatement		5:0:131:381	759393	0					
ANR	759396	IdentifierDeclStatement	"int ret , count = 0 ;"	7:4:138:156	759393	0	True				
ANR	759397	IdentifierDecl	ret		759393	0					
ANR	759398	IdentifierDeclType	int		759393	0					
ANR	759399	Identifier	ret		759393	1					
ANR	759400	IdentifierDecl	count = 0		759393	1					
ANR	759401	IdentifierDeclType	int		759393	0					
ANR	759402	Identifier	count		759393	1					
ANR	759403	AssignmentExpression	count = 0		759393	2		=			
ANR	759404	Identifier	count		759393	0					
ANR	759405	PrimaryExpression	0		759393	1					
ANR	759406	WhileStatement	while ( * opts )		759393	1					
ANR	759407	Condition	* opts	13:11:174:178	759393	0	True				
ANR	759408	UnaryOperationExpression	* opts		759393	0					
ANR	759409	UnaryOperator	*		759393	0					
ANR	759410	Identifier	opts		759393	1					
ANR	759411	CompoundStatement		9:18:49:49	759393	1					
ANR	759412	IfStatement	"if ( ( ret = parse_key_value_pair ( ctx , & opts , key_val_sep , pairs_sep ) ) < 0 )"		759393	0					
ANR	759413	Condition	"( ret = parse_key_value_pair ( ctx , & opts , key_val_sep , pairs_sep ) ) < 0"	15:12:196:263	759393	0	True				
ANR	759414	RelationalExpression	"( ret = parse_key_value_pair ( ctx , & opts , key_val_sep , pairs_sep ) ) < 0"		759393	0		<			
ANR	759415	AssignmentExpression	"ret = parse_key_value_pair ( ctx , & opts , key_val_sep , pairs_sep )"		759393	0		=			
ANR	759416	Identifier	ret		759393	0					
ANR	759417	CallExpression	"parse_key_value_pair ( ctx , & opts , key_val_sep , pairs_sep )"		759393	1					
ANR	759418	Callee	parse_key_value_pair		759393	0					
ANR	759419	Identifier	parse_key_value_pair		759393	0					
ANR	759420	ArgumentList	ctx		759393	1					
ANR	759421	Argument	ctx		759393	0					
ANR	759422	Identifier	ctx		759393	0					
ANR	759423	Argument	& opts		759393	1					
ANR	759424	UnaryOperationExpression	& opts		759393	0					
ANR	759425	UnaryOperator	&		759393	0					
ANR	759426	Identifier	opts		759393	1					
ANR	759427	Argument	key_val_sep		759393	2					
ANR	759428	Identifier	key_val_sep		759393	0					
ANR	759429	Argument	pairs_sep		759393	3					
ANR	759430	Identifier	pairs_sep		759393	0					
ANR	759431	PrimaryExpression	0		759393	1					
ANR	759432	ReturnStatement	return ret ;	17:12:279:289	759393	1	True				
ANR	759433	Identifier	ret		759393	0					
ANR	759434	ExpressionStatement	count ++	19:8:300:307	759393	1	True				
ANR	759435	PostIncDecOperationExpression	count ++		759393	0					
ANR	759436	Identifier	count		759393	0					
ANR	759437	IncDec	++		759393	1					
ANR	759438	IfStatement	if ( * opts )		759393	2					
ANR	759439	Condition	* opts	23:12:324:328	759393	0	True				
ANR	759440	UnaryOperationExpression	* opts		759393	0					
ANR	759441	UnaryOperator	*		759393	0					
ANR	759442	Identifier	opts		759393	1					
ANR	759443	ExpressionStatement	opts ++	25:12:344:350	759393	1	True				
ANR	759444	PostIncDecOperationExpression	opts ++		759393	0					
ANR	759445	Identifier	opts		759393	0					
ANR	759446	IncDec	++		759393	1					
ANR	759447	ReturnStatement	return count ;	31:4:366:378	759393	2	True				
ANR	759448	Identifier	count		759393	0					
ANR	759449	ReturnType	int		759393	1					
ANR	759450	Identifier	av_set_options_string		759393	2					
ANR	759451	ParameterList	"void * ctx , const char * opts , const char * key_val_sep , const char * pairs_sep"		759393	3					
ANR	759452	Parameter	void * ctx	1:26:26:34	759393	0	True				
ANR	759453	ParameterType	void *		759393	0					
ANR	759454	Identifier	ctx		759393	1					
ANR	759455	Parameter	const char * opts	1:37:37:52	759393	1	True				
ANR	759456	ParameterType	const char *		759393	0					
ANR	759457	Identifier	opts		759393	1					
ANR	759458	Parameter	const char * key_val_sep	3:26:82:104	759393	2	True				
ANR	759459	ParameterType	const char *		759393	0					
ANR	759460	Identifier	key_val_sep		759393	1					
ANR	759461	Parameter	const char * pairs_sep	3:51:107:127	759393	3	True				
ANR	759462	ParameterType	const char *		759393	0					
ANR	759463	Identifier	pairs_sep		759393	1					
ANR	759464	CFGEntryNode	ENTRY		759393		True				
ANR	759465	CFGExitNode	EXIT		759393		True				
ANR	759466	Symbol	ret		759393						
ANR	759467	Symbol	pairs_sep		759393						
ANR	759468	Symbol	opts		759393						
ANR	759469	Symbol	* opts		759393						
ANR	759470	Symbol	& opts		759393						
ANR	759471	Symbol	ctx		759393						
ANR	759472	Symbol	count		759393						
ANR	759473	Symbol	parse_key_value_pair		759393						
ANR	759474	Symbol	key_val_sep		759393						
