command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	933128	File	/home/p4ultr4n/workplace/ReVeal/raw_code/bcm2835_peripherals_realize_0.c								
ANR	933129	Function	bcm2835_peripherals_realize	1:0:0:6840							
ANR	933130	FunctionDef	"bcm2835_peripherals_realize (DeviceState * dev , Error * * errp)"		933129	0					
ANR	933131	CompoundStatement		3:0:73:6840	933129	0					
ANR	933132	IdentifierDeclStatement	BCM2835PeripheralState * s = BCM2835_PERIPHERALS ( dev ) ;	5:4:80:132	933129	0	True				
ANR	933133	IdentifierDecl	* s = BCM2835_PERIPHERALS ( dev )		933129	0					
ANR	933134	IdentifierDeclType	BCM2835PeripheralState *		933129	0					
ANR	933135	Identifier	s		933129	1					
ANR	933136	AssignmentExpression	* s = BCM2835_PERIPHERALS ( dev )		933129	2		=			
ANR	933137	Identifier	s		933129	0					
ANR	933138	CallExpression	BCM2835_PERIPHERALS ( dev )		933129	1					
ANR	933139	Callee	BCM2835_PERIPHERALS		933129	0					
ANR	933140	Identifier	BCM2835_PERIPHERALS		933129	0					
ANR	933141	ArgumentList	dev		933129	1					
ANR	933142	Argument	dev		933129	0					
ANR	933143	Identifier	dev		933129	0					
ANR	933144	IdentifierDeclStatement	Object * obj ;	7:4:139:150	933129	1	True				
ANR	933145	IdentifierDecl	* obj		933129	0					
ANR	933146	IdentifierDeclType	Object *		933129	0					
ANR	933147	Identifier	obj		933129	1					
ANR	933148	IdentifierDeclStatement	MemoryRegion * ram ;	9:4:157:174	933129	2	True				
ANR	933149	IdentifierDecl	* ram		933129	0					
ANR	933150	IdentifierDeclType	MemoryRegion *		933129	0					
ANR	933151	Identifier	ram		933129	1					
ANR	933152	IdentifierDeclStatement	Error * err = NULL ;	11:4:181:198	933129	3	True				
ANR	933153	IdentifierDecl	* err = NULL		933129	0					
ANR	933154	IdentifierDeclType	Error *		933129	0					
ANR	933155	Identifier	err		933129	1					
ANR	933156	AssignmentExpression	* err = NULL		933129	2		=			
ANR	933157	Identifier	NULL		933129	0					
ANR	933158	Identifier	NULL		933129	1					
ANR	933159	IdentifierDeclStatement	"uint32_t ram_size , vcram_size ;"	13:4:205:234	933129	4	True				
ANR	933160	IdentifierDecl	ram_size		933129	0					
ANR	933161	IdentifierDeclType	uint32_t		933129	0					
ANR	933162	Identifier	ram_size		933129	1					
ANR	933163	IdentifierDecl	vcram_size		933129	1					
ANR	933164	IdentifierDeclType	uint32_t		933129	0					
ANR	933165	Identifier	vcram_size		933129	1					
ANR	933166	IdentifierDeclStatement	int n ;	15:4:241:246	933129	5	True				
ANR	933167	IdentifierDecl	n		933129	0					
ANR	933168	IdentifierDeclType	int		933129	0					
ANR	933169	Identifier	n		933129	1					
ANR	933170	ExpressionStatement	"obj = object_property_get_link ( OBJECT ( dev ) , ""ram"" , & err )"	19:4:255:311	933129	6	True				
ANR	933171	AssignmentExpression	"obj = object_property_get_link ( OBJECT ( dev ) , ""ram"" , & err )"		933129	0		=			
ANR	933172	Identifier	obj		933129	0					
ANR	933173	CallExpression	"object_property_get_link ( OBJECT ( dev ) , ""ram"" , & err )"		933129	1					
ANR	933174	Callee	object_property_get_link		933129	0					
ANR	933175	Identifier	object_property_get_link		933129	0					
ANR	933176	ArgumentList	OBJECT ( dev )		933129	1					
ANR	933177	Argument	OBJECT ( dev )		933129	0					
ANR	933178	CallExpression	OBJECT ( dev )		933129	0					
ANR	933179	Callee	OBJECT		933129	0					
ANR	933180	Identifier	OBJECT		933129	0					
ANR	933181	ArgumentList	dev		933129	1					
ANR	933182	Argument	dev		933129	0					
ANR	933183	Identifier	dev		933129	0					
ANR	933184	Argument	"""ram"""		933129	1					
ANR	933185	PrimaryExpression	"""ram"""		933129	0					
ANR	933186	Argument	& err		933129	2					
