start	end	type	var
965692	965693	IS_AST_PARENT	
965692	965694	IS_AST_PARENT	
965691	965692	IS_AST_PARENT	
965690	965691	IS_AST_PARENT	
965696	965697	IS_AST_PARENT	
965696	965698	IS_AST_PARENT	
965699	965700	IS_AST_PARENT	
965701	965702	IS_AST_PARENT	
965701	965703	IS_AST_PARENT	
965699	965701	IS_AST_PARENT	
965696	965699	IS_AST_PARENT	
965695	965696	IS_AST_PARENT	
965690	965695	IS_AST_PARENT	
965705	965706	IS_AST_PARENT	
965705	965707	IS_AST_PARENT	
965708	965709	IS_AST_PARENT	
965708	965710	IS_AST_PARENT	
965705	965708	IS_AST_PARENT	
965704	965705	IS_AST_PARENT	
965690	965704	IS_AST_PARENT	
965712	965713	IS_AST_PARENT	
965712	965714	IS_AST_PARENT	
965715	965716	IS_AST_PARENT	
965715	965717	IS_AST_PARENT	
965712	965715	IS_AST_PARENT	
965711	965712	IS_AST_PARENT	
965690	965711	IS_AST_PARENT	
965719	965720	IS_AST_PARENT	
965719	965721	IS_AST_PARENT	
965718	965719	IS_AST_PARENT	
965690	965718	IS_AST_PARENT	
965723	965724	IS_AST_PARENT	
965723	965725	IS_AST_PARENT	
965726	965727	IS_AST_PARENT	
965726	965728	IS_AST_PARENT	
965723	965726	IS_AST_PARENT	
965722	965723	IS_AST_PARENT	
965690	965722	IS_AST_PARENT	
965730	965731	IS_AST_PARENT	
965730	965732	IS_AST_PARENT	
965729	965730	IS_AST_PARENT	
965690	965729	IS_AST_PARENT	
965735	965736	IS_AST_PARENT	
965737	965738	IS_AST_PARENT	
965737	965739	IS_AST_PARENT	
965735	965737	IS_AST_PARENT	
965734	965735	IS_AST_PARENT	
965733	965734	IS_AST_PARENT	
965742	965743	IS_AST_PARENT	
965742	965744	IS_AST_PARENT	
965741	965742	IS_AST_PARENT	
965740	965741	IS_AST_PARENT	
965733	965740	IS_AST_PARENT	
965690	965733	IS_AST_PARENT	
965747	965748	IS_AST_PARENT	
965747	965749	IS_AST_PARENT	
965746	965747	IS_AST_PARENT	
965745	965746	IS_AST_PARENT	
965752	965753	IS_AST_PARENT	
965752	965754	IS_AST_PARENT	
965751	965752	IS_AST_PARENT	
965750	965751	IS_AST_PARENT	
965745	965750	IS_AST_PARENT	
965690	965745	IS_AST_PARENT	
965757	965758	IS_AST_PARENT	
