start	end	type	var
1022268	1022269	IS_AST_PARENT	
1022267	1022268	IS_AST_PARENT	
1022273	1022274	IS_AST_PARENT	
1022273	1022275	IS_AST_PARENT	
1022272	1022273	IS_AST_PARENT	
1022272	1022276	IS_AST_PARENT	
1022271	1022272	IS_AST_PARENT	
1022270	1022271	IS_AST_PARENT	
1022267	1022270	IS_AST_PARENT	
1022266	1022267	IS_AST_PARENT	
1022265	1022266	IS_AST_PARENT	
1022279	1022280	IS_AST_PARENT	
1022279	1022281	IS_AST_PARENT	
1022278	1022279	IS_AST_PARENT	
1022278	1022282	IS_AST_PARENT	
1022277	1022278	IS_AST_PARENT	
1022265	1022277	IS_AST_PARENT	
1022264	1022265	IS_AST_PARENT	
1022264	1022283	IS_AST_PARENT	
1022264	1022284	IS_AST_PARENT	
1022286	1022287	IS_AST_PARENT	
1022286	1022288	IS_AST_PARENT	
1022285	1022286	IS_AST_PARENT	
1022289	1022290	IS_AST_PARENT	
1022289	1022291	IS_AST_PARENT	
1022285	1022289	IS_AST_PARENT	
1022264	1022285	IS_AST_PARENT	
1022292	1022286	FLOWS_TO	
1022286	1022289	FLOWS_TO	
1022289	1022266	FLOWS_TO	
1022266	1022277	FLOWS_TO	
1022277	1022293	FLOWS_TO	
1022286	1022294	DEF	
1022266	1022294	USE	
1022273	1022294	USE	
1022277	1022294	USE	
1022279	1022294	USE	
1022266	1022295	USE	
1022271	1022295	USE	
1022277	1022295	DEF	
1022278	1022295	DEF	
1022266	1022296	USE	
1022271	1022296	USE	
1022277	1022296	DEF	
1022278	1022296	DEF	
1022289	1022297	DEF	
1022266	1022297	USE	
1022271	1022297	USE	
1022277	1022297	USE	
1022278	1022297	USE	
1022286	1022266	REACHES	bs
1022286	1022277	REACHES	bs
1022277	1022293	REACHES	* bs
1022289	1022266	REACHES	in_use
1022289	1022277	REACHES	in_use
1022292	1022286	CONTROLS	
1022292	1022289	CONTROLS	
1022292	1022266	CONTROLS	
1022292	1022277	CONTROLS	
1022292	1022292	DOM	
1022289	1022266	DOM	
1022266	1022277	DOM	
1022292	1022286	DOM	
1022277	1022293	DOM	
1022286	1022289	DOM	
1022286	1022292	POST_DOM	
1022277	1022266	POST_DOM	
1022293	1022277	POST_DOM	
1022289	1022286	POST_DOM	
1022293	1022293	POST_DOM	
1022266	1022289	POST_DOM	
1022263	1022264	IS_FUNCTION_OF_AST	
1022263	1022292	IS_FUNCTION_OF_CFG	
1022262	1022263	IS_FILE_OF	
