start	end	type	var
1073680	1073681	IS_AST_PARENT	
1073680	1073682	IS_AST_PARENT	
1073679	1073680	IS_AST_PARENT	
1073679	1073683	IS_AST_PARENT	
1073678	1073679	IS_AST_PARENT	
1073677	1073678	IS_AST_PARENT	
1073686	1073687	IS_AST_PARENT	
1073685	1073686	IS_AST_PARENT	
1073689	1073690	IS_AST_PARENT	
1073688	1073689	IS_AST_PARENT	
1073685	1073688	IS_AST_PARENT	
1073684	1073685	IS_AST_PARENT	
1073677	1073684	IS_AST_PARENT	
1073676	1073677	IS_AST_PARENT	
1073676	1073691	IS_AST_PARENT	
1073676	1073692	IS_AST_PARENT	
1073694	1073695	IS_AST_PARENT	
1073694	1073696	IS_AST_PARENT	
1073693	1073694	IS_AST_PARENT	
1073676	1073693	IS_AST_PARENT	
1073697	1073694	FLOWS_TO	
1073694	1073678	FLOWS_TO	
1073678	1073684	FLOWS_TO	
1073684	1073698	FLOWS_TO	
1073678	1073699	DEF	
1073679	1073699	DEF	
1073678	1073700	DEF	
1073679	1073700	DEF	
1073678	1073701	USE	
1073679	1073701	USE	
1073694	1073702	DEF	
1073678	1073702	USE	
1073680	1073702	USE	
1073684	1073702	USE	
1073689	1073702	USE	
1073678	1073698	REACHES	* job
1073694	1073678	REACHES	job
1073694	1073684	REACHES	job
1073697	1073694	CONTROLS	
1073697	1073678	CONTROLS	
1073697	1073684	CONTROLS	
1073697	1073697	DOM	
1073697	1073694	DOM	
1073694	1073678	DOM	
1073684	1073698	DOM	
1073678	1073684	DOM	
1073694	1073697	POST_DOM	
1073684	1073678	POST_DOM	
1073678	1073694	POST_DOM	
1073698	1073698	POST_DOM	
1073698	1073684	POST_DOM	
1073675	1073676	IS_FUNCTION_OF_AST	
1073675	1073697	IS_FUNCTION_OF_CFG	
1073674	1073675	IS_FILE_OF	
