command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1107951	File	/home/p4ultr4n/workplace/ReVeal/raw_code/bochs_bios_write_1.c								
ANR	1107952	Function	bochs_bios_write	1:0:0:1065							
ANR	1107953	FunctionDef	"bochs_bios_write (void * opaque , uint32_t addr , uint32_t val)"		1107952	0					
ANR	1107954	CompoundStatement		3:0:73:1065	1107952	0					
ANR	1107955	Statement	static	5:4:80:85	1107952	0	True				
ANR	1107956	IdentifierDeclStatement	"const char shutdown_str [ 8 ] = ""Shutdown"" ;"	5:11:87:126	1107952	1	True				
ANR	1107957	IdentifierDecl	"shutdown_str [ 8 ] = ""Shutdown"""		1107952	0					
ANR	1107958	IdentifierDeclType	const char [ 8 ]		1107952	0					
ANR	1107959	Identifier	shutdown_str		1107952	1					
ANR	1107960	PrimaryExpression	8		1107952	2					
ANR	1107961	AssignmentExpression	"shutdown_str [ 8 ] = ""Shutdown"""		1107952	3		=			
ANR	1107962	Identifier	shutdown_str		1107952	0					
ANR	1107963	PrimaryExpression	"""Shutdown"""		1107952	1					
ANR	1107964	Statement	static	7:4:133:138	1107952	2	True				
ANR	1107965	IdentifierDeclStatement	int shutdown_index = 0 ;	7:11:140:162	1107952	3	True				
ANR	1107966	IdentifierDecl	shutdown_index = 0		1107952	0					
ANR	1107967	IdentifierDeclType	int		1107952	0					
ANR	1107968	Identifier	shutdown_index		1107952	1					
ANR	1107969	AssignmentExpression	shutdown_index = 0		1107952	2		=			
ANR	1107970	Identifier	shutdown_index		1107952	0					
ANR	1107971	PrimaryExpression	0		1107952	1					
ANR	1107972	SwitchStatement	switch ( addr )		1107952	4					
ANR	1107973	Condition	addr	11:11:178:181	1107952	0	True				
ANR	1107974	Identifier	addr		1107952	0					
ANR	1107975	CompoundStatement		9:17:110:110	1107952	1					
ANR	1107976	Label	case 0x400 :	15:4:226:236	1107952	0	True				
ANR	1107977	Label	case 0x401 :	17:4:243:253	1107952	1	True				
ANR	1107978	BreakStatement	break ;	21:8:308:313	1107952	2	True				
ANR	1107979	Label	case 0x402 :	23:4:320:330	1107952	3	True				
ANR	1107980	Label	case 0x403 :	25:4:337:347	1107952	4	True				
ANR	1107981	ExpressionStatement	"fprintf ( stderr , ""%c"" , val )"	29:8:377:403	1107952	5	True				
ANR	1107982	CallExpression	"fprintf ( stderr , ""%c"" , val )"		1107952	0					
ANR	1107983	Callee	fprintf		1107952	0					
ANR	1107984	Identifier	fprintf		1107952	0					
ANR	1107985	ArgumentList	stderr		1107952	1					
ANR	1107986	Argument	stderr		1107952	0					
ANR	1107987	Identifier	stderr		1107952	0					
ANR	1107988	Argument	"""%c"""		1107952	1					
ANR	1107989	PrimaryExpression	"""%c"""		1107952	0					
ANR	1107990	Argument	val		1107952	2					
ANR	1107991	Identifier	val		1107952	0					
ANR	1107992	BreakStatement	break ;	33:8:422:427	1107952	6	True				
ANR	1107993	Label	case 0x8900 :	35:4:434:445	1107952	7	True				
ANR	1107994	IfStatement	if ( val == shutdown_str [ shutdown_index ] )		1107952	8					
ANR	1107995	Condition	val == shutdown_str [ shutdown_index ]	39:12:499:533	1107952	0	True				
ANR	1107996	EqualityExpression	val == shutdown_str [ shutdown_index ]		1107952	0		==			
ANR	1107997	Identifier	val		1107952	0					
ANR	1107998	ArrayIndexing	shutdown_str [ shutdown_index ]		1107952	1					
ANR	1107999	Identifier	shutdown_str		1107952	0					
ANR	1108000	Identifier	shutdown_index		1107952	1					
ANR	1108001	CompoundStatement		37:49:462:462	1107952	1					
ANR	1108002	ExpressionStatement	shutdown_index ++	41:12:551:567	1107952	0	True				
ANR	1108003	PostIncDecOperationExpression	shutdown_index ++		1107952	0					
ANR	1108004	Identifier	shutdown_index		1107952	0					
ANR	1108005	IncDec	++		1107952	1					
ANR	1108006	IfStatement	if ( shutdown_index == 8 )		1107952	1					
ANR	1108007	Condition	shutdown_index == 8	43:16:586:604	1107952	0	True				
ANR	1108008	EqualityExpression	shutdown_index == 8		1107952	0		==			
ANR	1108009	Identifier	shutdown_index		1107952	0					
ANR	1108010	PrimaryExpression	8		1107952	1					
ANR	1108011	CompoundStatement		41:37:533:533	1107952	1					
ANR	1108012	ExpressionStatement	shutdown_index = 0	45:16:626:644	1107952	0	True				
ANR	1108013	AssignmentExpression	shutdown_index = 0		1107952	0		=			
ANR	1108014	Identifier	shutdown_index		1107952	0					
ANR	1108015	PrimaryExpression	0		1107952	1					
ANR	1108016	ExpressionStatement	qemu_system_shutdown_request ( )	47:16:663:693	1107952	1	True				
ANR	1108017	CallExpression	qemu_system_shutdown_request ( )		1107952	0					
ANR	1108018	Callee	qemu_system_shutdown_request		1107952	0					
ANR	1108019	Identifier	qemu_system_shutdown_request		1107952	0					
ANR	1108020	ArgumentList			1107952	1					
ANR	1108021	ElseStatement	else		1107952	0					
ANR	1108022	CompoundStatement		49:15:652:652	1107952	0					
ANR	1108023	ExpressionStatement	shutdown_index = 0	53:12:741:759	1107952	0	True				
ANR	1108024	AssignmentExpression	shutdown_index = 0		1107952	0		=			
ANR	1108025	Identifier	shutdown_index		1107952	0					
ANR	1108026	PrimaryExpression	0		1107952	1					
ANR	1108027	BreakStatement	break ;	57:8:781:786	1107952	9	True				
ANR	1108028	Label	case 0x501 :	63:4:836:846	1107952	10	True				
ANR	1108029	Label	case 0x502 :	65:4:853:863	1107952	11	True				
ANR	1108030	ExpressionStatement	"fprintf ( stderr , ""VGA BIOS panic, line %d\\n"" , val )"	67:8:874:923	1107952	12	True				
ANR	1108031	CallExpression	"fprintf ( stderr , ""VGA BIOS panic, line %d\\n"" , val )"		1107952	0					
ANR	1108032	Callee	fprintf		1107952	0					
ANR	1108033	Identifier	fprintf		1107952	0					
ANR	1108034	ArgumentList	stderr		1107952	1					
ANR	1108035	Argument	stderr		1107952	0					
ANR	1108036	Identifier	stderr		1107952	0					
ANR	1108037	Argument	"""VGA BIOS panic, line %d\\n"""		1107952	1					
ANR	1108038	PrimaryExpression	"""VGA BIOS panic, line %d\\n"""		1107952	0					
ANR	1108039	Argument	val		1107952	2					
ANR	1108040	Identifier	val		1107952	0					
ANR	1108041	ExpressionStatement	exit ( 1 )	69:8:934:941	1107952	13	True				
ANR	1108042	CallExpression	exit ( 1 )		1107952	0					
ANR	1108043	Callee	exit		1107952	0					
ANR	1108044	Identifier	exit		1107952	0					
ANR	1108045	ArgumentList	1		1107952	1					
ANR	1108046	Argument	1		1107952	0					
ANR	1108047	PrimaryExpression	1		1107952	0					
ANR	1108048	Label	case 0x500 :	71:4:948:958	1107952	14	True				
ANR	1108049	Label	case 0x503 :	73:4:965:975	1107952	15	True				
ANR	1108050	ExpressionStatement	"fprintf ( stderr , ""%c"" , val )"	77:8:1005:1031	1107952	16	True				
ANR	1108051	CallExpression	"fprintf ( stderr , ""%c"" , val )"		1107952	0					
ANR	1108052	Callee	fprintf		1107952	0					
ANR	1108053	Identifier	fprintf		1107952	0					
ANR	1108054	ArgumentList	stderr		1107952	1					
ANR	1108055	Argument	stderr		1107952	0					
ANR	1108056	Identifier	stderr		1107952	0					
ANR	1108057	Argument	"""%c"""		1107952	1					
ANR	1108058	PrimaryExpression	"""%c"""		1107952	0					
ANR	1108059	Argument	val		1107952	2					
ANR	1108060	Identifier	val		1107952	0					
ANR	1108061	BreakStatement	break ;	81:8:1050:1055	1107952	17	True				
ANR	1108062	ReturnType	static void		1107952	1					
ANR	1108063	Identifier	bochs_bios_write		1107952	2					
ANR	1108064	ParameterList	"void * opaque , uint32_t addr , uint32_t val"		1107952	3					
ANR	1108065	Parameter	void * opaque	1:29:29:40	1107952	0	True				
ANR	1108066	ParameterType	void *		1107952	0					
ANR	1108067	Identifier	opaque		1107952	1					
ANR	1108068	Parameter	uint32_t addr	1:43:43:55	1107952	1	True				
ANR	1108069	ParameterType	uint32_t		1107952	0					
ANR	1108070	Identifier	addr		1107952	1					
ANR	1108071	Parameter	uint32_t val	1:58:58:69	1107952	2	True				
ANR	1108072	ParameterType	uint32_t		1107952	0					
ANR	1108073	Identifier	val		1107952	1					
ANR	1108074	CFGEntryNode	ENTRY		1107952		True				
ANR	1108075	CFGExitNode	EXIT		1107952		True				
ANR	1108076	Symbol	val		1107952						
ANR	1108077	Symbol	opaque		1107952						
