command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1198629	File	/home/p4ultr4n/workplace/ReVeal/raw_code/cache_insert_1.c								
ANR	1198630	Function	cache_insert	1:0:0:629							
ANR	1198631	FunctionDef	"cache_insert (PageCache * cache , uint64_t addr , uint8_t * pdata)"		1198630	0					
ANR	1198632	CompoundStatement		3:0:67:629	1198630	0					
ANR	1198633	IdentifierDeclStatement	CacheItem * it = NULL ;	7:4:76:96	1198630	0	True				
ANR	1198634	IdentifierDecl	* it = NULL		1198630	0					
ANR	1198635	IdentifierDeclType	CacheItem *		1198630	0					
ANR	1198636	Identifier	it		1198630	1					
ANR	1198637	AssignmentExpression	* it = NULL		1198630	2		=			
ANR	1198638	Identifier	NULL		1198630	0					
ANR	1198639	Identifier	NULL		1198630	1					
ANR	1198640	ExpressionStatement	g_assert ( cache )	11:4:105:120	1198630	1	True				
ANR	1198641	CallExpression	g_assert ( cache )		1198630	0					
ANR	1198642	Callee	g_assert		1198630	0					
ANR	1198643	Identifier	g_assert		1198630	0					
ANR	1198644	ArgumentList	cache		1198630	1					
ANR	1198645	Argument	cache		1198630	0					
ANR	1198646	Identifier	cache		1198630	0					
ANR	1198647	ExpressionStatement	g_assert ( cache -> page_cache )	13:4:127:154	1198630	2	True				
ANR	1198648	CallExpression	g_assert ( cache -> page_cache )		1198630	0					
ANR	1198649	Callee	g_assert		1198630	0					
ANR	1198650	Identifier	g_assert		1198630	0					
ANR	1198651	ArgumentList	cache -> page_cache		1198630	1					
ANR	1198652	Argument	cache -> page_cache		1198630	0					
ANR	1198653	PtrMemberAccess	cache -> page_cache		1198630	0					
ANR	1198654	Identifier	cache		1198630	0					
ANR	1198655	Identifier	page_cache		1198630	1					
ANR	1198656	ExpressionStatement	"it = cache_get_by_addr ( cache , addr )"	19:4:197:232	1198630	3	True				
ANR	1198657	AssignmentExpression	"it = cache_get_by_addr ( cache , addr )"		1198630	0		=			
ANR	1198658	Identifier	it		1198630	0					
ANR	1198659	CallExpression	"cache_get_by_addr ( cache , addr )"		1198630	1					
ANR	1198660	Callee	cache_get_by_addr		1198630	0					
ANR	1198661	Identifier	cache_get_by_addr		1198630	0					
ANR	1198662	ArgumentList	cache		1198630	1					
ANR	1198663	Argument	cache		1198630	0					
ANR	1198664	Identifier	cache		1198630	0					
ANR	1198665	Argument	addr		1198630	1					
ANR	1198666	Identifier	addr		1198630	0					
ANR	1198667	IfStatement	if ( ! it -> it_data )		1198630	4					
ANR	1198668	Condition	! it -> it_data	25:8:270:281	1198630	0	True				
ANR	1198669	UnaryOperationExpression	! it -> it_data		1198630	0					
ANR	1198670	UnaryOperator	!		1198630	0					
ANR	1198671	PtrMemberAccess	it -> it_data		1198630	1					
ANR	1198672	Identifier	it		1198630	0					
ANR	1198673	Identifier	it_data		1198630	1					
ANR	1198674	CompoundStatement		23:22:216:216	1198630	1					
ANR	1198675	ExpressionStatement	it -> it_data = g_try_malloc ( cache -> page_size )	27:8:295:339	1198630	0	True				
ANR	1198676	AssignmentExpression	it -> it_data = g_try_malloc ( cache -> page_size )		1198630	0		=			
ANR	1198677	PtrMemberAccess	it -> it_data		1198630	0					
ANR	1198678	Identifier	it		1198630	0					
ANR	1198679	Identifier	it_data		1198630	1					
ANR	1198680	CallExpression	g_try_malloc ( cache -> page_size )		1198630	1					
ANR	1198681	Callee	g_try_malloc		1198630	0					
ANR	1198682	Identifier	g_try_malloc		1198630	0					
ANR	1198683	ArgumentList	cache -> page_size		1198630	1					
ANR	1198684	Argument	cache -> page_size		1198630	0					
ANR	1198685	PtrMemberAccess	cache -> page_size		1198630	0					
ANR	1198686	Identifier	cache		1198630	0					
ANR	1198687	Identifier	page_size		1198630	1					
ANR	1198688	IfStatement	if ( ! it -> it_data )		1198630	1					
ANR	1198689	Condition	! it -> it_data	29:12:354:365	1198630	0	True				
ANR	1198690	UnaryOperationExpression	! it -> it_data		1198630	0					
ANR	1198691	UnaryOperator	!		1198630	0					
ANR	1198692	PtrMemberAccess	it -> it_data		1198630	1					
ANR	1198693	Identifier	it		1198630	0					
ANR	1198694	Identifier	it_data		1198630	1					
