start	end	type	var
1255440	1255441	IS_AST_PARENT	
1255442	1255443	IS_AST_PARENT	
1255442	1255444	IS_AST_PARENT	
1255440	1255442	IS_AST_PARENT	
1255439	1255440	IS_AST_PARENT	
1255445	1255446	IS_AST_PARENT	
1255445	1255447	IS_AST_PARENT	
1255439	1255445	IS_AST_PARENT	
1255438	1255439	IS_AST_PARENT	
1255438	1255448	IS_AST_PARENT	
1255437	1255438	IS_AST_PARENT	
1255436	1255437	IS_AST_PARENT	
1255435	1255436	IS_AST_PARENT	
1255435	1255449	IS_AST_PARENT	
1255435	1255450	IS_AST_PARENT	
1255452	1255453	IS_AST_PARENT	
1255452	1255454	IS_AST_PARENT	
1255451	1255452	IS_AST_PARENT	
1255455	1255456	IS_AST_PARENT	
1255455	1255457	IS_AST_PARENT	
1255451	1255455	IS_AST_PARENT	
1255435	1255451	IS_AST_PARENT	
1255458	1255452	FLOWS_TO	
1255452	1255455	FLOWS_TO	
1255455	1255437	FLOWS_TO	
1255437	1255459	FLOWS_TO	
1255452	1255460	DEF	
1255437	1255460	USE	
1255455	1255461	DEF	
1255437	1255461	USE	
1255452	1255437	REACHES	val
1255455	1255437	REACHES	bits
1255458	1255452	CONTROLS	
1255458	1255455	CONTROLS	
1255458	1255437	CONTROLS	
1255458	1255452	DOM	
1255452	1255455	DOM	
1255455	1255437	DOM	
1255437	1255459	DOM	
1255458	1255458	DOM	
1255455	1255452	POST_DOM	
1255437	1255455	POST_DOM	
1255459	1255459	POST_DOM	
1255459	1255437	POST_DOM	
1255452	1255458	POST_DOM	
1255434	1255435	IS_FUNCTION_OF_AST	
1255434	1255458	IS_FUNCTION_OF_CFG	
1255433	1255434	IS_FILE_OF	
