command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1259591	File	/home/p4ultr4n/workplace/ReVeal/raw_code/check_input_motion_1.c								
ANR	1259592	Function	check_input_motion	1:0:0:5616							
ANR	1259593	FunctionDef	"check_input_motion (MpegEncContext * s , int mb_x , int mb_y , int p_type)"		1259592	0					
ANR	1259594	CompoundStatement		1:88:88:5616	1259592	0					
ANR	1259595	Statement	MotionEstContext	3:4:95:110	1259592	0	True				
ANR	1259596	Statement	*	3:21:112:112	1259592	1	True				
ANR	1259597	Statement	const	3:23:114:118	1259592	2	True				
ANR	1259598	ExpressionStatement	c = & s -> me	3:29:120:129	1259592	3	True				
ANR	1259599	AssignmentExpression	c = & s -> me		1259592	0		=			
ANR	1259600	Identifier	c		1259592	0					
ANR	1259601	UnaryOperationExpression	& s -> me		1259592	1					
ANR	1259602	UnaryOperator	&		1259592	0					
ANR	1259603	PtrMemberAccess	s -> me		1259592	1					
ANR	1259604	Identifier	s		1259592	0					
ANR	1259605	Identifier	me		1259592	1					
ANR	1259606	IdentifierDeclStatement	Picture * p = s -> current_picture_ptr ;	5:4:136:170	1259592	4	True				
ANR	1259607	IdentifierDecl	* p = s -> current_picture_ptr		1259592	0					
ANR	1259608	IdentifierDeclType	Picture *		1259592	0					
ANR	1259609	Identifier	p		1259592	1					
ANR	1259610	AssignmentExpression	* p = s -> current_picture_ptr		1259592	2		=			
ANR	1259611	Identifier	p		1259592	0					
ANR	1259612	PtrMemberAccess	s -> current_picture_ptr		1259592	1					
ANR	1259613	Identifier	s		1259592	0					
ANR	1259614	Identifier	current_picture_ptr		1259592	1					
ANR	1259615	IdentifierDeclStatement	int mb_xy = mb_x + mb_y * s -> mb_stride ;	7:4:177:212	1259592	5	True				
ANR	1259616	IdentifierDecl	mb_xy = mb_x + mb_y * s -> mb_stride		1259592	0					
ANR	1259617	IdentifierDeclType	int		1259592	0					
ANR	1259618	Identifier	mb_xy		1259592	1					
ANR	1259619	AssignmentExpression	mb_xy = mb_x + mb_y * s -> mb_stride		1259592	2		=			
ANR	1259620	Identifier	mb_xy		1259592	0					
ANR	1259621	AdditiveExpression	mb_x + mb_y * s -> mb_stride		1259592	1		+			
ANR	1259622	Identifier	mb_x		1259592	0					
ANR	1259623	MultiplicativeExpression	mb_y * s -> mb_stride		1259592	1		*			
ANR	1259624	Identifier	mb_y		1259592	0					
ANR	1259625	PtrMemberAccess	s -> mb_stride		1259592	1					
ANR	1259626	Identifier	s		1259592	0					
ANR	1259627	Identifier	mb_stride		1259592	1					
ANR	1259628	IdentifierDeclStatement	int xy = 2 * mb_x + 2 * mb_y * s -> b8_stride ;	9:4:219:255	1259592	6	True				
ANR	1259629	IdentifierDecl	xy = 2 * mb_x + 2 * mb_y * s -> b8_stride		1259592	0					
ANR	1259630	IdentifierDeclType	int		1259592	0					
ANR	1259631	Identifier	xy		1259592	1					
ANR	1259632	AssignmentExpression	xy = 2 * mb_x + 2 * mb_y * s -> b8_stride		1259592	2		=			
ANR	1259633	Identifier	xy		1259592	0					
ANR	1259634	AdditiveExpression	2 * mb_x + 2 * mb_y * s -> b8_stride		1259592	1		+			
ANR	1259635	MultiplicativeExpression	2 * mb_x		1259592	0		*			
ANR	1259636	PrimaryExpression	2		1259592	0					
ANR	1259637	Identifier	mb_x		1259592	1					
ANR	1259638	MultiplicativeExpression	2 * mb_y * s -> b8_stride		1259592	1		*			
ANR	1259639	PrimaryExpression	2		1259592	0					
ANR	1259640	MultiplicativeExpression	mb_y * s -> b8_stride		1259592	1		*			
ANR	1259641	Identifier	mb_y		1259592	0					
ANR	1259642	PtrMemberAccess	s -> b8_stride		1259592	1					
ANR	1259643	Identifier	s		1259592	0					
ANR	1259644	Identifier	b8_stride		1259592	1					
ANR	1259645	IdentifierDeclStatement	int mb_type = s -> current_picture . mb_type [ mb_xy ] ;	11:4:262:308	1259592	7	True				
ANR	1259646	IdentifierDecl	mb_type = s -> current_picture . mb_type [ mb_xy ]		1259592	0					
ANR	1259647	IdentifierDeclType	int		1259592	0					
ANR	1259648	Identifier	mb_type		1259592	1					
ANR	1259649	AssignmentExpression	mb_type = s -> current_picture . mb_type [ mb_xy ]		1259592	2		=			
ANR	1259650	Identifier	mb_type		1259592	0					
ANR	1259651	ArrayIndexing	s -> current_picture . mb_type [ mb_xy ]		1259592	1					
ANR	1259652	MemberAccess	s -> current_picture . mb_type		1259592	0					
ANR	1259653	PtrMemberAccess	s -> current_picture		1259592	0					
ANR	1259654	Identifier	s		1259592	0					
ANR	1259655	Identifier	current_picture		1259592	1					
ANR	1259656	Identifier	mb_type		1259592	1					
ANR	1259657	Identifier	mb_xy		1259592	1					
ANR	1259658	IdentifierDeclStatement	int flags = c -> flags ;	13:4:315:334	1259592	8	True				
ANR	1259659	IdentifierDecl	flags = c -> flags		1259592	0					
ANR	1259660	IdentifierDeclType	int		1259592	0					
ANR	1259661	Identifier	flags		1259592	1					
ANR	1259662	AssignmentExpression	flags = c -> flags		1259592	2		=			
ANR	1259663	Identifier	flags		1259592	0					
ANR	1259664	PtrMemberAccess	c -> flags		1259592	1					
ANR	1259665	Identifier	c		1259592	0					
ANR	1259666	Identifier	flags		1259592	1					
ANR	1259667	IdentifierDeclStatement	int shift = ( flags & FLAG_QPEL ) + 1 ;	15:4:341:373	1259592	9	True				
ANR	1259668	IdentifierDecl	shift = ( flags & FLAG_QPEL ) + 1		1259592	0					
ANR	1259669	IdentifierDeclType	int		1259592	0					
ANR	1259670	Identifier	shift		1259592	1					
ANR	1259671	AssignmentExpression	shift = ( flags & FLAG_QPEL ) + 1		1259592	2		=			
ANR	1259672	Identifier	shift		1259592	0					
ANR	1259673	AdditiveExpression	( flags & FLAG_QPEL ) + 1		1259592	1		+			
ANR	1259674	BitAndExpression	flags & FLAG_QPEL		1259592	0		&			
ANR	1259675	Identifier	flags		1259592	0					
ANR	1259676	Identifier	FLAG_QPEL		1259592	1					
ANR	1259677	PrimaryExpression	1		1259592	1					
ANR	1259678	IdentifierDeclStatement	int mask = ( 1 << shift ) - 1 ;	17:4:380:402	1259592	10	True				
ANR	1259679	IdentifierDecl	mask = ( 1 << shift ) - 1		1259592	0					
ANR	1259680	IdentifierDeclType	int		1259592	0					
ANR	1259681	Identifier	mask		1259592	1					
ANR	1259682	AssignmentExpression	mask = ( 1 << shift ) - 1		1259592	2		=			
ANR	1259683	Identifier	mask		1259592	0					
ANR	1259684	AdditiveExpression	( 1 << shift ) - 1		1259592	1		-			
ANR	1259685	ShiftExpression	1 << shift		1259592	0		<<			
ANR	1259686	PrimaryExpression	1		1259592	0					
ANR	1259687	Identifier	shift		1259592	1					
ANR	1259688	PrimaryExpression	1		1259592	1					
ANR	1259689	IdentifierDeclStatement	"int x , y , i ;"	19:4:409:420	1259592	11	True				
ANR	1259690	IdentifierDecl	x		1259592	0					
ANR	1259691	IdentifierDeclType	int		1259592	0					
ANR	1259692	Identifier	x		1259592	1					
ANR	1259693	IdentifierDecl	y		1259592	1					
ANR	1259694	IdentifierDeclType	int		1259592	0					
ANR	1259695	Identifier	y		1259592	1					
ANR	1259696	IdentifierDecl	i		1259592	2					
ANR	1259697	IdentifierDeclType	int		1259592	0					
ANR	1259698	Identifier	i		1259592	1					
ANR	1259699	IdentifierDeclStatement	int d = 0 ;	21:4:427:434	1259592	12	True				
ANR	1259700	IdentifierDecl	d = 0		1259592	0					
ANR	1259701	IdentifierDeclType	int		1259592	0					
ANR	1259702	Identifier	d		1259592	1					
ANR	1259703	AssignmentExpression	d = 0		1259592	2		=			
ANR	1259704	Identifier	d		1259592	0					
ANR	1259705	PrimaryExpression	0		1259592	1					
ANR	1259706	IdentifierDeclStatement	me_cmp_func cmpf = s -> dsp . sse [ 0 ] ;	23:4:441:472	1259592	13	True				
ANR	1259707	IdentifierDecl	cmpf = s -> dsp . sse [ 0 ]		1259592	0					
ANR	1259708	IdentifierDeclType	me_cmp_func		1259592	0					
ANR	1259709	Identifier	cmpf		1259592	1					
ANR	1259710	AssignmentExpression	cmpf = s -> dsp . sse [ 0 ]		1259592	2		=			
ANR	1259711	Identifier	cmpf		1259592	0					
ANR	1259712	ArrayIndexing	s -> dsp . sse [ 0 ]		1259592	1					
ANR	1259713	MemberAccess	s -> dsp . sse		1259592	0					
ANR	1259714	PtrMemberAccess	s -> dsp		1259592	0					
ANR	1259715	Identifier	s		1259592	0					
ANR	1259716	Identifier	dsp		1259592	1					
ANR	1259717	Identifier	sse		1259592	1					
ANR	1259718	PrimaryExpression	0		1259592	1					
ANR	1259719	IdentifierDeclStatement	me_cmp_func chroma_cmpf = s -> dsp . sse [ 1 ] ;	25:4:479:517	1259592	14	True				
ANR	1259720	IdentifierDecl	chroma_cmpf = s -> dsp . sse [ 1 ]		1259592	0					
ANR	1259721	IdentifierDeclType	me_cmp_func		1259592	0					
ANR	1259722	Identifier	chroma_cmpf		1259592	1					
ANR	1259723	AssignmentExpression	chroma_cmpf = s -> dsp . sse [ 1 ]		1259592	2		=			
ANR	1259724	Identifier	chroma_cmpf		1259592	0					
ANR	1259725	ArrayIndexing	s -> dsp . sse [ 1 ]		1259592	1					
ANR	1259726	MemberAccess	s -> dsp . sse		1259592	0					
ANR	1259727	PtrMemberAccess	s -> dsp		1259592	0					
ANR	1259728	Identifier	s		1259592	0					
ANR	1259729	Identifier	dsp		1259592	1					
ANR	1259730	Identifier	sse		1259592	1					
ANR	1259731	PrimaryExpression	1		1259592	1					
ANR	1259732	ExpressionStatement	"assert ( p_type == 0 || ! USES_LIST ( mb_type , 1 ) )"	29:4:530:573	1259592	15	True				
ANR	1259733	CallExpression	"assert ( p_type == 0 || ! USES_LIST ( mb_type , 1 ) )"		1259592	0					
ANR	1259734	Callee	assert		1259592	0					
ANR	1259735	Identifier	assert		1259592	0					
ANR	1259736	ArgumentList	"p_type == 0 || ! USES_LIST ( mb_type , 1 )"		1259592	1					
ANR	1259737	Argument	"p_type == 0 || ! USES_LIST ( mb_type , 1 )"		1259592	0					
ANR	1259738	OrExpression	"p_type == 0 || ! USES_LIST ( mb_type , 1 )"		1259592	0		||			
ANR	1259739	EqualityExpression	p_type == 0		1259592	0		==			
ANR	1259740	Identifier	p_type		1259592	0					
ANR	1259741	PrimaryExpression	0		1259592	1					
ANR	1259742	UnaryOperationExpression	"! USES_LIST ( mb_type , 1 )"		1259592	1					
ANR	1259743	UnaryOperator	!		1259592	0					
ANR	1259744	CallExpression	"USES_LIST ( mb_type , 1 )"		1259592	1					
ANR	1259745	Callee	USES_LIST		1259592	0					
ANR	1259746	Identifier	USES_LIST		1259592	0					
ANR	1259747	ArgumentList	mb_type		1259592	1					
ANR	1259748	Argument	mb_type		1259592	0					
ANR	1259749	Identifier	mb_type		1259592	0					
ANR	1259750	Argument	1		1259592	1					
ANR	1259751	PrimaryExpression	1		1259592	0					
ANR	1259752	ExpressionStatement	"assert ( IS_INTRA ( mb_type ) || USES_LIST ( mb_type , 0 ) || USES_LIST ( mb_type , 1 ) )"	31:4:580:653	1259592	16	True				
ANR	1259753	CallExpression	"assert ( IS_INTRA ( mb_type ) || USES_LIST ( mb_type , 0 ) || USES_LIST ( mb_type , 1 ) )"		1259592	0					
ANR	1259754	Callee	assert		1259592	0					
ANR	1259755	Identifier	assert		1259592	0					
ANR	1259756	ArgumentList	"IS_INTRA ( mb_type ) || USES_LIST ( mb_type , 0 ) || USES_LIST ( mb_type , 1 )"		1259592	1					
ANR	1259757	Argument	"IS_INTRA ( mb_type ) || USES_LIST ( mb_type , 0 ) || USES_LIST ( mb_type , 1 )"		1259592	0					
ANR	1259758	OrExpression	"IS_INTRA ( mb_type ) || USES_LIST ( mb_type , 0 ) || USES_LIST ( mb_type , 1 )"		1259592	0		||			
ANR	1259759	CallExpression	IS_INTRA ( mb_type )		1259592	0					
ANR	1259760	Callee	IS_INTRA		1259592	0					
ANR	1259761	Identifier	IS_INTRA		1259592	0					
ANR	1259762	ArgumentList	mb_type		1259592	1					
ANR	1259763	Argument	mb_type		1259592	0					
ANR	1259764	Identifier	mb_type		1259592	0					
ANR	1259765	OrExpression	"USES_LIST ( mb_type , 0 ) || USES_LIST ( mb_type , 1 )"		1259592	1		||			
ANR	1259766	CallExpression	"USES_LIST ( mb_type , 0 )"		1259592	0					
ANR	1259767	Callee	USES_LIST		1259592	0					
ANR	1259768	Identifier	USES_LIST		1259592	0					
ANR	1259769	ArgumentList	mb_type		1259592	1					
ANR	1259770	Argument	mb_type		1259592	0					
ANR	1259771	Identifier	mb_type		1259592	0					
ANR	1259772	Argument	0		1259592	1					
ANR	1259773	PrimaryExpression	0		1259592	0					
