command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1367847	File	/home/p4ultr4n/workplace/ReVeal/raw_code/compute_chapters_end_1.c								
ANR	1367848	Function	compute_chapters_end	1:0:0:990							
ANR	1367849	FunctionDef	compute_chapters_end (AVFormatContext * s)		1367848	0					
ANR	1367850	CompoundStatement		3:0:54:990	1367848	0					
ANR	1367851	IdentifierDeclStatement	"unsigned int i , j ;"	5:4:61:78	1367848	0	True				
ANR	1367852	IdentifierDecl	i		1367848	0					
ANR	1367853	IdentifierDeclType	unsigned int		1367848	0					
ANR	1367854	Identifier	i		1367848	1					
ANR	1367855	IdentifierDecl	j		1367848	1					
ANR	1367856	IdentifierDeclType	unsigned int		1367848	0					
ANR	1367857	Identifier	j		1367848	1					
ANR	1367858	IdentifierDeclStatement	int64_t max_time = s -> duration + ( ( s -> start_time == AV_NOPTS_VALUE ) ? 0 : s -> start_time ) ;	7:4:85:197	1367848	1	True				
ANR	1367859	IdentifierDecl	max_time = s -> duration + ( ( s -> start_time == AV_NOPTS_VALUE ) ? 0 : s -> start_time )		1367848	0					
ANR	1367860	IdentifierDeclType	int64_t		1367848	0					
ANR	1367861	Identifier	max_time		1367848	1					
ANR	1367862	AssignmentExpression	max_time = s -> duration + ( ( s -> start_time == AV_NOPTS_VALUE ) ? 0 : s -> start_time )		1367848	2		=			
ANR	1367863	Identifier	max_time		1367848	0					
ANR	1367864	AdditiveExpression	s -> duration + ( ( s -> start_time == AV_NOPTS_VALUE ) ? 0 : s -> start_time )		1367848	1		+			
ANR	1367865	PtrMemberAccess	s -> duration		1367848	0					
ANR	1367866	Identifier	s		1367848	0					
ANR	1367867	Identifier	duration		1367848	1					
ANR	1367868	ConditionalExpression	( s -> start_time == AV_NOPTS_VALUE ) ? 0 : s -> start_time		1367848	1					
ANR	1367869	Condition	s -> start_time == AV_NOPTS_VALUE		1367848	0					
ANR	1367870	EqualityExpression	s -> start_time == AV_NOPTS_VALUE		1367848	0		==			
ANR	1367871	PtrMemberAccess	s -> start_time		1367848	0					
ANR	1367872	Identifier	s		1367848	0					
ANR	1367873	Identifier	start_time		1367848	1					
ANR	1367874	Identifier	AV_NOPTS_VALUE		1367848	1					
ANR	1367875	PrimaryExpression	0		1367848	1					
ANR	1367876	PtrMemberAccess	s -> start_time		1367848	2					
ANR	1367877	Identifier	s		1367848	0					
ANR	1367878	Identifier	start_time		1367848	1					
ANR	1367879	ForStatement	for ( i = 0 ; i < s -> nb_chapters ; i ++ )		1367848	2					
ANR	1367880	ForInit	i = 0 ;	13:9:211:216	1367848	0	True				
ANR	1367881	AssignmentExpression	i = 0		1367848	0		=			
ANR	1367882	Identifier	i		1367848	0					
ANR	1367883	PrimaryExpression	0		1367848	1					
ANR	1367884	Condition	i < s -> nb_chapters	13:16:218:235	1367848	1	True				
ANR	1367885	RelationalExpression	i < s -> nb_chapters		1367848	0		<			
ANR	1367886	Identifier	i		1367848	0					
ANR	1367887	PtrMemberAccess	s -> nb_chapters		1367848	1					
ANR	1367888	Identifier	s		1367848	0					
ANR	1367889	Identifier	nb_chapters		1367848	1					
ANR	1367890	PostIncDecOperationExpression	i ++	13:36:238:240	1367848	2	True				
ANR	1367891	Identifier	i		1367848	0					
ANR	1367892	IncDec	++		1367848	1					
ANR	1367893	IfStatement	if ( s -> chapters [ i ] -> end == AV_NOPTS_VALUE )		1367848	3					
ANR	1367894	Condition	s -> chapters [ i ] -> end == AV_NOPTS_VALUE	15:12:256:292	1367848	0	True				
ANR	1367895	EqualityExpression	s -> chapters [ i ] -> end == AV_NOPTS_VALUE		1367848	0		==			
ANR	1367896	PtrMemberAccess	s -> chapters [ i ] -> end		1367848	0					
ANR	1367897	ArrayIndexing	s -> chapters [ i ]		1367848	0					
ANR	1367898	PtrMemberAccess	s -> chapters		1367848	0					
ANR	1367899	Identifier	s		1367848	0					
ANR	1367900	Identifier	chapters		1367848	1					
ANR	1367901	Identifier	i		1367848	1					
ANR	1367902	Identifier	end		1367848	1					
ANR	1367903	Identifier	AV_NOPTS_VALUE		1367848	1					
ANR	1367904	CompoundStatement		17:12:300:477	1367848	1					
ANR	1367905	IdentifierDeclStatement	AVChapter * ch = s -> chapters [ i ] ;	17:12:310:340	1367848	0	True				
ANR	1367906	IdentifierDecl	* ch = s -> chapters [ i ]		1367848	0					
ANR	1367907	IdentifierDeclType	AVChapter *		1367848	0					
ANR	1367908	Identifier	ch		1367848	1					
ANR	1367909	AssignmentExpression	* ch = s -> chapters [ i ]		1367848	2		=			
ANR	1367910	Identifier	ch		1367848	0					
ANR	1367911	ArrayIndexing	s -> chapters [ i ]		1367848	1					
ANR	1367912	PtrMemberAccess	s -> chapters		1367848	0					
ANR	1367913	Identifier	s		1367848	0					
ANR	1367914	Identifier	chapters		1367848	1					
ANR	1367915	Identifier	i		1367848	1					
ANR	1367916	IdentifierDeclStatement	"int64_t end = max_time ? av_rescale_q ( max_time , AV_TIME_BASE_Q , ch -> time_base ) : INT64_MAX ;"	19:12:355:532	1367848	1	True				
ANR	1367917	IdentifierDecl	"end = max_time ? av_rescale_q ( max_time , AV_TIME_BASE_Q , ch -> time_base ) : INT64_MAX"		1367848	0					
ANR	1367918	IdentifierDeclType	int64_t		1367848	0					
ANR	1367919	Identifier	end		1367848	1					
ANR	1367920	AssignmentExpression	"end = max_time ? av_rescale_q ( max_time , AV_TIME_BASE_Q , ch -> time_base ) : INT64_MAX"		1367848	2		=			
ANR	1367921	Identifier	end		1367848	0					
ANR	1367922	ConditionalExpression	"max_time ? av_rescale_q ( max_time , AV_TIME_BASE_Q , ch -> time_base ) : INT64_MAX"		1367848	1					
ANR	1367923	Condition	max_time		1367848	0					
ANR	1367924	Identifier	max_time		1367848	0					
ANR	1367925	CallExpression	"av_rescale_q ( max_time , AV_TIME_BASE_Q , ch -> time_base )"		1367848	1					
ANR	1367926	Callee	av_rescale_q		1367848	0					
ANR	1367927	Identifier	av_rescale_q		1367848	0					
ANR	1367928	ArgumentList	max_time		1367848	1					
ANR	1367929	Argument	max_time		1367848	0					
ANR	1367930	Identifier	max_time		1367848	0					
ANR	1367931	Argument	AV_TIME_BASE_Q		1367848	1					
ANR	1367932	Identifier	AV_TIME_BASE_Q		1367848	0					
ANR	1367933	Argument	ch -> time_base		1367848	2					
ANR	1367934	PtrMemberAccess	ch -> time_base		1367848	0					
ANR	1367935	Identifier	ch		1367848	0					
ANR	1367936	Identifier	time_base		1367848	1					
ANR	1367937	Identifier	INT64_MAX		1367848	2					
ANR	1367938	ForStatement	for ( j = 0 ; j < s -> nb_chapters ; j ++ )		1367848	2					
ANR	1367939	ForInit	j = 0 ;	27:17:554:559	1367848	0	True				
ANR	1367940	AssignmentExpression	j = 0		1367848	0		=			
ANR	1367941	Identifier	j		1367848	0					
ANR	1367942	PrimaryExpression	0		1367848	1					
ANR	1367943	Condition	j < s -> nb_chapters	27:24:561:578	1367848	1	True				
ANR	1367944	RelationalExpression	j < s -> nb_chapters		1367848	0		<			
ANR	1367945	Identifier	j		1367848	0					
ANR	1367946	PtrMemberAccess	s -> nb_chapters		1367848	1					
ANR	1367947	Identifier	s		1367848	0					
ANR	1367948	Identifier	nb_chapters		1367848	1					
ANR	1367949	PostIncDecOperationExpression	j ++	27:44:581:583	1367848	2	True				
ANR	1367950	Identifier	j		1367848	0					
ANR	1367951	IncDec	++		1367848	1					
ANR	1367952	CompoundStatement		29:16:604:731	1367848	3					
ANR	1367953	IdentifierDeclStatement	AVChapter * ch1 = s -> chapters [ j ] ;	29:16:605:640	1367848	0	True				
ANR	1367954	IdentifierDecl	* ch1 = s -> chapters [ j ]		1367848	0					
ANR	1367955	IdentifierDeclType	AVChapter *		1367848	0					
ANR	1367956	Identifier	ch1		1367848	1					
ANR	1367957	AssignmentExpression	* ch1 = s -> chapters [ j ]		1367848	2		=			
ANR	1367958	Identifier	ch1		1367848	0					
ANR	1367959	ArrayIndexing	s -> chapters [ j ]		1367848	1					
ANR	1367960	PtrMemberAccess	s -> chapters		1367848	0					
ANR	1367961	Identifier	s		1367848	0					
ANR	1367962	Identifier	chapters		1367848	1					
ANR	1367963	Identifier	j		1367848	1					
ANR	1367964	IdentifierDeclStatement	"int64_t next_start = av_rescale_q ( ch1 -> start , ch1 -> time_base , ch -> time_base ) ;"	31:16:659:786	1367848	1	True				
ANR	1367965	IdentifierDecl	"next_start = av_rescale_q ( ch1 -> start , ch1 -> time_base , ch -> time_base )"		1367848	0					
ANR	1367966	IdentifierDeclType	int64_t		1367848	0					
ANR	1367967	Identifier	next_start		1367848	1					
ANR	1367968	AssignmentExpression	"next_start = av_rescale_q ( ch1 -> start , ch1 -> time_base , ch -> time_base )"		1367848	2		=			
ANR	1367969	Identifier	next_start		1367848	0					
ANR	1367970	CallExpression	"av_rescale_q ( ch1 -> start , ch1 -> time_base , ch -> time_base )"		1367848	1					
ANR	1367971	Callee	av_rescale_q		1367848	0					
ANR	1367972	Identifier	av_rescale_q		1367848	0					
ANR	1367973	ArgumentList	ch1 -> start		1367848	1					
ANR	1367974	Argument	ch1 -> start		1367848	0					
ANR	1367975	PtrMemberAccess	ch1 -> start		1367848	0					
ANR	1367976	Identifier	ch1		1367848	0					
