command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1413739	File	/home/p4ultr4n/workplace/ReVeal/raw_code/control_out_1.c								
ANR	1413740	Function	control_out	1:0:0:370							
ANR	1413741	FunctionDef	"control_out (VirtIODevice * vdev , VirtQueue * vq)"		1413740	0					
ANR	1413742	CompoundStatement		3:0:60:370	1413740	0					
ANR	1413743	IdentifierDeclStatement	VirtQueueElement elem ;	5:4:67:88	1413740	0	True				
ANR	1413744	IdentifierDecl	elem		1413740	0					
ANR	1413745	IdentifierDeclType	VirtQueueElement		1413740	0					
ANR	1413746	Identifier	elem		1413740	1					
ANR	1413747	IdentifierDeclStatement	VirtIOSerial * vser ;	7:4:95:113	1413740	1	True				
ANR	1413748	IdentifierDecl	* vser		1413740	0					
ANR	1413749	IdentifierDeclType	VirtIOSerial *		1413740	0					
ANR	1413750	Identifier	vser		1413740	1					
ANR	1413751	ExpressionStatement	"vser = DO_UPCAST ( VirtIOSerial , vdev , vdev )"	11:4:122:164	1413740	2	True				
ANR	1413752	AssignmentExpression	"vser = DO_UPCAST ( VirtIOSerial , vdev , vdev )"		1413740	0		=			
ANR	1413753	Identifier	vser		1413740	0					
ANR	1413754	CallExpression	"DO_UPCAST ( VirtIOSerial , vdev , vdev )"		1413740	1					
ANR	1413755	Callee	DO_UPCAST		1413740	0					
ANR	1413756	Identifier	DO_UPCAST		1413740	0					
ANR	1413757	ArgumentList	VirtIOSerial		1413740	1					
ANR	1413758	Argument	VirtIOSerial		1413740	0					
ANR	1413759	Identifier	VirtIOSerial		1413740	0					
ANR	1413760	Argument	vdev		1413740	1					
ANR	1413761	Identifier	vdev		1413740	0					
ANR	1413762	Argument	vdev		1413740	2					
ANR	1413763	Identifier	vdev		1413740	0					
ANR	1413764	WhileStatement	"while ( virtqueue_pop ( vq , & elem ) )"		1413740	3					
ANR	1413765	Condition	"virtqueue_pop ( vq , & elem )"	15:11:180:203	1413740	0	True				
ANR	1413766	CallExpression	"virtqueue_pop ( vq , & elem )"		1413740	0					
ANR	1413767	Callee	virtqueue_pop		1413740	0					
ANR	1413768	Identifier	virtqueue_pop		1413740	0					
ANR	1413769	ArgumentList	vq		1413740	1					
ANR	1413770	Argument	vq		1413740	0					
ANR	1413771	Identifier	vq		1413740	0					
ANR	1413772	Argument	& elem		1413740	1					
ANR	1413773	UnaryOperationExpression	& elem		1413740	0					
ANR	1413774	UnaryOperator	&		1413740	0					
ANR	1413775	Identifier	elem		1413740	1					
ANR	1413776	CompoundStatement		13:37:145:145	1413740	1					
ANR	1413777	ExpressionStatement	"handle_control_message ( vser , elem . out_sg [ 0 ] . iov_base )"	17:8:217:270	1413740	0	True				
ANR	1413778	CallExpression	"handle_control_message ( vser , elem . out_sg [ 0 ] . iov_base )"		1413740	0					
ANR	1413779	Callee	handle_control_message		1413740	0					
ANR	1413780	Identifier	handle_control_message		1413740	0					
ANR	1413781	ArgumentList	vser		1413740	1					
ANR	1413782	Argument	vser		1413740	0					
ANR	1413783	Identifier	vser		1413740	0					
ANR	1413784	Argument	elem . out_sg [ 0 ] . iov_base		1413740	1					
ANR	1413785	MemberAccess	elem . out_sg [ 0 ] . iov_base		1413740	0					
ANR	1413786	ArrayIndexing	elem . out_sg [ 0 ]		1413740	0					
ANR	1413787	MemberAccess	elem . out_sg		1413740	0					
ANR	1413788	Identifier	elem		1413740	0					
ANR	1413789	Identifier	out_sg		1413740	1					
ANR	1413790	PrimaryExpression	0		1413740	1					
ANR	1413791	Identifier	iov_base		1413740	1					
ANR	1413792	ExpressionStatement	"virtqueue_push ( vq , & elem , elem . out_sg [ 0 ] . iov_len )"	19:8:281:330	1413740	1	True				
ANR	1413793	CallExpression	"virtqueue_push ( vq , & elem , elem . out_sg [ 0 ] . iov_len )"		1413740	0					
ANR	1413794	Callee	virtqueue_push		1413740	0					
ANR	1413795	Identifier	virtqueue_push		1413740	0					
ANR	1413796	ArgumentList	vq		1413740	1					
ANR	1413797	Argument	vq		1413740	0					
ANR	1413798	Identifier	vq		1413740	0					
ANR	1413799	Argument	& elem		1413740	1					
ANR	1413800	UnaryOperationExpression	& elem		1413740	0					
ANR	1413801	UnaryOperator	&		1413740	0					
ANR	1413802	Identifier	elem		1413740	1					
ANR	1413803	Argument	elem . out_sg [ 0 ] . iov_len		1413740	2					
ANR	1413804	MemberAccess	elem . out_sg [ 0 ] . iov_len		1413740	0					
ANR	1413805	ArrayIndexing	elem . out_sg [ 0 ]		1413740	0					
ANR	1413806	MemberAccess	elem . out_sg		1413740	0					
ANR	1413807	Identifier	elem		1413740	0					
ANR	1413808	Identifier	out_sg		1413740	1					
ANR	1413809	PrimaryExpression	0		1413740	1					
ANR	1413810	Identifier	iov_len		1413740	1					
ANR	1413811	ExpressionStatement	"virtio_notify ( vdev , vq )"	23:4:344:367	1413740	4	True				
ANR	1413812	CallExpression	"virtio_notify ( vdev , vq )"		1413740	0					
ANR	1413813	Callee	virtio_notify		1413740	0					
ANR	1413814	Identifier	virtio_notify		1413740	0					
ANR	1413815	ArgumentList	vdev		1413740	1					
ANR	1413816	Argument	vdev		1413740	0					
ANR	1413817	Identifier	vdev		1413740	0					
ANR	1413818	Argument	vq		1413740	1					
ANR	1413819	Identifier	vq		1413740	0					
ANR	1413820	ReturnType	static void		1413740	1					
ANR	1413821	Identifier	control_out		1413740	2					
ANR	1413822	ParameterList	"VirtIODevice * vdev , VirtQueue * vq"		1413740	3					
ANR	1413823	Parameter	VirtIODevice * vdev	1:24:24:41	1413740	0	True				
ANR	1413824	ParameterType	VirtIODevice *		1413740	0					
ANR	1413825	Identifier	vdev		1413740	1					
ANR	1413826	Parameter	VirtQueue * vq	1:44:44:56	1413740	1	True				
ANR	1413827	ParameterType	VirtQueue *		1413740	0					
ANR	1413828	Identifier	vq		1413740	1					
ANR	1413829	CFGEntryNode	ENTRY		1413740		True				
ANR	1413830	CFGExitNode	EXIT		1413740		True				
ANR	1413831	Symbol	elem		1413740						
ANR	1413832	Symbol	elem . out_sg [ 0 ] . iov_base		1413740						
ANR	1413833	Symbol	DO_UPCAST		1413740						
ANR	1413834	Symbol	& elem		1413740						
ANR	1413835	Symbol	* elem . out_sg		1413740						
ANR	1413836	Symbol	elem . out_sg [ 0 ] . iov_len		1413740						
ANR	1413837	Symbol	vdev		1413740						
ANR	1413838	Symbol	VirtIOSerial		1413740						
ANR	1413839	Symbol	elem . out_sg		1413740						
ANR	1413840	Symbol	virtqueue_pop		1413740						
ANR	1413841	Symbol	vq		1413740						
ANR	1413842	Symbol	* elem		1413740						
ANR	1413843	Symbol	vser		1413740						
