command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1417229	File	/home/p4ultr4n/workplace/ReVeal/raw_code/convert_sub_to_old_ass_form_1.c								
ANR	1417230	Function	convert_sub_to_old_ass_form	1:0:0:1812							
ANR	1417231	FunctionDef	"convert_sub_to_old_ass_form (AVSubtitle * sub , const AVPacket * pkt , AVRational tb)"		1417230	0					
ANR	1417232	CompoundStatement		3:0:93:1812	1417230	0					
ANR	1417233	IdentifierDeclStatement	int i ;	5:4:100:105	1417230	0	True				
ANR	1417234	IdentifierDecl	i		1417230	0					
ANR	1417235	IdentifierDeclType	int		1417230	0					
ANR	1417236	Identifier	i		1417230	1					
ANR	1417237	IdentifierDeclStatement	AVBPrint buf ;	7:4:112:124	1417230	1	True				
ANR	1417238	IdentifierDecl	buf		1417230	0					
ANR	1417239	IdentifierDeclType	AVBPrint		1417230	0					
ANR	1417240	Identifier	buf		1417230	1					
ANR	1417241	ExpressionStatement	"av_bprint_init ( & buf , 0 , AV_BPRINT_SIZE_UNLIMITED )"	11:4:133:182	1417230	2	True				
ANR	1417242	CallExpression	"av_bprint_init ( & buf , 0 , AV_BPRINT_SIZE_UNLIMITED )"		1417230	0					
ANR	1417243	Callee	av_bprint_init		1417230	0					
ANR	1417244	Identifier	av_bprint_init		1417230	0					
ANR	1417245	ArgumentList	& buf		1417230	1					
ANR	1417246	Argument	& buf		1417230	0					
ANR	1417247	UnaryOperationExpression	& buf		1417230	0					
ANR	1417248	UnaryOperator	&		1417230	0					
ANR	1417249	Identifier	buf		1417230	1					
ANR	1417250	Argument	0		1417230	1					
ANR	1417251	PrimaryExpression	0		1417230	0					
ANR	1417252	Argument	AV_BPRINT_SIZE_UNLIMITED		1417230	2					
ANR	1417253	Identifier	AV_BPRINT_SIZE_UNLIMITED		1417230	0					
ANR	1417254	ForStatement	for ( i = 0 ; i < sub -> num_rects ; i ++ )		1417230	3					
ANR	1417255	ForInit	i = 0 ;	15:9:196:201	1417230	0	True				
ANR	1417256	AssignmentExpression	i = 0		1417230	0		=			
ANR	1417257	Identifier	i		1417230	0					
ANR	1417258	PrimaryExpression	0		1417230	1					
ANR	1417259	Condition	i < sub -> num_rects	15:16:203:220	1417230	1	True				
ANR	1417260	RelationalExpression	i < sub -> num_rects		1417230	0		<			
ANR	1417261	Identifier	i		1417230	0					
ANR	1417262	PtrMemberAccess	sub -> num_rects		1417230	1					
ANR	1417263	Identifier	sub		1417230	0					
ANR	1417264	Identifier	num_rects		1417230	1					
ANR	1417265	PostIncDecOperationExpression	i ++	15:36:223:225	1417230	2	True				
ANR	1417266	Identifier	i		1417230	0					
ANR	1417267	IncDec	++		1417230	1					
ANR	1417268	CompoundStatement		23:8:291:305	1417230	3					
ANR	1417269	IdentifierDeclStatement	char * final_dialog ;	17:8:239:257	1417230	0	True				
ANR	1417270	IdentifierDecl	* final_dialog		1417230	0					
ANR	1417271	IdentifierDeclType	char *		1417230	0					
ANR	1417272	Identifier	final_dialog		1417230	1					
ANR	1417273	IdentifierDeclStatement	const char * dialog ;	19:8:268:286	1417230	1	True				
ANR	1417274	IdentifierDecl	* dialog		1417230	0					
ANR	1417275	IdentifierDeclType	const char *		1417230	0					
ANR	1417276	Identifier	dialog		1417230	1					
ANR	1417277	IdentifierDeclStatement	AVSubtitleRect * rect = sub -> rects [ i ] ;	21:8:297:333	1417230	2	True				
ANR	1417278	IdentifierDecl	* rect = sub -> rects [ i ]		1417230	0					
ANR	1417279	IdentifierDeclType	AVSubtitleRect *		1417230	0					
ANR	1417280	Identifier	rect		1417230	1					
ANR	1417281	AssignmentExpression	* rect = sub -> rects [ i ]		1417230	2		=			
ANR	1417282	Identifier	rect		1417230	0					
ANR	1417283	ArrayIndexing	sub -> rects [ i ]		1417230	1					
ANR	1417284	PtrMemberAccess	sub -> rects		1417230	0					
ANR	1417285	Identifier	sub		1417230	0					
ANR	1417286	Identifier	rects		1417230	1					
ANR	1417287	Identifier	i		1417230	1					
ANR	1417288	IdentifierDeclStatement	"int ts_start , ts_duration = - 1 ;"	23:8:344:374	1417230	3	True				
ANR	1417289	IdentifierDecl	ts_start		1417230	0					
ANR	1417290	IdentifierDeclType	int		1417230	0					
ANR	1417291	Identifier	ts_start		1417230	1					
ANR	1417292	IdentifierDecl	ts_duration = - 1		1417230	1					
ANR	1417293	IdentifierDeclType	int		1417230	0					
ANR	1417294	Identifier	ts_duration		1417230	1					
ANR	1417295	AssignmentExpression	ts_duration = - 1		1417230	2		=			
ANR	1417296	Identifier	ts_duration		1417230	0					
ANR	1417297	UnaryOperationExpression	- 1		1417230	1					
ANR	1417298	UnaryOperator	-		1417230	0					
ANR	1417299	PrimaryExpression	1		1417230	1					
ANR	1417300	IdentifierDeclStatement	long int layer ;	25:8:385:399	1417230	4	True				
ANR	1417301	IdentifierDecl	layer		1417230	0					
ANR	1417302	IdentifierDeclType	long int		1417230	0					
ANR	1417303	Identifier	layer		1417230	1					
ANR	1417304	IfStatement	"if ( rect -> type != SUBTITLE_ASS || ! strncmp ( rect -> ass , ""Dialogue "" , 10 ) )"		1417230	5					
ANR	1417305	Condition	"rect -> type != SUBTITLE_ASS || ! strncmp ( rect -> ass , ""Dialogue "" , 10 )"	29:12:416:481	1417230	0	True				
ANR	1417306	OrExpression	"rect -> type != SUBTITLE_ASS || ! strncmp ( rect -> ass , ""Dialogue "" , 10 )"		1417230	0		||			
ANR	1417307	EqualityExpression	rect -> type != SUBTITLE_ASS		1417230	0		!=			
ANR	1417308	PtrMemberAccess	rect -> type		1417230	0					
ANR	1417309	Identifier	rect		1417230	0					
