command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1435119	File	/home/p4ultr4n/workplace/ReVeal/raw_code/copy_sectors_01_1.c								
ANR	1435120	Function	copy_sectors	1:0:0:1809							
ANR	1435121	FunctionDef	"copy_sectors (BlockDriverState * bs , uint64_t start_sect , uint64_t cluster_offset , int n_start , int n_end)"		1435120	0					
ANR	1435122	CompoundStatement		5:0:240:1809	1435120	0					
ANR	1435123	IdentifierDeclStatement	BDRVQcowState * s = bs -> opaque ;	6:4:246:275	1435120	0	True				
ANR	1435124	IdentifierDecl	* s = bs -> opaque		1435120	0					
ANR	1435125	IdentifierDeclType	BDRVQcowState *		1435120	0					
ANR	1435126	Identifier	s		1435120	1					
ANR	1435127	AssignmentExpression	* s = bs -> opaque		1435120	2		=			
ANR	1435128	Identifier	s		1435120	0					
ANR	1435129	PtrMemberAccess	bs -> opaque		1435120	1					
ANR	1435130	Identifier	bs		1435120	0					
ANR	1435131	Identifier	opaque		1435120	1					
ANR	1435132	IdentifierDeclStatement	QEMUIOVector qiov ;	7:4:281:298	1435120	1	True				
ANR	1435133	IdentifierDecl	qiov		1435120	0					
ANR	1435134	IdentifierDeclType	QEMUIOVector		1435120	0					
ANR	1435135	Identifier	qiov		1435120	1					
ANR	1435136	IdentifierDeclStatement	struct iovec iov ;	8:4:304:320	1435120	2	True				
ANR	1435137	IdentifierDecl	iov		1435120	0					
ANR	1435138	IdentifierDeclType	struct iovec		1435120	0					
ANR	1435139	Identifier	iov		1435120	1					
ANR	1435140	IdentifierDeclStatement	"int n , ret ;"	9:4:326:336	1435120	3	True				
ANR	1435141	IdentifierDecl	n		1435120	0					
ANR	1435142	IdentifierDeclType	int		1435120	0					
ANR	1435143	Identifier	n		1435120	1					
ANR	1435144	IdentifierDecl	ret		1435120	1					
ANR	1435145	IdentifierDeclType	int		1435120	0					
ANR	1435146	Identifier	ret		1435120	1					
ANR	1435147	ReturnType	static int coroutine_fn		1435120	1					
ANR	1435148	Identifier	copy_sectors		1435120	2					
ANR	1435149	ParameterList	"BlockDriverState * bs , uint64_t start_sect , uint64_t cluster_offset , int n_start , int n_end"		1435120	3					
ANR	1435150	Parameter	BlockDriverState * bs	1:37:37:56	1435120	0	True				
ANR	1435151	ParameterType	BlockDriverState *		1435120	0					
ANR	1435152	Identifier	bs		1435120	1					
ANR	1435153	Parameter	uint64_t start_sect	2:37:96:114	1435120	1	True				
ANR	1435154	ParameterType	uint64_t		1435120	0					
ANR	1435155	Identifier	start_sect		1435120	1					
ANR	1435156	Parameter	uint64_t cluster_offset	3:37:154:176	1435120	2	True				
ANR	1435157	ParameterType	uint64_t		1435120	0					
ANR	1435158	Identifier	cluster_offset		1435120	1					
ANR	1435159	Parameter	int n_start	4:37:216:226	1435120	3	True				
ANR	1435160	ParameterType	int		1435120	0					
ANR	1435161	Identifier	n_start		1435120	1					
ANR	1435162	Parameter	int n_end	4:50:229:237	1435120	4	True				
ANR	1435163	ParameterType	int		1435120	0					
ANR	1435164	Identifier	n_end		1435120	1					
ANR	1435165	CFGEntryNode	ENTRY		1435120		True				
ANR	1435166	CFGExitNode	EXIT		1435120		True				
ANR	1435167	Symbol	n_end		1435120						
ANR	1435168	Symbol	ret		1435120						
ANR	1435169	Symbol	bs		1435120						
ANR	1435170	Symbol	iov		1435120						
ANR	1435171	Symbol	s		1435120						
ANR	1435172	Symbol	bs -> opaque		1435120						
ANR	1435173	Symbol	* bs		1435120						
ANR	1435174	Symbol	cluster_offset		1435120						
ANR	1435175	Symbol	n_start		1435120						
ANR	1435176	Symbol	start_sect		1435120						
ANR	1435177	Symbol	qiov		1435120						
ANR	1435178	Symbol	n		1435120						
