command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1605131	File	/home/p4ultr4n/workplace/ReVeal/raw_code/cuvid_decode_frame_1.c								
ANR	1605132	Function	cuvid_decode_frame	1:0:0:6638							
ANR	1605133	FunctionDef	"cuvid_decode_frame (AVCodecContext * avctx , void * data , int * got_frame , AVPacket * avpkt)"		1605132	0					
ANR	1605134	CompoundStatement		3:0:99:6638	1605132	0					
ANR	1605135	IdentifierDeclStatement	CuvidContext * ctx = avctx -> priv_data ;	5:4:106:142	1605132	0	True				
ANR	1605136	IdentifierDecl	* ctx = avctx -> priv_data		1605132	0					
ANR	1605137	IdentifierDeclType	CuvidContext *		1605132	0					
ANR	1605138	Identifier	ctx		1605132	1					
ANR	1605139	AssignmentExpression	* ctx = avctx -> priv_data		1605132	2		=			
ANR	1605140	Identifier	ctx		1605132	0					
ANR	1605141	PtrMemberAccess	avctx -> priv_data		1605132	1					
ANR	1605142	Identifier	avctx		1605132	0					
ANR	1605143	Identifier	priv_data		1605132	1					
ANR	1605144	IdentifierDeclStatement	AVHWDeviceContext * device_ctx = ( AVHWDeviceContext * ) ctx -> hwdevice -> data ;	7:4:149:220	1605132	1	True				
ANR	1605145	IdentifierDecl	* device_ctx = ( AVHWDeviceContext * ) ctx -> hwdevice -> data		1605132	0					
ANR	1605146	IdentifierDeclType	AVHWDeviceContext *		1605132	0					
ANR	1605147	Identifier	device_ctx		1605132	1					
ANR	1605148	AssignmentExpression	* device_ctx = ( AVHWDeviceContext * ) ctx -> hwdevice -> data		1605132	2		=			
ANR	1605149	Identifier	device_ctx		1605132	0					
ANR	1605150	CastExpression	( AVHWDeviceContext * ) ctx -> hwdevice -> data		1605132	1					
ANR	1605151	CastTarget	AVHWDeviceContext *		1605132	0					
ANR	1605152	PtrMemberAccess	ctx -> hwdevice -> data		1605132	1					
ANR	1605153	PtrMemberAccess	ctx -> hwdevice		1605132	0					
ANR	1605154	Identifier	ctx		1605132	0					
ANR	1605155	Identifier	hwdevice		1605132	1					
ANR	1605156	Identifier	data		1605132	1					
ANR	1605157	IdentifierDeclStatement	AVCUDADeviceContext * device_hwctx = device_ctx -> hwctx ;	9:4:227:280	1605132	2	True				
ANR	1605158	IdentifierDecl	* device_hwctx = device_ctx -> hwctx		1605132	0					
ANR	1605159	IdentifierDeclType	AVCUDADeviceContext *		1605132	0					
ANR	1605160	Identifier	device_hwctx		1605132	1					
