start	end	type	var
1615274	1615275	IS_AST_PARENT	
1615274	1615276	IS_AST_PARENT	
1615273	1615274	IS_AST_PARENT	
1615272	1615273	IS_AST_PARENT	
1615278	1615279	IS_AST_PARENT	
1615278	1615280	IS_AST_PARENT	
1615281	1615282	IS_AST_PARENT	
1615283	1615284	IS_AST_PARENT	
1615283	1615285	IS_AST_PARENT	
1615281	1615283	IS_AST_PARENT	
1615278	1615281	IS_AST_PARENT	
1615277	1615278	IS_AST_PARENT	
1615272	1615277	IS_AST_PARENT	
1615287	1615288	IS_AST_PARENT	
1615287	1615289	IS_AST_PARENT	
1615290	1615291	IS_AST_PARENT	
1615290	1615292	IS_AST_PARENT	
1615287	1615290	IS_AST_PARENT	
1615286	1615287	IS_AST_PARENT	
1615272	1615286	IS_AST_PARENT	
1615294	1615295	IS_AST_PARENT	
1615294	1615296	IS_AST_PARENT	
1615297	1615298	IS_AST_PARENT	
1615299	1615300	IS_AST_PARENT	
1615302	1615303	IS_AST_PARENT	
1615302	1615304	IS_AST_PARENT	
1615301	1615302	IS_AST_PARENT	
1615301	1615305	IS_AST_PARENT	
1615299	1615301	IS_AST_PARENT	
1615297	1615299	IS_AST_PARENT	
1615294	1615297	IS_AST_PARENT	
1615293	1615294	IS_AST_PARENT	
1615272	1615293	IS_AST_PARENT	
1615307	1615308	IS_AST_PARENT	
1615307	1615309	IS_AST_PARENT	
1615310	1615311	IS_AST_PARENT	
1615313	1615314	IS_AST_PARENT	
1615315	1615316	IS_AST_PARENT	
1615315	1615317	IS_AST_PARENT	
1615313	1615315	IS_AST_PARENT	
1615312	1615313	IS_AST_PARENT	
1615312	1615318	IS_AST_PARENT	
1615310	1615312	IS_AST_PARENT	
1615307	1615310	IS_AST_PARENT	
1615306	1615307	IS_AST_PARENT	
1615272	1615306	IS_AST_PARENT	
1615320	1615321	IS_AST_PARENT	
1615323	1615324	IS_AST_PARENT	
1615323	1615325	IS_AST_PARENT	
1615322	1615323	IS_AST_PARENT	
1615322	1615326	IS_AST_PARENT	
1615320	1615322	IS_AST_PARENT	
1615319	1615320	IS_AST_PARENT	
1615272	1615319	IS_AST_PARENT	
1615272	1615327	IS_AST_PARENT	
1615272	1615328	IS_AST_PARENT	
1615272	1615329	IS_AST_PARENT	
1615272	1615330	IS_AST_PARENT	
1615272	1615331	IS_AST_PARENT	
1615272	1615332	IS_AST_PARENT	
1615272	1615333	IS_AST_PARENT	
1615272	1615334	IS_AST_PARENT	
1615272	1615335	IS_AST_PARENT	
1615272	1615336	IS_AST_PARENT	
1615272	1615337	IS_AST_PARENT	
1615340	1615341	IS_AST_PARENT	
1615339	1615340	IS_AST_PARENT	
1615343	1615344	IS_AST_PARENT	
1615342	1615343	IS_AST_PARENT	
1615347	1615348	IS_AST_PARENT	
1615347	1615349	IS_AST_PARENT	
1615346	1615347	IS_AST_PARENT	
1615346	1615350	IS_AST_PARENT	
1615345	1615346	IS_AST_PARENT	
1615342	1615345	IS_AST_PARENT	
1615351	1615352	IS_AST_PARENT	
1615342	1615351	IS_AST_PARENT	
1615339	1615342	IS_AST_PARENT	
1615338	1615339	IS_AST_PARENT	
1615272	1615338	IS_AST_PARENT	
1615354	1615355	IS_AST_PARENT	
1615353	1615354	IS_AST_PARENT	
1615357	1615358	IS_AST_PARENT	
1615356	1615357	IS_AST_PARENT	
1615360	1615361	IS_AST_PARENT	
1615360	1615362	IS_AST_PARENT	
1615359	1615360	IS_AST_PARENT	
1615356	1615359	IS_AST_PARENT	
1615356	1615363	IS_AST_PARENT	
1615364	1615365	IS_AST_PARENT	
1615356	1615364	IS_AST_PARENT	
1615366	1615367	IS_AST_PARENT	
1615356	1615366	IS_AST_PARENT	
1615368	1615369	IS_AST_PARENT	
1615356	1615368	IS_AST_PARENT	
1615370	1615371	IS_AST_PARENT	
1615356	1615370	IS_AST_PARENT	
1615372	1615373	IS_AST_PARENT	
1615356	1615372	IS_AST_PARENT	
1615356	1615374	IS_AST_PARENT	
1615375	1615376	IS_AST_PARENT	
1615356	1615375	IS_AST_PARENT	
1615377	1615378	IS_AST_PARENT	
1615356	1615377	IS_AST_PARENT	
1615379	1615380	IS_AST_PARENT	
1615356	1615379	IS_AST_PARENT	
1615381	1615382	IS_AST_PARENT	
1615356	1615381	IS_AST_PARENT	
