start	end	type	var
1695551	1695552	IS_AST_PARENT	
1695551	1695553	IS_AST_PARENT	
1695554	1695555	IS_AST_PARENT	
1695556	1695557	IS_AST_PARENT	
1695556	1695558	IS_AST_PARENT	
1695554	1695556	IS_AST_PARENT	
1695551	1695554	IS_AST_PARENT	
1695550	1695551	IS_AST_PARENT	
1695549	1695550	IS_AST_PARENT	
1695560	1695561	IS_AST_PARENT	
1695560	1695562	IS_AST_PARENT	
1695563	1695564	IS_AST_PARENT	
1695565	1695566	IS_AST_PARENT	
1695565	1695567	IS_AST_PARENT	
1695563	1695565	IS_AST_PARENT	
1695560	1695563	IS_AST_PARENT	
1695559	1695560	IS_AST_PARENT	
1695549	1695559	IS_AST_PARENT	
1695569	1695570	IS_AST_PARENT	
1695569	1695571	IS_AST_PARENT	
1695572	1695573	IS_AST_PARENT	
1695575	1695576	IS_AST_PARENT	
1695575	1695577	IS_AST_PARENT	
1695574	1695575	IS_AST_PARENT	
1695574	1695578	IS_AST_PARENT	
1695572	1695574	IS_AST_PARENT	
1695569	1695572	IS_AST_PARENT	
1695568	1695569	IS_AST_PARENT	
1695549	1695568	IS_AST_PARENT	
1695580	1695581	IS_AST_PARENT	
1695580	1695582	IS_AST_PARENT	
1695583	1695584	IS_AST_PARENT	
1695585	1695586	IS_AST_PARENT	
1695585	1695587	IS_AST_PARENT	
1695583	1695585	IS_AST_PARENT	
1695580	1695583	IS_AST_PARENT	
1695579	1695580	IS_AST_PARENT	
1695549	1695579	IS_AST_PARENT	
1695589	1695590	IS_AST_PARENT	
1695589	1695591	IS_AST_PARENT	
1695592	1695593	IS_AST_PARENT	
1695596	1695597	IS_AST_PARENT	
1695596	1695598	IS_AST_PARENT	
1695595	1695596	IS_AST_PARENT	
1695595	1695599	IS_AST_PARENT	
1695594	1695595	IS_AST_PARENT	
1695594	1695600	IS_AST_PARENT	
1695592	1695594	IS_AST_PARENT	
1695589	1695592	IS_AST_PARENT	
1695588	1695589	IS_AST_PARENT	
1695601	1695602	IS_AST_PARENT	
1695601	1695603	IS_AST_PARENT	
