command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1880124	File	/home/p4ultr4n/workplace/ReVeal/raw_code/decode_lpc_01_1.c								
ANR	1880125	Function	decode_lpc	1:0:0:388							
ANR	1880126	FunctionDef	decode_lpc (WmallDecodeCtx * s)		1880125	0					
ANR	1880127	CompoundStatement		3:0:31:388	1880125	0					
ANR	1880128	IdentifierDeclStatement	"int ch , i , cbits ;"	5:4:38:54	1880125	0	True				
ANR	1880129	IdentifierDecl	ch		1880125	0					
ANR	1880130	IdentifierDeclType	int		1880125	0					
ANR	1880131	Identifier	ch		1880125	1					
ANR	1880132	IdentifierDecl	i		1880125	1					
ANR	1880133	IdentifierDeclType	int		1880125	0					
ANR	1880134	Identifier	i		1880125	1					
ANR	1880135	IdentifierDecl	cbits		1880125	2					
ANR	1880136	IdentifierDeclType	int		1880125	0					
ANR	1880137	Identifier	cbits		1880125	1					
ANR	1880138	ExpressionStatement	"s -> lpc_order = get_bits ( & s -> gb , 5 ) + 1"	7:4:61:99	1880125	1	True				
ANR	1880139	AssignmentExpression	"s -> lpc_order = get_bits ( & s -> gb , 5 ) + 1"		1880125	0		=			
ANR	1880140	PtrMemberAccess	s -> lpc_order		1880125	0					
ANR	1880141	Identifier	s		1880125	0					
ANR	1880142	Identifier	lpc_order		1880125	1					
ANR	1880143	AdditiveExpression	"get_bits ( & s -> gb , 5 ) + 1"		1880125	1		+			
ANR	1880144	CallExpression	"get_bits ( & s -> gb , 5 )"		1880125	0					
ANR	1880145	Callee	get_bits		1880125	0					
ANR	1880146	Identifier	get_bits		1880125	0					
ANR	1880147	ArgumentList	& s -> gb		1880125	1					
ANR	1880148	Argument	& s -> gb		1880125	0					
ANR	1880149	UnaryOperationExpression	& s -> gb		1880125	0					
ANR	1880150	UnaryOperator	&		1880125	0					
ANR	1880151	PtrMemberAccess	s -> gb		1880125	1					
ANR	1880152	Identifier	s		1880125	0					
ANR	1880153	Identifier	gb		1880125	1					
ANR	1880154	Argument	5		1880125	1					
ANR	1880155	PrimaryExpression	5		1880125	0					
ANR	1880156	PrimaryExpression	1		1880125	1					
ANR	1880157	ExpressionStatement	"s -> lpc_scaling = get_bits ( & s -> gb , 4 )"	9:4:106:142	1880125	2	True				
ANR	1880158	AssignmentExpression	"s -> lpc_scaling = get_bits ( & s -> gb , 4 )"		1880125	0		=			
ANR	1880159	PtrMemberAccess	s -> lpc_scaling		1880125	0					
ANR	1880160	Identifier	s		1880125	0					
ANR	1880161	Identifier	lpc_scaling		1880125	1					
ANR	1880162	CallExpression	"get_bits ( & s -> gb , 4 )"		1880125	1					
ANR	1880163	Callee	get_bits		1880125	0					
ANR	1880164	Identifier	get_bits		1880125	0					
ANR	1880165	ArgumentList	& s -> gb		1880125	1					
ANR	1880166	Argument	& s -> gb		1880125	0					
