command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	2003988	File	/home/p4ultr4n/workplace/ReVeal/raw_code/decode_pitch_lag_low_1.c								
ANR	2003989	Function	decode_pitch_lag_low	1:0:0:831							
ANR	2003990	FunctionDef	"decode_pitch_lag_low (int * lag_int , int * lag_frac , int pitch_index , uint8_t * base_lag_int , int subframe , enum Mode mode)"		2003989	0					
ANR	2003991	CompoundStatement		5:0:167:831	2003989	0					
ANR	2003992	IfStatement	if ( subframe == 0 || ( subframe == 2 && mode != MODE_6k60 ) )		2003989	0					
ANR	2003993	Condition	subframe == 0 || ( subframe == 2 && mode != MODE_6k60 )	7:8:178:230	2003989	0	True				
ANR	2003994	OrExpression	subframe == 0 || ( subframe == 2 && mode != MODE_6k60 )		2003989	0		||			
ANR	2003995	EqualityExpression	subframe == 0		2003989	0		==			
ANR	2003996	Identifier	subframe		2003989	0					
ANR	2003997	PrimaryExpression	0		2003989	1					
ANR	2003998	AndExpression	subframe == 2 && mode != MODE_6k60		2003989	1		&&			
ANR	2003999	EqualityExpression	subframe == 2		2003989	0		==			
ANR	2004000	Identifier	subframe		2003989	0					
ANR	2004001	PrimaryExpression	2		2003989	1					
ANR	2004002	EqualityExpression	mode != MODE_6k60		2003989	1		!=			
ANR	2004003	Identifier	mode		2003989	0					
ANR	2004004	Identifier	MODE_6k60		2003989	1					
ANR	2004005	CompoundStatement		3:63:65:65	2003989	1					
ANR	2004006	IfStatement	if ( pitch_index < 116 )		2003989	0					
ANR	2004007	Condition	pitch_index < 116	9:12:248:264	2003989	0	True				
ANR	2004008	RelationalExpression	pitch_index < 116		2003989	0		<			
ANR	2004009	Identifier	pitch_index		2003989	0					
ANR	2004010	PrimaryExpression	116		2003989	1					
ANR	2004011	CompoundStatement		5:31:99:99	2003989	1					
ANR	2004012	ExpressionStatement	* lag_int = ( pitch_index + 69 ) >> 1	11:12:282:317	2003989	0	True				
ANR	2004013	AssignmentExpression	* lag_int = ( pitch_index + 69 ) >> 1		2003989	0		=			
ANR	2004014	UnaryOperationExpression	* lag_int		2003989	0					
ANR	2004015	UnaryOperator	*		2003989	0					
ANR	2004016	Identifier	lag_int		2003989	1					
ANR	2004017	ShiftExpression	( pitch_index + 69 ) >> 1		2003989	1		>>			
ANR	2004018	AdditiveExpression	pitch_index + 69		2003989	0		+			
ANR	2004019	Identifier	pitch_index		2003989	0					
ANR	2004020	PrimaryExpression	69		2003989	1					
ANR	2004021	PrimaryExpression	1		2003989	1					
ANR	2004022	ExpressionStatement	* lag_frac = ( pitch_index - ( * lag_int << 1 ) + 68 ) << 1	13:12:332:385	2003989	1	True				
ANR	2004023	AssignmentExpression	* lag_frac = ( pitch_index - ( * lag_int << 1 ) + 68 ) << 1		2003989	0		=			
ANR	2004024	UnaryOperationExpression	* lag_frac		2003989	0					
ANR	2004025	UnaryOperator	*		2003989	0					
ANR	2004026	Identifier	lag_frac		2003989	1					
ANR	2004027	ShiftExpression	( pitch_index - ( * lag_int << 1 ) + 68 ) << 1		2003989	1		<<			
ANR	2004028	AdditiveExpression	pitch_index - ( * lag_int << 1 ) + 68		2003989	0		-			
ANR	2004029	Identifier	pitch_index		2003989	0					
ANR	2004030	AdditiveExpression	( * lag_int << 1 ) + 68		2003989	1		+			
ANR	2004031	ShiftExpression	* lag_int << 1		2003989	0		<<			
ANR	2004032	UnaryOperationExpression	* lag_int		2003989	0					
ANR	2004033	UnaryOperator	*		2003989	0					
ANR	2004034	Identifier	lag_int		2003989	1					
ANR	2004035	PrimaryExpression	1		2003989	1					
ANR	2004036	PrimaryExpression	68		2003989	1					
ANR	2004037	PrimaryExpression	1		2003989	1					
ANR	2004038	ElseStatement	else		2003989	0					
ANR	2004039	CompoundStatement		11:15:235:235	2003989	0					
ANR	2004040	ExpressionStatement	* lag_int = pitch_index - 24	17:12:418:446	2003989	0	True				
ANR	2004041	AssignmentExpression	* lag_int = pitch_index - 24		2003989	0		=			
ANR	2004042	UnaryOperationExpression	* lag_int		2003989	0					
ANR	2004043	UnaryOperator	*		2003989	0					
ANR	2004044	Identifier	lag_int		2003989	1					
ANR	2004045	AdditiveExpression	pitch_index - 24		2003989	1		-			
ANR	2004046	Identifier	pitch_index		2003989	0					
ANR	2004047	PrimaryExpression	24		2003989	1					
ANR	2004048	ExpressionStatement	* lag_frac = 0	19:12:461:474	2003989	1	True				
ANR	2004049	AssignmentExpression	* lag_frac = 0		2003989	0		=			
ANR	2004050	UnaryOperationExpression	* lag_frac		2003989	0					
ANR	2004051	UnaryOperator	*		2003989	0					
ANR	2004052	Identifier	lag_frac		2003989	1					
ANR	2004053	PrimaryExpression	0		2003989	1					
ANR	2004054	ExpressionStatement	"* base_lag_int = av_clip ( * lag_int - 8 - ( * lag_frac < 0 ) , AMRWB_P_DELAY_MIN , AMRWB_P_DELAY_MAX - 15 )"	25:8:536:667	2003989	1	True				
ANR	2004055	AssignmentExpression	"* base_lag_int = av_clip ( * lag_int - 8 - ( * lag_frac < 0 ) , AMRWB_P_DELAY_MIN , AMRWB_P_DELAY_MAX - 15 )"		2003989	0		=			
ANR	2004056	UnaryOperationExpression	* base_lag_int		2003989	0					
ANR	2004057	UnaryOperator	*		2003989	0					
ANR	2004058	Identifier	base_lag_int		2003989	1					
