command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	2415968	File	/home/p4ultr4n/workplace/ReVeal/raw_code/disas_thumb2_insn_0.c								
ANR	2415969	Function	disas_thumb2_insn	1:0:0:50993							
ANR	2415970	FunctionDef	"disas_thumb2_insn (CPUARMState * env , DisasContext * s , uint16_t insn_hw1)"		2415969	0					
ANR	2415971	CompoundStatement		3:0:84:50993	2415969	0					
ANR	2415972	IdentifierDeclStatement	"uint32_t insn , imm , shift , offset ;"	5:4:91:124	2415969	0	True				
ANR	2415973	IdentifierDecl	insn		2415969	0					
ANR	2415974	IdentifierDeclType	uint32_t		2415969	0					
ANR	2415975	Identifier	insn		2415969	1					
ANR	2415976	IdentifierDecl	imm		2415969	1					
ANR	2415977	IdentifierDeclType	uint32_t		2415969	0					
ANR	2415978	Identifier	imm		2415969	1					
ANR	2415979	IdentifierDecl	shift		2415969	2					
ANR	2415980	IdentifierDeclType	uint32_t		2415969	0					
ANR	2415981	Identifier	shift		2415969	1					
ANR	2415982	IdentifierDecl	offset		2415969	3					
ANR	2415983	IdentifierDeclType	uint32_t		2415969	0					
ANR	2415984	Identifier	offset		2415969	1					
ANR	2415985	IdentifierDeclStatement	"uint32_t rd , rn , rm , rs ;"	7:4:131:154	2415969	1	True				
ANR	2415986	IdentifierDecl	rd		2415969	0					
ANR	2415987	IdentifierDeclType	uint32_t		2415969	0					
ANR	2415988	Identifier	rd		2415969	1					
ANR	2415989	IdentifierDecl	rn		2415969	1					
ANR	2415990	IdentifierDeclType	uint32_t		2415969	0					
ANR	2415991	Identifier	rn		2415969	1					
ANR	2415992	IdentifierDecl	rm		2415969	2					
ANR	2415993	IdentifierDeclType	uint32_t		2415969	0					
ANR	2415994	Identifier	rm		2415969	1					
ANR	2415995	IdentifierDecl	rs		2415969	3					
ANR	2415996	IdentifierDeclType	uint32_t		2415969	0					
ANR	2415997	Identifier	rs		2415969	1					
ANR	2415998	IdentifierDeclStatement	TCGv_i32 tmp ;	9:4:161:173	2415969	2	True				
ANR	2415999	IdentifierDecl	tmp		2415969	0					
ANR	2416000	IdentifierDeclType	TCGv_i32		2415969	0					
ANR	2416001	Identifier	tmp		2415969	1					
ANR	2416002	IdentifierDeclStatement	TCGv_i32 tmp2 ;	11:4:180:193	2415969	3	True				
