command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	2507667	File	/home/p4ultr4n/workplace/ReVeal/raw_code/div32_1.c								
ANR	2507668	Function	div32	1:0:0:112							
ANR	2507669	FunctionDef	"div32 (uint32_t * q_ptr , uint64_t num , uint32_t den)"		2507668	0					
ANR	2507670	CompoundStatement		3:0:61:112	2507668	0					
ANR	2507671	ExpressionStatement	* q_ptr = num / den	5:4:68:86	2507668	0	True				
ANR	2507672	AssignmentExpression	* q_ptr = num / den		2507668	0		=			
ANR	2507673	UnaryOperationExpression	* q_ptr		2507668	0					
ANR	2507674	UnaryOperator	*		2507668	0					
ANR	2507675	Identifier	q_ptr		2507668	1					
ANR	2507676	MultiplicativeExpression	num / den		2507668	1		/			
ANR	2507677	Identifier	num		2507668	0					
ANR	2507678	Identifier	den		2507668	1					
ANR	2507679	ReturnStatement	return num % den ;	7:4:93:109	2507668	1	True				
ANR	2507680	MultiplicativeExpression	num % den		2507668	0		%			
ANR	2507681	Identifier	num		2507668	0					
ANR	2507682	Identifier	den		2507668	1					
ANR	2507683	ReturnType	uint32_t		2507668	1					
ANR	2507684	Identifier	div32		2507668	2					
ANR	2507685	ParameterList	"uint32_t * q_ptr , uint64_t num , uint32_t den"		2507668	3					
ANR	2507686	Parameter	uint32_t * q_ptr	1:15:15:29	2507668	0	True				
ANR	2507687	ParameterType	uint32_t *		2507668	0					
ANR	2507688	Identifier	q_ptr		2507668	1					
ANR	2507689	Parameter	uint64_t num	1:32:32:43	2507668	1	True				
ANR	2507690	ParameterType	uint64_t		2507668	0					
ANR	2507691	Identifier	num		2507668	1					
ANR	2507692	Parameter	uint32_t den	1:46:46:57	2507668	2	True				
ANR	2507693	ParameterType	uint32_t		2507668	0					
ANR	2507694	Identifier	den		2507668	1					
ANR	2507695	CFGEntryNode	ENTRY		2507668		True				
ANR	2507696	CFGExitNode	EXIT		2507668		True				
ANR	2507697	Symbol	q_ptr		2507668						
ANR	2507698	Symbol	num		2507668						
ANR	2507699	Symbol	den		2507668						
ANR	2507700	Symbol	* q_ptr		2507668						
