start	end	type	var
2517491	2517492	IS_AST_PARENT	
2517491	2517493	IS_AST_PARENT	
2517490	2517491	IS_AST_PARENT	
2517494	2517495	IS_AST_PARENT	
2517494	2517496	IS_AST_PARENT	
2517490	2517494	IS_AST_PARENT	
2517489	2517490	IS_AST_PARENT	
2517498	2517499	IS_AST_PARENT	
2517498	2517500	IS_AST_PARENT	
2517497	2517498	IS_AST_PARENT	
2517489	2517497	IS_AST_PARENT	
2517502	2517503	IS_AST_PARENT	
2517502	2517504	IS_AST_PARENT	
2517501	2517502	IS_AST_PARENT	
2517489	2517501	IS_AST_PARENT	
2517506	2517507	IS_AST_PARENT	
2517506	2517508	IS_AST_PARENT	
2517505	2517506	IS_AST_PARENT	
2517489	2517505	IS_AST_PARENT	
2517510	2517511	IS_AST_PARENT	
2517510	2517512	IS_AST_PARENT	
2517513	2517514	IS_AST_PARENT	
2517513	2517515	IS_AST_PARENT	
2517510	2517513	IS_AST_PARENT	
2517509	2517510	IS_AST_PARENT	
2517489	2517509	IS_AST_PARENT	
2517517	2517518	IS_AST_PARENT	
2517520	2517521	IS_AST_PARENT	
2517519	2517520	IS_AST_PARENT	
2517523	2517524	IS_AST_PARENT	
2517522	2517523	IS_AST_PARENT	
2517525	2517526	IS_AST_PARENT	
2517522	2517525	IS_AST_PARENT	
2517519	2517522	IS_AST_PARENT	
2517517	2517519	IS_AST_PARENT	
2517516	2517517	IS_AST_PARENT	
2517489	2517516	IS_AST_PARENT	
2517530	2517531	IS_AST_PARENT	
2517530	2517532	IS_AST_PARENT	
2517529	2517530	IS_AST_PARENT	
2517533	2517534	IS_AST_PARENT	
2517533	2517535	IS_AST_PARENT	
2517529	2517533	IS_AST_PARENT	
2517528	2517529	IS_AST_PARENT	
2517527	2517528	IS_AST_PARENT	
2517537	2517538	IS_AST_PARENT	
2517536	2517537	IS_AST_PARENT	
2517527	2517536	IS_AST_PARENT	
2517489	2517527	IS_AST_PARENT	
2517540	2517541	IS_AST_PARENT	
2517540	2517542	IS_AST_PARENT	
2517539	2517540	IS_AST_PARENT	
2517489	2517539	IS_AST_PARENT	
2517544	2517545	IS_AST_PARENT	
2517544	2517546	IS_AST_PARENT	
2517543	2517544	IS_AST_PARENT	
2517489	2517543	IS_AST_PARENT	
2517548	2517549	IS_AST_PARENT	
2517551	2517552	IS_AST_PARENT	
2517551	2517553	IS_AST_PARENT	
2517550	2517551	IS_AST_PARENT	
2517550	2517554	IS_AST_PARENT	
2517548	2517550	IS_AST_PARENT	
2517547	2517548	IS_AST_PARENT	
2517489	2517547	IS_AST_PARENT	
2517556	2517557	IS_AST_PARENT	
2517559	2517560	IS_AST_PARENT	
2517559	2517561	IS_AST_PARENT	
2517558	2517559	IS_AST_PARENT	
2517563	2517564	IS_AST_PARENT	
2517563	2517565	IS_AST_PARENT	
2517562	2517563	IS_AST_PARENT	
2517562	2517566	IS_AST_PARENT	
2517558	2517562	IS_AST_PARENT	
2517556	2517558	IS_AST_PARENT	
2517555	2517556	IS_AST_PARENT	
2517489	2517555	IS_AST_PARENT	
2517569	2517570	IS_AST_PARENT	
2517569	2517571	IS_AST_PARENT	
