command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	2553233	File	/home/p4ultr4n/workplace/ReVeal/raw_code/do_arm_semihosting_1.c								
ANR	2553234	Function	do_arm_semihosting	1:0:0:11146							
ANR	2553235	FunctionDef	do_arm_semihosting (CPUState * env)		2553234	0					
ANR	2553236	CompoundStatement		3:0:44:11146	2553234	0					
ANR	2553237	IdentifierDeclStatement	target_ulong args ;	5:4:51:68	2553234	0	True				
ANR	2553238	IdentifierDecl	args		2553234	0					
ANR	2553239	IdentifierDeclType	target_ulong		2553234	0					
ANR	2553240	Identifier	args		2553234	1					
ANR	2553241	IdentifierDeclStatement	char * s ;	7:4:75:83	2553234	1	True				
ANR	2553242	IdentifierDecl	* s		2553234	0					
ANR	2553243	IdentifierDeclType	char *		2553234	0					
ANR	2553244	Identifier	s		2553234	1					
ANR	2553245	IdentifierDeclStatement	int nr ;	9:4:90:96	2553234	2	True				
ANR	2553246	IdentifierDecl	nr		2553234	0					
ANR	2553247	IdentifierDeclType	int		2553234	0					
ANR	2553248	Identifier	nr		2553234	1					
ANR	2553249	IdentifierDeclStatement	uint32_t ret ;	11:4:103:115	2553234	3	True				
ANR	2553250	IdentifierDecl	ret		2553234	0					
ANR	2553251	IdentifierDeclType	uint32_t		2553234	0					
ANR	2553252	Identifier	ret		2553234	1					
ANR	2553253	IdentifierDeclStatement	uint32_t len ;	13:4:122:134	2553234	4	True				
ANR	2553254	IdentifierDecl	len		2553234	0					
ANR	2553255	IdentifierDeclType	uint32_t		2553234	0					
ANR	2553256	Identifier	len		2553234	1					
ANR	2553257	IdentifierDeclStatement	TaskState * ts = env -> opaque ;	17:4:166:193	2553234	5	True				
ANR	2553258	IdentifierDecl	* ts = env -> opaque		2553234	0					
ANR	2553259	IdentifierDeclType	TaskState *		2553234	0					
ANR	2553260	Identifier	ts		2553234	1					
ANR	2553261	AssignmentExpression	* ts = env -> opaque		2553234	2		=			
ANR	2553262	Identifier	ts		2553234	0					
ANR	2553263	PtrMemberAccess	env -> opaque		2553234	1					
ANR	2553264	Identifier	env		2553234	0					
ANR	2553265	Identifier	opaque		2553234	1					
ANR	2553266	ExpressionStatement	nr = env -> regs [ 0 ]	27:4:242:259	2553234	6	True				
ANR	2553267	AssignmentExpression	nr = env -> regs [ 0 ]		2553234	0		=			
ANR	2553268	Identifier	nr		2553234	0					
ANR	2553269	ArrayIndexing	env -> regs [ 0 ]		2553234	1					
ANR	2553270	PtrMemberAccess	env -> regs		2553234	0					
ANR	2553271	Identifier	env		2553234	0					
ANR	2553272	Identifier	regs		2553234	1					
ANR	2553273	PrimaryExpression	0		2553234	1					
ANR	2553274	ExpressionStatement	args = env -> regs [ 1 ]	29:4:266:285	2553234	7	True				
ANR	2553275	AssignmentExpression	args = env -> regs [ 1 ]		2553234	0		=			
ANR	2553276	Identifier	args		2553234	0					
ANR	2553277	ArrayIndexing	env -> regs [ 1 ]		2553234	1					
ANR	2553278	PtrMemberAccess	env -> regs		2553234	0					
ANR	2553279	Identifier	env		2553234	0					
ANR	2553280	Identifier	regs		2553234	1					
ANR	2553281	PrimaryExpression	1		2553234	1					
ANR	2553282	SwitchStatement	switch ( nr )		2553234	8					
ANR	2553283	Condition	nr	31:12:300:301	2553234	0	True				
ANR	2553284	Identifier	nr		2553234	0					
ANR	2553285	CompoundStatement		29:16:259:259	2553234	1					
ANR	2553286	Label	case SYS_OPEN :	33:4:311:324	2553234	0	True				
ANR	2553287	Identifier	SYS_OPEN		2553234	0					
ANR	2553288	IfStatement	if ( ! ( s = lock_user_string ( ARG ( 0 ) ) ) )		2553234	1					
ANR	2553289	Condition	! ( s = lock_user_string ( ARG ( 0 ) ) )	35:12:339:369	2553234	0	True				
ANR	2553290	UnaryOperationExpression	! ( s = lock_user_string ( ARG ( 0 ) ) )		2553234	0					
ANR	2553291	UnaryOperator	!		2553234	0					
ANR	2553292	AssignmentExpression	s = lock_user_string ( ARG ( 0 ) )		2553234	1		=			
ANR	2553293	Identifier	s		2553234	0					
ANR	2553294	CallExpression	lock_user_string ( ARG ( 0 ) )		2553234	1					
ANR	2553295	Callee	lock_user_string		2553234	0					
ANR	2553296	Identifier	lock_user_string		2553234	0					
ANR	2553297	ArgumentList	ARG ( 0 )		2553234	1					
ANR	2553298	Argument	ARG ( 0 )		2553234	0					
ANR	2553299	CallExpression	ARG ( 0 )		2553234	0					
ANR	2553300	Callee	ARG		2553234	0					
ANR	2553301	Identifier	ARG		2553234	0					
ANR	2553302	ArgumentList	0		2553234	1					
ANR	2553303	Argument	0		2553234	0					
ANR	2553304	PrimaryExpression	0		2553234	0					
ANR	2553305	ReturnStatement	return ( uint32_t ) - 1 ;	39:12:455:474	2553234	1	True				
ANR	2553306	CastExpression	( uint32_t ) - 1		2553234	0					
ANR	2553307	CastTarget	uint32_t		2553234	0					
ANR	2553308	UnaryOperationExpression	- 1		2553234	1					
ANR	2553309	UnaryOperator	-		2553234	0					
ANR	2553310	PrimaryExpression	1		2553234	1					
ANR	2553311	IfStatement	if ( ARG ( 1 ) >= 12 )		2553234	2					
ANR	2553312	Condition	ARG ( 1 ) >= 12	41:12:489:500	2553234	0	True				
ANR	2553313	RelationalExpression	ARG ( 1 ) >= 12		2553234	0		>=			
ANR	2553314	CallExpression	ARG ( 1 )		2553234	0					
ANR	2553315	Callee	ARG		2553234	0					
ANR	2553316	Identifier	ARG		2553234	0					
ANR	2553317	ArgumentList	1		2553234	1					
ANR	2553318	Argument	1		2553234	0					
ANR	2553319	PrimaryExpression	1		2553234	0					
ANR	2553320	PrimaryExpression	12		2553234	1					
ANR	2553321	ReturnStatement	return ( uint32_t ) - 1 ;	43:12:516:535	2553234	1	True				
ANR	2553322	CastExpression	( uint32_t ) - 1		2553234	0					
ANR	2553323	CastTarget	uint32_t		2553234	0					
ANR	2553324	UnaryOperationExpression	- 1		2553234	1					
ANR	2553325	UnaryOperator	-		2553234	0					
ANR	2553326	PrimaryExpression	1		2553234	1					
ANR	2553327	IfStatement	"if ( strcmp ( s , "":tt"" ) == 0 )"		2553234	3					
ANR	2553328	Condition	"strcmp ( s , "":tt"" ) == 0"	45:12:550:570	2553234	0	True				
ANR	2553329	EqualityExpression	"strcmp ( s , "":tt"" ) == 0"		2553234	0		==			
ANR	2553330	CallExpression	"strcmp ( s , "":tt"" )"		2553234	0					
ANR	2553331	Callee	strcmp		2553234	0					
ANR	2553332	Identifier	strcmp		2553234	0					
ANR	2553333	ArgumentList	s		2553234	1					
ANR	2553334	Argument	s		2553234	0					
ANR	2553335	Identifier	s		2553234	0					
ANR	2553336	Argument	""":tt"""		2553234	1					
ANR	2553337	PrimaryExpression	""":tt"""		2553234	0					
ANR	2553338	PrimaryExpression	0		2553234	1					
ANR	2553339	CompoundStatement		43:35:528:528	2553234	1					
ANR	2553340	IfStatement	if ( ARG ( 1 ) < 4 )		2553234	0					
ANR	2553341	Condition	ARG ( 1 ) < 4	47:16:592:601	2553234	0	True				
ANR	2553342	RelationalExpression	ARG ( 1 ) < 4		2553234	0		<			
ANR	2553343	CallExpression	ARG ( 1 )		2553234	0					
ANR	2553344	Callee	ARG		2553234	0					
ANR	2553345	Identifier	ARG		2553234	0					
ANR	2553346	ArgumentList	1		2553234	1					
ANR	2553347	Argument	1		2553234	0					
ANR	2553348	PrimaryExpression	1		2553234	0					
ANR	2553349	PrimaryExpression	4		2553234	1					
ANR	2553350	ReturnStatement	return STDIN_FILENO ;	49:16:621:640	2553234	1	True				
ANR	2553351	Identifier	STDIN_FILENO		2553234	0					
ANR	2553352	ElseStatement	else		2553234	0					
ANR	2553353	ReturnStatement	return STDOUT_FILENO ;	53:16:677:697	2553234	0	True				
ANR	2553354	Identifier	STDOUT_FILENO		2553234	0					
ANR	2553355	IfStatement	if ( use_gdb_syscalls ( ) )		2553234	4					
ANR	2553356	Condition	use_gdb_syscalls ( )	57:12:723:740	2553234	0	True				
ANR	2553357	CallExpression	use_gdb_syscalls ( )		2553234	0					
ANR	2553358	Callee	use_gdb_syscalls		2553234	0					
ANR	2553359	Identifier	use_gdb_syscalls		2553234	0					
ANR	2553360	ArgumentList			2553234	1					
ANR	2553361	CompoundStatement		55:32:698:698	2553234	1					
ANR	2553362	ExpressionStatement	"gdb_do_syscall ( arm_semi_cb , ""open,%s,%x,1a4"" , ARG ( 0 ) , ( int ) ARG ( 2 ) + 1 , gdb_open_modeflags [ ARG ( 1 ) ] )"	59:12:758:861	2553234	0	True				
ANR	2553363	CallExpression	"gdb_do_syscall ( arm_semi_cb , ""open,%s,%x,1a4"" , ARG ( 0 ) , ( int ) ARG ( 2 ) + 1 , gdb_open_modeflags [ ARG ( 1 ) ] )"		2553234	0					
ANR	2553364	Callee	gdb_do_syscall		2553234	0					
ANR	2553365	Identifier	gdb_do_syscall		2553234	0					
ANR	2553366	ArgumentList	arm_semi_cb		2553234	1					
ANR	2553367	Argument	arm_semi_cb		2553234	0					
ANR	2553368	Identifier	arm_semi_cb		2553234	0					
ANR	2553369	Argument	"""open,%s,%x,1a4"""		2553234	1					
ANR	2553370	PrimaryExpression	"""open,%s,%x,1a4"""		2553234	0					
ANR	2553371	Argument	ARG ( 0 )		2553234	2					
ANR	2553372	CallExpression	ARG ( 0 )		2553234	0					
ANR	2553373	Callee	ARG		2553234	0					
ANR	2553374	Identifier	ARG		2553234	0					
ANR	2553375	ArgumentList	0		2553234	1					
ANR	2553376	Argument	0		2553234	0					
ANR	2553377	PrimaryExpression	0		2553234	0					
ANR	2553378	Argument	( int ) ARG ( 2 ) + 1		2553234	3					
ANR	2553379	AdditiveExpression	( int ) ARG ( 2 ) + 1		2553234	0		+			
ANR	2553380	CastExpression	( int ) ARG ( 2 )		2553234	0					
ANR	2553381	CastTarget	int		2553234	0					
ANR	2553382	CallExpression	ARG ( 2 )		2553234	1					
ANR	2553383	Callee	ARG		2553234	0					
ANR	2553384	Identifier	ARG		2553234	0					
ANR	2553385	ArgumentList	2		2553234	1					
ANR	2553386	Argument	2		2553234	0					
ANR	2553387	PrimaryExpression	2		2553234	0					
ANR	2553388	PrimaryExpression	1		2553234	1					
ANR	2553389	Argument	gdb_open_modeflags [ ARG ( 1 ) ]		2553234	4					
ANR	2553390	ArrayIndexing	gdb_open_modeflags [ ARG ( 1 ) ]		2553234	0					
ANR	2553391	Identifier	gdb_open_modeflags		2553234	0					
ANR	2553392	CallExpression	ARG ( 1 )		2553234	1					
ANR	2553393	Callee	ARG		2553234	0					
ANR	2553394	Identifier	ARG		2553234	0					
ANR	2553395	ArgumentList	1		2553234	1					
ANR	2553396	Argument	1		2553234	0					
ANR	2553397	PrimaryExpression	1		2553234	0					
ANR	2553398	ReturnStatement	return env -> regs [ 0 ] ;	63:12:876:895	2553234	1	True				
ANR	2553399	ArrayIndexing	env -> regs [ 0 ]		2553234	0					
ANR	2553400	PtrMemberAccess	env -> regs		2553234	0					
ANR	2553401	Identifier	env		2553234	0					
ANR	2553402	Identifier	regs		2553234	1					
ANR	2553403	PrimaryExpression	0		2553234	1					
ANR	2553404	ElseStatement	else		2553234	0					
ANR	2553405	CompoundStatement		63:15:868:868	2553234	0					
ANR	2553406	ExpressionStatement	"ret = set_swi_errno ( ts , open ( s , open_modeflags [ ARG ( 1 ) ] , 0644 ) )"	67:12:928:990	2553234	0	True				
