start	end	type	var
2854159	2854160	IS_AST_PARENT	
2854159	2854161	IS_AST_PARENT	
2854159	2854162	IS_AST_PARENT	
2854159	2854163	IS_AST_PARENT	
2854159	2854164	IS_AST_PARENT	
2854159	2854165	IS_AST_PARENT	
2854159	2854166	IS_AST_PARENT	
2854159	2854167	IS_AST_PARENT	
2854159	2854168	IS_AST_PARENT	
2854159	2854169	IS_AST_PARENT	
2854159	2854170	IS_AST_PARENT	
2854159	2854171	IS_AST_PARENT	
2854159	2854172	IS_AST_PARENT	
2854159	2854173	IS_AST_PARENT	
2854159	2854174	IS_AST_PARENT	
2854159	2854175	IS_AST_PARENT	
2854159	2854176	IS_AST_PARENT	
2854159	2854177	IS_AST_PARENT	
2854159	2854178	IS_AST_PARENT	
2854159	2854179	IS_AST_PARENT	
2854159	2854180	IS_AST_PARENT	
2854159	2854181	IS_AST_PARENT	
2854159	2854182	IS_AST_PARENT	
2854159	2854183	IS_AST_PARENT	
2854159	2854184	IS_AST_PARENT	
2854159	2854185	IS_AST_PARENT	
2854159	2854186	IS_AST_PARENT	
2854159	2854187	IS_AST_PARENT	
2854159	2854188	IS_AST_PARENT	
2854159	2854189	IS_AST_PARENT	
2854159	2854190	IS_AST_PARENT	
2854159	2854191	IS_AST_PARENT	
2854159	2854192	IS_AST_PARENT	
2854159	2854193	IS_AST_PARENT	
2854159	2854194	IS_AST_PARENT	
2854159	2854195	IS_AST_PARENT	
2854159	2854196	IS_AST_PARENT	
2854159	2854197	IS_AST_PARENT	
2854159	2854198	IS_AST_PARENT	
2854159	2854199	IS_AST_PARENT	
2854159	2854200	IS_AST_PARENT	
2854159	2854201	IS_AST_PARENT	
2854159	2854202	IS_AST_PARENT	
2854159	2854203	IS_AST_PARENT	
2854159	2854204	IS_AST_PARENT	
2854159	2854205	IS_AST_PARENT	
2854159	2854206	IS_AST_PARENT	
2854158	2854159	IS_AST_PARENT	
2854158	2854207	IS_AST_PARENT	
2854158	2854208	IS_AST_PARENT	
2854210	2854211	IS_AST_PARENT	
2854210	2854212	IS_AST_PARENT	
2854209	2854210	IS_AST_PARENT	
2854158	2854209	IS_AST_PARENT	
2854213	2854210	FLOWS_TO	
2854210	2854160	FLOWS_TO	
2854160	2854161	FLOWS_TO	
2854161	2854162	FLOWS_TO	
2854162	2854163	FLOWS_TO	
2854163	2854164	FLOWS_TO	
2854164	2854165	FLOWS_TO	
2854165	2854166	FLOWS_TO	
2854166	2854167	FLOWS_TO	
2854167	2854168	FLOWS_TO	
2854168	2854169	FLOWS_TO	
2854169	2854170	FLOWS_TO	
2854170	2854171	FLOWS_TO	
2854171	2854172	FLOWS_TO	
2854172	2854173	FLOWS_TO	
2854173	2854174	FLOWS_TO	
2854174	2854175	FLOWS_TO	
2854175	2854176	FLOWS_TO	
2854176	2854177	FLOWS_TO	
2854177	2854178	FLOWS_TO	
2854178	2854179	FLOWS_TO	
2854179	2854180	FLOWS_TO	
2854180	2854181	FLOWS_TO	
2854181	2854182	FLOWS_TO	
2854182	2854183	FLOWS_TO	
2854183	2854184	FLOWS_TO	
2854184	2854185	FLOWS_TO	
2854185	2854186	FLOWS_TO	
2854186	2854187	FLOWS_TO	
2854187	2854188	FLOWS_TO	
2854188	2854189	FLOWS_TO	
2854189	2854190	FLOWS_TO	
2854190	2854191	FLOWS_TO	
2854191	2854192	FLOWS_TO	
2854192	2854193	FLOWS_TO	
2854193	2854194	FLOWS_TO	
2854194	2854195	FLOWS_TO	
2854195	2854196	FLOWS_TO	
2854196	2854197	FLOWS_TO	
2854197	2854198	FLOWS_TO	
