command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	3091574	File	/home/p4ultr4n/workplace/ReVeal/raw_code/event_notifier_dummy_cb_0.c								
ANR	3091575	Function	event_notifier_dummy_cb	1:0:0:58							
ANR	3091576	FunctionDef	event_notifier_dummy_cb (EventNotifier * e)		3091575	0					
ANR	3091577	CompoundStatement		3:0:55:58	3091575	0					
ANR	3091578	ReturnType	static void		3091575	1					
ANR	3091579	Identifier	event_notifier_dummy_cb		3091575	2					
ANR	3091580	ParameterList	EventNotifier * e		3091575	3					
ANR	3091581	Parameter	EventNotifier * e	1:36:36:51	3091575	0	True				
ANR	3091582	ParameterType	EventNotifier *		3091575	0					
ANR	3091583	Identifier	e		3091575	1					
ANR	3091584	CFGEntryNode	ENTRY		3091575		True				
ANR	3091585	CFGExitNode	EXIT		3091575		True				
ANR	3091586	Symbol	e		3091575						
