command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	3171184	File	/home/p4ultr4n/workplace/ReVeal/raw_code/ff_aac_coder_init_mips_1.c								
ANR	3171185	Function	ff_aac_coder_init_mips	1:0:0:563							
ANR	3171186	FunctionDef	ff_aac_coder_init_mips (AACEncContext * c)		3171185	0					
ANR	3171187	CompoundStatement		1:46:46:563	3171185	0					
ANR	3171188	IdentifierDeclStatement	AACCoefficientsEncoder * e = c -> coder ;	5:4:74:110	3171185	0	True				
ANR	3171189	IdentifierDecl	* e = c -> coder		3171185	0					
ANR	3171190	IdentifierDeclType	AACCoefficientsEncoder *		3171185	0					
ANR	3171191	Identifier	e		3171185	1					
ANR	3171192	AssignmentExpression	* e = c -> coder		3171185	2		=			
ANR	3171193	Identifier	e		3171185	0					
ANR	3171194	PtrMemberAccess	c -> coder		3171185	1					
ANR	3171195	Identifier	c		3171185	0					
ANR	3171196	Identifier	coder		3171185	1					
ANR	3171197	IdentifierDeclStatement	int option = c -> options . aac_coder ;	7:4:117:150	3171185	1	True				
ANR	3171198	IdentifierDecl	option = c -> options . aac_coder		3171185	0					
ANR	3171199	IdentifierDeclType	int		3171185	0					
ANR	3171200	Identifier	option		3171185	1					
ANR	3171201	AssignmentExpression	option = c -> options . aac_coder		3171185	2		=			
ANR	3171202	Identifier	option		3171185	0					
ANR	3171203	MemberAccess	c -> options . aac_coder		3171185	1					
ANR	3171204	PtrMemberAccess	c -> options		3171185	0					
ANR	3171205	Identifier	c		3171185	0					
ANR	3171206	Identifier	options		3171185	1					
ANR	3171207	Identifier	aac_coder		3171185	1					
ANR	3171208	IfStatement	if ( option == 2 )		3171185	2					
ANR	3171209	Condition	option == 2	11:8:163:173	3171185	0	True				
ANR	3171210	EqualityExpression	option == 2		3171185	0		==			
ANR	3171211	Identifier	option		3171185	0					
ANR	3171212	PrimaryExpression	2		3171185	1					
ANR	3171213	CompoundStatement		11:21:129:129	3171185	1					
ANR	3171214	ExpressionStatement	e -> quantize_and_encode_band = quantize_and_encode_band_mips	13:8:187:246	3171185	0	True				
ANR	3171215	AssignmentExpression	e -> quantize_and_encode_band = quantize_and_encode_band_mips		3171185	0		=			
ANR	3171216	PtrMemberAccess	e -> quantize_and_encode_band		3171185	0					
ANR	3171217	Identifier	e		3171185	0					
ANR	3171218	Identifier	quantize_and_encode_band		3171185	1					
ANR	3171219	Identifier	quantize_and_encode_band_mips		3171185	1					
ANR	3171220	ExpressionStatement	e -> encode_window_bands_info = codebook_trellis_rate	15:8:257:308	3171185	1	True				
ANR	3171221	AssignmentExpression	e -> encode_window_bands_info = codebook_trellis_rate		3171185	0		=			
ANR	3171222	PtrMemberAccess	e -> encode_window_bands_info		3171185	0					
ANR	3171223	Identifier	e		3171185	0					
ANR	3171224	Identifier	encode_window_bands_info		3171185	1					
ANR	3171225	Identifier	codebook_trellis_rate		3171185	1					
ANR	3171226	ExpressionStatement	e -> search_for_quantizers = search_for_quantizers_twoloop	19:8:337:396	3171185	2	True				
ANR	3171227	AssignmentExpression	e -> search_for_quantizers = search_for_quantizers_twoloop		3171185	0		=			
ANR	3171228	PtrMemberAccess	e -> search_for_quantizers		3171185	0					
ANR	3171229	Identifier	e		3171185	0					
ANR	3171230	Identifier	search_for_quantizers		3171185	1					
ANR	3171231	Identifier	search_for_quantizers_twoloop		3171185	1					
ANR	3171232	ExpressionStatement	e -> search_for_ms = search_for_ms_mips	27:4:455:503	3171185	3	True				
ANR	3171233	AssignmentExpression	e -> search_for_ms = search_for_ms_mips		3171185	0		=			
ANR	3171234	PtrMemberAccess	e -> search_for_ms		3171185	0					
ANR	3171235	Identifier	e		3171185	0					
ANR	3171236	Identifier	search_for_ms		3171185	1					
ANR	3171237	Identifier	search_for_ms_mips		3171185	1					
ANR	3171238	ReturnType	void		3171185	1					
ANR	3171239	Identifier	ff_aac_coder_init_mips		3171185	2					
ANR	3171240	ParameterList	AACEncContext * c		3171185	3					
ANR	3171241	Parameter	AACEncContext * c	1:28:28:43	3171185	0	True				
ANR	3171242	ParameterType	AACEncContext *		3171185	0					
ANR	3171243	Identifier	c		3171185	1					
ANR	3171244	CFGEntryNode	ENTRY		3171185		True				
ANR	3171245	CFGExitNode	EXIT		3171185		True				
ANR	3171246	Symbol	e -> search_for_quantizers		3171185						
ANR	3171247	Symbol	c		3171185						
ANR	3171248	Symbol	codebook_trellis_rate		3171185						
ANR	3171249	Symbol	e		3171185						
ANR	3171250	Symbol	e -> search_for_ms		3171185						
ANR	3171251	Symbol	quantize_and_encode_band_mips		3171185						
ANR	3171252	Symbol	c -> options . aac_coder		3171185						
ANR	3171253	Symbol	* c		3171185						
ANR	3171254	Symbol	search_for_ms_mips		3171185						
ANR	3171255	Symbol	e -> quantize_and_encode_band		3171185						
ANR	3171256	Symbol	* e		3171185						
ANR	3171257	Symbol	search_for_quantizers_twoloop		3171185						
ANR	3171258	Symbol	c -> coder		3171185						
ANR	3171259	Symbol	c -> options		3171185						
ANR	3171260	Symbol	e -> encode_window_bands_info		3171185						
ANR	3171261	Symbol	option		3171185						
