command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	3205398	File	/home/p4ultr4n/workplace/ReVeal/raw_code/ff_cavs_init_0.c								
ANR	3205399	Function	ff_cavs_init	1:0:0:1932							
ANR	3205400	FunctionDef	ff_cavs_init (AVCodecContext * avctx)		3205399	0					
ANR	3205401	CompoundStatement		3:0:49:1932	3205399	0					
ANR	3205402	IdentifierDeclStatement	AVSContext * h = avctx -> priv_data ;	5:4:56:88	3205399	0	True				
ANR	3205403	IdentifierDecl	* h = avctx -> priv_data		3205399	0					
ANR	3205404	IdentifierDeclType	AVSContext *		3205399	0					
ANR	3205405	Identifier	h		3205399	1					
ANR	3205406	AssignmentExpression	* h = avctx -> priv_data		3205399	2		=			
ANR	3205407	Identifier	h		3205399	0					
ANR	3205408	PtrMemberAccess	avctx -> priv_data		3205399	1					
ANR	3205409	Identifier	avctx		3205399	0					
ANR	3205410	Identifier	priv_data		3205399	1					
ANR	3205411	ExpressionStatement	"ff_blockdsp_init ( & h -> bdsp , avctx )"	9:4:97:130	3205399	1	True				
ANR	3205412	CallExpression	"ff_blockdsp_init ( & h -> bdsp , avctx )"		3205399	0					
ANR	3205413	Callee	ff_blockdsp_init		3205399	0					
ANR	3205414	Identifier	ff_blockdsp_init		3205399	0					
ANR	3205415	ArgumentList	& h -> bdsp		3205399	1					
ANR	3205416	Argument	& h -> bdsp		3205399	0					
ANR	3205417	UnaryOperationExpression	& h -> bdsp		3205399	0					
ANR	3205418	UnaryOperator	&		3205399	0					
ANR	3205419	PtrMemberAccess	h -> bdsp		3205399	1					
ANR	3205420	Identifier	h		3205399	0					
ANR	3205421	Identifier	bdsp		3205399	1					
ANR	3205422	Argument	avctx		3205399	1					
ANR	3205423	Identifier	avctx		3205399	0					
ANR	3205424	ExpressionStatement	"ff_h264chroma_init ( & h -> h264chroma , 8 )"	11:4:137:174	3205399	2	True				
ANR	3205425	CallExpression	"ff_h264chroma_init ( & h -> h264chroma , 8 )"		3205399	0					
ANR	3205426	Callee	ff_h264chroma_init		3205399	0					
ANR	3205427	Identifier	ff_h264chroma_init		3205399	0					
ANR	3205428	ArgumentList	& h -> h264chroma		3205399	1					
ANR	3205429	Argument	& h -> h264chroma		3205399	0					
ANR	3205430	UnaryOperationExpression	& h -> h264chroma		3205399	0					
ANR	3205431	UnaryOperator	&		3205399	0					
ANR	3205432	PtrMemberAccess	h -> h264chroma		3205399	1					
ANR	3205433	Identifier	h		3205399	0					
ANR	3205434	Identifier	h264chroma		3205399	1					
ANR	3205435	Argument	8		3205399	1					
ANR	3205436	PrimaryExpression	8		3205399	0					
ANR	3205437	ExpressionStatement	"ff_idctdsp_init ( & h -> idsp , avctx )"	13:4:181:213	3205399	3	True				
ANR	3205438	CallExpression	"ff_idctdsp_init ( & h -> idsp , avctx )"		3205399	0					
ANR	3205439	Callee	ff_idctdsp_init		3205399	0					
ANR	3205440	Identifier	ff_idctdsp_init		3205399	0					
ANR	3205441	ArgumentList	& h -> idsp		3205399	1					
ANR	3205442	Argument	& h -> idsp		3205399	0					
ANR	3205443	UnaryOperationExpression	& h -> idsp		3205399	0					
ANR	3205444	UnaryOperator	&		3205399	0					
ANR	3205445	PtrMemberAccess	h -> idsp		3205399	1					
ANR	3205446	Identifier	h		3205399	0					
ANR	3205447	Identifier	idsp		3205399	1					
ANR	3205448	Argument	avctx		3205399	1					
ANR	3205449	Identifier	avctx		3205399	0					
