start	end	type	var
3212042	3212043	IS_AST_PARENT	
3212042	3212044	IS_AST_PARENT	
3212041	3212042	IS_AST_PARENT	
3212040	3212041	IS_AST_PARENT	
3212046	3212047	IS_AST_PARENT	
3212046	3212048	IS_AST_PARENT	
3212045	3212046	IS_AST_PARENT	
3212040	3212045	IS_AST_PARENT	
3212053	3212054	IS_AST_PARENT	
3212053	3212055	IS_AST_PARENT	
3212052	3212053	IS_AST_PARENT	
3212052	3212056	IS_AST_PARENT	
3212051	3212052	IS_AST_PARENT	
3212051	3212057	IS_AST_PARENT	
3212050	3212051	IS_AST_PARENT	
3212049	3212050	IS_AST_PARENT	
3212058	3212059	IS_AST_PARENT	
3212058	3212060	IS_AST_PARENT	
3212058	3212061	IS_AST_PARENT	
3212058	3212062	IS_AST_PARENT	
3212058	3212063	IS_AST_PARENT	
3212064	3212065	IS_AST_PARENT	
3212064	3212066	IS_AST_PARENT	
3212064	3212067	IS_AST_PARENT	
3212064	3212068	IS_AST_PARENT	
3212064	3212069	IS_AST_PARENT	
3212064	3212070	IS_AST_PARENT	
3212064	3212071	IS_AST_PARENT	
3212058	3212064	IS_AST_PARENT	
3212058	3212072	IS_AST_PARENT	
3212049	3212058	IS_AST_PARENT	
3212076	3212077	IS_AST_PARENT	
3212079	3212080	IS_AST_PARENT	
3212079	3212081	IS_AST_PARENT	
3212078	3212079	IS_AST_PARENT	
3212078	3212082	IS_AST_PARENT	
3212076	3212078	IS_AST_PARENT	
3212075	3212076	IS_AST_PARENT	
3212074	3212075	IS_AST_PARENT	
3212073	3212074	IS_AST_PARENT	
3212049	3212073	IS_AST_PARENT	
3212040	3212049	IS_AST_PARENT	
3212085	3212086	IS_AST_PARENT	
3212085	3212087	IS_AST_PARENT	
3212084	3212085	IS_AST_PARENT	
3212083	3212084	IS_AST_PARENT	
3212089	3212090	IS_AST_PARENT	
3212089	3212091	IS_AST_PARENT	
3212088	3212089	IS_AST_PARENT	
3212083	3212088	IS_AST_PARENT	
3212092	3212093	IS_AST_PARENT	
3212094	3212095	IS_AST_PARENT	
3212096	3212097	IS_AST_PARENT	
3212096	3212098	IS_AST_PARENT	
3212094	3212096	IS_AST_PARENT	
3212092	3212094	IS_AST_PARENT	
3212083	3212092	IS_AST_PARENT	
3212104	3212105	IS_AST_PARENT	
3212104	3212106	IS_AST_PARENT	
3212103	3212104	IS_AST_PARENT	
3212107	3212108	IS_AST_PARENT	
3212107	3212109	IS_AST_PARENT	
3212103	3212107	IS_AST_PARENT	
3212102	3212103	IS_AST_PARENT	
3212102	3212110	IS_AST_PARENT	
3212101	3212102	IS_AST_PARENT	
3212113	3212114	IS_AST_PARENT	
3212113	3212115	IS_AST_PARENT	
3212112	3212113	IS_AST_PARENT	
3212112	3212116	IS_AST_PARENT	
3212111	3212112	IS_AST_PARENT	
3212111	3212117	IS_AST_PARENT	
3212101	3212111	IS_AST_PARENT	
3212100	3212101	IS_AST_PARENT	
3212099	3212100	IS_AST_PARENT	
3212120	3212121	IS_AST_PARENT	
3212120	3212122	IS_AST_PARENT	
3212119	3212120	IS_AST_PARENT	
3212119	3212123	IS_AST_PARENT	
3212118	3212119	IS_AST_PARENT	
3212099	3212118	IS_AST_PARENT	
3212083	3212099	IS_AST_PARENT	
3212040	3212083	IS_AST_PARENT	
3212129	3212130	IS_AST_PARENT	
3212129	3212131	IS_AST_PARENT	
3212128	3212129	IS_AST_PARENT	
3212132	3212133	IS_AST_PARENT	
3212132	3212134	IS_AST_PARENT	
3212128	3212132	IS_AST_PARENT	
3212127	3212128	IS_AST_PARENT	
3212127	3212135	IS_AST_PARENT	
3212126	3212127	IS_AST_PARENT	
3212137	3212138	IS_AST_PARENT	
3212137	3212139	IS_AST_PARENT	
3212136	3212137	IS_AST_PARENT	
3212140	3212141	IS_AST_PARENT	
3212140	3212142	IS_AST_PARENT	
3212136	3212140	IS_AST_PARENT	
3212126	3212136	IS_AST_PARENT	
3212125	3212126	IS_AST_PARENT	
3212124	3212125	IS_AST_PARENT	
3212145	3212146	IS_AST_PARENT	
3212145	3212147	IS_AST_PARENT	
3212144	3212145	IS_AST_PARENT	
3212144	3212148	IS_AST_PARENT	
3212143	3212144	IS_AST_PARENT	
3212124	3212143	IS_AST_PARENT	
3212040	3212124	IS_AST_PARENT	
