start	end	type	var
3369391	3369392	IS_AST_PARENT	
3369391	3369393	IS_AST_PARENT	
3369390	3369391	IS_AST_PARENT	
3369389	3369390	IS_AST_PARENT	
3369395	3369396	IS_AST_PARENT	
3369395	3369397	IS_AST_PARENT	
3369394	3369395	IS_AST_PARENT	
3369389	3369394	IS_AST_PARENT	
3369399	3369400	IS_AST_PARENT	
3369399	3369401	IS_AST_PARENT	
3369402	3369403	IS_AST_PARENT	
3369405	3369406	IS_AST_PARENT	
3369404	3369405	IS_AST_PARENT	
3369408	3369409	IS_AST_PARENT	
3369407	3369408	IS_AST_PARENT	
3369404	3369407	IS_AST_PARENT	
3369402	3369404	IS_AST_PARENT	
3369399	3369402	IS_AST_PARENT	
3369398	3369399	IS_AST_PARENT	
3369389	3369398	IS_AST_PARENT	
3369411	3369412	IS_AST_PARENT	
3369411	3369413	IS_AST_PARENT	
3369410	3369411	IS_AST_PARENT	
3369389	3369410	IS_AST_PARENT	
3369415	3369416	IS_AST_PARENT	
3369415	3369417	IS_AST_PARENT	
3369414	3369415	IS_AST_PARENT	
3369389	3369414	IS_AST_PARENT	
3369419	3369420	IS_AST_PARENT	
3369419	3369421	IS_AST_PARENT	
3369418	3369419	IS_AST_PARENT	
3369389	3369418	IS_AST_PARENT	
3369423	3369424	IS_AST_PARENT	
3369423	3369425	IS_AST_PARENT	
3369422	3369423	IS_AST_PARENT	
3369389	3369422	IS_AST_PARENT	
3369388	3369389	IS_AST_PARENT	
3369388	3369426	IS_AST_PARENT	
3369388	3369427	IS_AST_PARENT	
3369429	3369430	IS_AST_PARENT	
3369429	3369431	IS_AST_PARENT	
3369428	3369429	IS_AST_PARENT	
3369432	3369433	IS_AST_PARENT	
3369432	3369434	IS_AST_PARENT	
3369428	3369432	IS_AST_PARENT	
3369435	3369436	IS_AST_PARENT	
3369435	3369437	IS_AST_PARENT	
3369428	3369435	IS_AST_PARENT	
3369438	3369439	IS_AST_PARENT	
3369438	3369440	IS_AST_PARENT	
3369428	3369438	IS_AST_PARENT	
3369388	3369428	IS_AST_PARENT	
3369441	3369429	FLOWS_TO	
3369429	3369432	FLOWS_TO	
3369432	3369435	FLOWS_TO	
3369435	3369438	FLOWS_TO	
3369438	3369390	FLOWS_TO	
3369390	3369394	FLOWS_TO	
3369394	3369398	FLOWS_TO	
3369398	3369410	FLOWS_TO	
3369410	3369414	FLOWS_TO	
3369414	3369418	FLOWS_TO	
3369418	3369422	FLOWS_TO	
3369422	3369442	FLOWS_TO	
3369422	3369443	DEF	
3369423	3369443	DEF	
3369410	3369444	DEF	
3369411	3369444	DEF	
3369435	3369445	DEF	
3369394	3369446	DEF	
3369395	3369446	DEF	
3369414	3369447	DEF	
3369415	3369447	DEF	
3369398	3369448	DEF	
3369399	3369448	DEF	
3369402	3369448	DEF	
3369398	3369449	USE	
3369402	3369449	USE	
3369429	3369450	DEF	
3369398	3369450	USE	
3369408	3369450	USE	
3369418	3369451	DEF	
3369419	3369451	DEF	
3369432	3369452	DEF	
3369438	3369453	DEF	
3369390	3369454	DEF	
3369391	3369454	DEF	
3369429	3369398	REACHES	gb
3369441	3369429	CONTROLS	
3369441	3369432	CONTROLS	
3369441	3369435	CONTROLS	
3369441	3369438	CONTROLS	
3369441	3369390	CONTROLS	
3369441	3369394	CONTROLS	
3369441	3369398	CONTROLS	
3369441	3369410	CONTROLS	
3369441	3369414	CONTROLS	
3369441	3369418	CONTROLS	
3369441	3369422	CONTROLS	
3369414	3369418	DOM	
3369410	3369414	DOM	
3369441	3369429	DOM	
3369435	3369438	DOM	
3369398	3369410	DOM	
3369432	3369435	DOM	
3369390	3369394	DOM	
3369438	3369390	DOM	
3369429	3369432	DOM	
3369441	3369441	DOM	
3369422	3369442	DOM	
3369418	3369422	DOM	
3369394	3369398	DOM	
3369422	3369418	POST_DOM	
3369418	3369414	POST_DOM	
3369432	3369429	POST_DOM	
3369390	3369438	POST_DOM	
3369414	3369410	POST_DOM	
3369438	3369435	POST_DOM	
3369398	3369394	POST_DOM	
3369394	3369390	POST_DOM	
3369435	3369432	POST_DOM	
3369429	3369441	POST_DOM	
3369442	3369442	POST_DOM	
3369442	3369422	POST_DOM	
3369410	3369398	POST_DOM	
3369387	3369388	IS_FUNCTION_OF_AST	
3369387	3369441	IS_FUNCTION_OF_CFG	
3369386	3369387	IS_FILE_OF	
