command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	3486026	File	/home/p4ultr4n/workplace/ReVeal/raw_code/ff_img_read_packet_1.c								
ANR	3486027	Function	ff_img_read_packet	1:0:0:3613							
ANR	3486028	FunctionDef	"ff_img_read_packet (AVFormatContext * s1 , AVPacket * pkt)"		3486027	0					
ANR	3486029	CompoundStatement		3:0:60:3613	3486027	0					
ANR	3486030	IdentifierDeclStatement	VideoDemuxData * s = s1 -> priv_data ;	5:4:67:100	3486027	0	True				
ANR	3486031	IdentifierDecl	* s = s1 -> priv_data		3486027	0					
ANR	3486032	IdentifierDeclType	VideoDemuxData *		3486027	0					
ANR	3486033	Identifier	s		3486027	1					
ANR	3486034	AssignmentExpression	* s = s1 -> priv_data		3486027	2		=			
ANR	3486035	Identifier	s		3486027	0					
ANR	3486036	PtrMemberAccess	s1 -> priv_data		3486027	1					
ANR	3486037	Identifier	s1		3486027	0					
ANR	3486038	Identifier	priv_data		3486027	1					
ANR	3486039	IdentifierDeclStatement	char filename_bytes [ 1024 ] ;	7:4:107:132	3486027	1	True				
ANR	3486040	IdentifierDecl	filename_bytes [ 1024 ]		3486027	0					
ANR	3486041	IdentifierDeclType	char [ 1024 ]		3486027	0					
ANR	3486042	Identifier	filename_bytes		3486027	1					
ANR	3486043	PrimaryExpression	1024		3486027	2					
ANR	3486044	IdentifierDeclStatement	char * filename = filename_bytes ;	9:4:139:170	3486027	2	True				
ANR	3486045	IdentifierDecl	* filename = filename_bytes		3486027	0					
ANR	3486046	IdentifierDeclType	char *		3486027	0					
ANR	3486047	Identifier	filename		3486027	1					
ANR	3486048	AssignmentExpression	* filename = filename_bytes		3486027	2		=			
ANR	3486049	Identifier	filename_bytes		3486027	0					
ANR	3486050	Identifier	filename_bytes		3486027	1					
ANR	3486051	IdentifierDeclStatement	int i ;	11:4:177:182	3486027	3	True				
ANR	3486052	IdentifierDecl	i		3486027	0					
ANR	3486053	IdentifierDeclType	int		3486027	0					
ANR	3486054	Identifier	i		3486027	1					
ANR	3486055	IdentifierDeclStatement	"int size [ 3 ] = { 0 } , ret [ 3 ] = { 0 } ;"	13:4:189:234	3486027	4	True				
ANR	3486056	IdentifierDecl	size [ 3 ] = { 0 }		3486027	0					
ANR	3486057	IdentifierDeclType	int [ 3 ]		3486027	0					
ANR	3486058	Identifier	size		3486027	1					
ANR	3486059	PrimaryExpression	3		3486027	2					
ANR	3486060	AssignmentExpression	size [ 3 ] = { 0 }		3486027	3		=			
ANR	3486061	Identifier	size		3486027	0					
ANR	3486062	InitializerList	0		3486027	1					
ANR	3486063	PrimaryExpression	0		3486027	0					
ANR	3486064	IdentifierDecl	ret [ 3 ] = { 0 }		3486027	1					
ANR	3486065	IdentifierDeclType	int [ 3 ]		3486027	0					
ANR	3486066	Identifier	ret		3486027	1					
ANR	3486067	PrimaryExpression	3		3486027	2					
ANR	3486068	AssignmentExpression	ret [ 3 ] = { 0 }		3486027	3		=			
ANR	3486069	Identifier	ret		3486027	0					
ANR	3486070	InitializerList	0		3486027	1					
ANR	3486071	PrimaryExpression	0		3486027	0					
ANR	3486072	IdentifierDeclStatement	AVIOContext * f [ 3 ] = { NULL } ;	15:4:241:273	3486027	5	True				
ANR	3486073	IdentifierDecl	* f [ 3 ] = { NULL }		3486027	0					
ANR	3486074	IdentifierDeclType	AVIOContext * [ 3 ]		3486027	0					
ANR	3486075	Identifier	f		3486027	1					
ANR	3486076	PrimaryExpression	3		3486027	2					
ANR	3486077	AssignmentExpression	* f [ 3 ] = { NULL }		3486027	3		=			
ANR	3486078	Identifier	f		3486027	0					
ANR	3486079	InitializerList	NULL		3486027	1					
ANR	3486080	Identifier	NULL		3486027	0					
ANR	3486081	IdentifierDeclStatement	AVCodecContext * codec = s1 -> streams [ 0 ] -> codec ;	17:4:280:325	3486027	6	True				
ANR	3486082	IdentifierDecl	* codec = s1 -> streams [ 0 ] -> codec		3486027	0					
ANR	3486083	IdentifierDeclType	AVCodecContext *		3486027	0					
ANR	3486084	Identifier	codec		3486027	1					
ANR	3486085	AssignmentExpression	* codec = s1 -> streams [ 0 ] -> codec		3486027	2		=			
ANR	3486086	Identifier	codec		3486027	0					
ANR	3486087	PtrMemberAccess	s1 -> streams [ 0 ] -> codec		3486027	1					
ANR	3486088	ArrayIndexing	s1 -> streams [ 0 ]		3486027	0					
ANR	3486089	PtrMemberAccess	s1 -> streams		3486027	0					
ANR	3486090	Identifier	s1		3486027	0					
ANR	3486091	Identifier	streams		3486027	1					
ANR	3486092	PrimaryExpression	0		3486027	1					
ANR	3486093	Identifier	codec		3486027	1					
ANR	3486094	IfStatement	if ( ! s -> is_pipe )		3486027	7					
ANR	3486095	Condition	! s -> is_pipe	21:8:338:348	3486027	0	True				
ANR	3486096	UnaryOperationExpression	! s -> is_pipe		3486027	0					
ANR	3486097	UnaryOperator	!		3486027	0					
ANR	3486098	PtrMemberAccess	s -> is_pipe		3486027	1					
ANR	3486099	Identifier	s		3486027	0					
ANR	3486100	Identifier	is_pipe		3486027	1					
ANR	3486101	CompoundStatement		19:21:290:290	3486027	1					
ANR	3486102	IfStatement	if ( s -> loop && s -> img_number > s -> img_last )		3486027	0					
ANR	3486103	Condition	s -> loop && s -> img_number > s -> img_last	25:12:397:434	3486027	0	True				
ANR	3486104	AndExpression	s -> loop && s -> img_number > s -> img_last		3486027	0		&&			
ANR	3486105	PtrMemberAccess	s -> loop		3486027	0					
ANR	3486106	Identifier	s		3486027	0					
ANR	3486107	Identifier	loop		3486027	1					
ANR	3486108	RelationalExpression	s -> img_number > s -> img_last		3486027	1		>			
ANR	3486109	PtrMemberAccess	s -> img_number		3486027	0					
ANR	3486110	Identifier	s		3486027	0					
ANR	3486111	Identifier	img_number		3486027	1					
ANR	3486112	PtrMemberAccess	s -> img_last		3486027	1					
ANR	3486113	Identifier	s		3486027	0					
ANR	3486114	Identifier	img_last		3486027	1					
ANR	3486115	CompoundStatement		23:52:376:376	3486027	1					
ANR	3486116	ExpressionStatement	s -> img_number = s -> img_first	27:12:452:480	3486027	0	True				
ANR	3486117	AssignmentExpression	s -> img_number = s -> img_first		3486027	0		=			
