command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	3570163	File	/home/p4ultr4n/workplace/ReVeal/raw_code/ff_mpegts_parse_close_1.c								
ANR	3570164	Function	ff_mpegts_parse_close	1:0:0:144							
ANR	3570165	FunctionDef	ff_mpegts_parse_close (MpegTSContext * ts)		3570164	0					
ANR	3570166	CompoundStatement		3:0:47:144	3570164	0					
ANR	3570167	IdentifierDeclStatement	int i ;	5:4:54:59	3570164	0	True				
ANR	3570168	IdentifierDecl	i		3570164	0					
ANR	3570169	IdentifierDeclType	int		3570164	0					
ANR	3570170	Identifier	i		3570164	1					
ANR	3570171	ForStatement	for ( i = 0 ; i < NB_PID_MAX ; i ++ )		3570164	1					
ANR	3570172	ForInit	i = 0 ;	9:8:72:75	3570164	0	True				
ANR	3570173	AssignmentExpression	i = 0		3570164	0		=			
ANR	3570174	Identifier	i		3570164	0					
ANR	3570175	PrimaryExpression	0		3570164	1					
ANR	3570176	Condition	i < NB_PID_MAX	9:12:76:87	3570164	1	True				
ANR	3570177	RelationalExpression	i < NB_PID_MAX		3570164	0		<			
ANR	3570178	Identifier	i		3570164	0					
ANR	3570179	Identifier	NB_PID_MAX		3570164	1					
ANR	3570180	PostIncDecOperationExpression	i ++	9:25:89:91	3570164	2	True				
ANR	3570181	Identifier	i		3570164	0					
ANR	3570182	IncDec	++		3570164	1					
ANR	3570183	ExpressionStatement	av_free ( ts -> pids [ i ] )	11:8:103:123	3570164	3	True				
ANR	3570184	CallExpression	av_free ( ts -> pids [ i ] )		3570164	0					
ANR	3570185	Callee	av_free		3570164	0					
ANR	3570186	Identifier	av_free		3570164	0					
ANR	3570187	ArgumentList	ts -> pids [ i ]		3570164	1					
ANR	3570188	Argument	ts -> pids [ i ]		3570164	0					
ANR	3570189	ArrayIndexing	ts -> pids [ i ]		3570164	0					
ANR	3570190	PtrMemberAccess	ts -> pids		3570164	0					
ANR	3570191	Identifier	ts		3570164	0					
ANR	3570192	Identifier	pids		3570164	1					
ANR	3570193	Identifier	i		3570164	1					
ANR	3570194	ExpressionStatement	av_free ( ts )	13:4:130:141	3570164	2	True				
ANR	3570195	CallExpression	av_free ( ts )		3570164	0					
ANR	3570196	Callee	av_free		3570164	0					
ANR	3570197	Identifier	av_free		3570164	0					
ANR	3570198	ArgumentList	ts		3570164	1					
ANR	3570199	Argument	ts		3570164	0					
ANR	3570200	Identifier	ts		3570164	0					
ANR	3570201	ReturnType	void		3570164	1					
ANR	3570202	Identifier	ff_mpegts_parse_close		3570164	2					
ANR	3570203	ParameterList	MpegTSContext * ts		3570164	3					
ANR	3570204	Parameter	MpegTSContext * ts	1:27:27:43	3570164	0	True				
ANR	3570205	ParameterType	MpegTSContext *		3570164	0					
ANR	3570206	Identifier	ts		3570164	1					
ANR	3570207	CFGEntryNode	ENTRY		3570164		True				
ANR	3570208	CFGExitNode	EXIT		3570164		True				
ANR	3570209	Symbol	ts -> pids		3570164						
ANR	3570210	Symbol	* i		3570164						
ANR	3570211	Symbol	NB_PID_MAX		3570164						
ANR	3570212	Symbol	* ts		3570164						
ANR	3570213	Symbol	i		3570164						
ANR	3570214	Symbol	* * ts		3570164						
ANR	3570215	Symbol	* ts -> pids		3570164						
ANR	3570216	Symbol	ts		3570164						
