start	end	type	var
3631476	3631477	IS_AST_PARENT	
3631476	3631478	IS_AST_PARENT	
3631479	3631480	IS_AST_PARENT	
3631481	3631482	IS_AST_PARENT	
3631481	3631483	IS_AST_PARENT	
3631479	3631481	IS_AST_PARENT	
3631476	3631479	IS_AST_PARENT	
3631475	3631476	IS_AST_PARENT	
3631474	3631475	IS_AST_PARENT	
3631485	3631486	IS_AST_PARENT	
3631485	3631487	IS_AST_PARENT	
3631484	3631485	IS_AST_PARENT	
3631474	3631484	IS_AST_PARENT	
3631492	3631493	IS_AST_PARENT	
3631492	3631494	IS_AST_PARENT	
3631491	3631492	IS_AST_PARENT	
3631491	3631495	IS_AST_PARENT	
3631490	3631491	IS_AST_PARENT	
3631490	3631496	IS_AST_PARENT	
3631489	3631490	IS_AST_PARENT	
3631488	3631489	IS_AST_PARENT	
3631500	3631501	IS_AST_PARENT	
3631500	3631502	IS_AST_PARENT	
3631499	3631500	IS_AST_PARENT	
3631503	3631504	IS_AST_PARENT	
3631503	3631505	IS_AST_PARENT	
3631499	3631503	IS_AST_PARENT	
3631498	3631499	IS_AST_PARENT	
3631497	3631498	IS_AST_PARENT	
3631507	3631508	IS_AST_PARENT	
3631510	3631511	IS_AST_PARENT	
3631509	3631510	IS_AST_PARENT	
3631513	3631514	IS_AST_PARENT	
3631512	3631513	IS_AST_PARENT	
3631515	3631516	IS_AST_PARENT	
3631512	3631515	IS_AST_PARENT	
3631517	3631518	IS_AST_PARENT	
3631512	3631517	IS_AST_PARENT	
3631519	3631520	IS_AST_PARENT	
3631512	3631519	IS_AST_PARENT	
3631521	3631522	IS_AST_PARENT	
3631512	3631521	IS_AST_PARENT	
3631523	3631524	IS_AST_PARENT	
3631512	3631523	IS_AST_PARENT	
3631525	3631526	IS_AST_PARENT	
3631512	3631525	IS_AST_PARENT	
3631528	3631529	IS_AST_PARENT	
3631528	3631530	IS_AST_PARENT	
3631527	3631528	IS_AST_PARENT	
3631512	3631527	IS_AST_PARENT	
3631509	3631512	IS_AST_PARENT	
