start	end	type	var
3745745	3745746	IS_AST_PARENT	
3745745	3745747	IS_AST_PARENT	
3745744	3745745	IS_AST_PARENT	
3745748	3745749	IS_AST_PARENT	
3745748	3745750	IS_AST_PARENT	
3745744	3745748	IS_AST_PARENT	
3745743	3745744	IS_AST_PARENT	
3745743	3745751	IS_AST_PARENT	
3745753	3745754	IS_AST_PARENT	
3745753	3745755	IS_AST_PARENT	
3745752	3745753	IS_AST_PARENT	
3745756	3745757	IS_AST_PARENT	
3745756	3745758	IS_AST_PARENT	
3745752	3745756	IS_AST_PARENT	
3745759	3745760	IS_AST_PARENT	
3745759	3745761	IS_AST_PARENT	
3745752	3745759	IS_AST_PARENT	
3745762	3745763	IS_AST_PARENT	
3745762	3745764	IS_AST_PARENT	
3745752	3745762	IS_AST_PARENT	
3745765	3745766	IS_AST_PARENT	
3745765	3745767	IS_AST_PARENT	
3745752	3745765	IS_AST_PARENT	
3745768	3745769	IS_AST_PARENT	
3745768	3745770	IS_AST_PARENT	
3745752	3745768	IS_AST_PARENT	
3745771	3745772	IS_AST_PARENT	
3745771	3745773	IS_AST_PARENT	
3745752	3745771	IS_AST_PARENT	
3745774	3745775	IS_AST_PARENT	
3745774	3745776	IS_AST_PARENT	
3745752	3745774	IS_AST_PARENT	
3745777	3745778	IS_AST_PARENT	
3745777	3745779	IS_AST_PARENT	
3745752	3745777	IS_AST_PARENT	
3745780	3745781	IS_AST_PARENT	
3745780	3745782	IS_AST_PARENT	
3745752	3745780	IS_AST_PARENT	
3745783	3745784	IS_AST_PARENT	
3745783	3745785	IS_AST_PARENT	
3745752	3745783	IS_AST_PARENT	
3745743	3745752	IS_AST_PARENT	
3745743	3745786	IS_AST_PARENT	
3745788	3745789	IS_AST_PARENT	
3745788	3745790	IS_AST_PARENT	
3745787	3745788	IS_AST_PARENT	
3745791	3745792	IS_AST_PARENT	
3745791	3745793	IS_AST_PARENT	
3745787	3745791	IS_AST_PARENT	
3745794	3745795	IS_AST_PARENT	
3745794	3745796	IS_AST_PARENT	
3745787	3745794	IS_AST_PARENT	
3745797	3745798	IS_AST_PARENT	
3745797	3745799	IS_AST_PARENT	
3745787	3745797	IS_AST_PARENT	
3745800	3745801	IS_AST_PARENT	
3745800	3745802	IS_AST_PARENT	
3745787	3745800	IS_AST_PARENT	
3745803	3745804	IS_AST_PARENT	
3745803	3745805	IS_AST_PARENT	
