command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	3793100	File	/home/p4ultr4n/workplace/ReVeal/raw_code/ffv1_init_slice_state_0.c								
ANR	3793101	Function	ffv1_init_slice_state	1:0:0:1005							
ANR	3793102	FunctionDef	"ffv1_init_slice_state (FFV1Context * f , FFV1Context * fs)"		3793101	0					
ANR	3793103	CompoundStatement		3:0:60:1005	3793101	0					
ANR	3793104	IdentifierDeclStatement	int j ;	5:4:67:72	3793101	0	True				
ANR	3793105	IdentifierDecl	j		3793101	0					
ANR	3793106	IdentifierDeclType	int		3793101	0					
ANR	3793107	Identifier	j		3793101	1					
ANR	3793108	ExpressionStatement	fs -> plane_count = f -> plane_count	9:4:81:114	3793101	1	True				
ANR	3793109	AssignmentExpression	fs -> plane_count = f -> plane_count		3793101	0		=			
ANR	3793110	PtrMemberAccess	fs -> plane_count		3793101	0					
ANR	3793111	Identifier	fs		3793101	0					
ANR	3793112	Identifier	plane_count		3793101	1					
ANR	3793113	PtrMemberAccess	f -> plane_count		3793101	1					
ANR	3793114	Identifier	f		3793101	0					
ANR	3793115	Identifier	plane_count		3793101	1					
ANR	3793116	ExpressionStatement	fs -> transparency = f -> transparency	11:4:121:155	3793101	2	True				
ANR	3793117	AssignmentExpression	fs -> transparency = f -> transparency		3793101	0		=			
ANR	3793118	PtrMemberAccess	fs -> transparency		3793101	0					
ANR	3793119	Identifier	fs		3793101	0					
ANR	3793120	Identifier	transparency		3793101	1					
ANR	3793121	PtrMemberAccess	f -> transparency		3793101	1					
ANR	3793122	Identifier	f		3793101	0					
ANR	3793123	Identifier	transparency		3793101	1					
ANR	3793124	ForStatement	for ( j = 0 ; j < f -> plane_count ; j ++ )		3793101	3					
ANR	3793125	ForInit	j = 0 ;	13:9:167:172	3793101	0	True				
ANR	3793126	AssignmentExpression	j = 0		3793101	0		=			
ANR	3793127	Identifier	j		3793101	0					
ANR	3793128	PrimaryExpression	0		3793101	1					
ANR	3793129	Condition	j < f -> plane_count	13:16:174:191	3793101	1	True				
ANR	3793130	RelationalExpression	j < f -> plane_count		3793101	0		<			
ANR	3793131	Identifier	j		3793101	0					
ANR	3793132	PtrMemberAccess	f -> plane_count		3793101	1					
ANR	3793133	Identifier	f		3793101	0					
