command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	3863599	File	/home/p4ultr4n/workplace/ReVeal/raw_code/filter_frame_10_1.c								
ANR	3863600	Function	filter_frame	1:0:0:1356							
ANR	3863601	FunctionDef	"filter_frame (AVFilterLink * inlink , AVFilterBufferRef * cur_buf)"		3863600	0					
ANR	3863602	CompoundStatement		3:0:75:1356	3863600	0					
ANR	3863603	IdentifierDeclStatement	AlphaExtractContext * extract = inlink -> dst -> priv ;	5:4:82:130	3863600	0	True				
ANR	3863604	IdentifierDecl	* extract = inlink -> dst -> priv		3863600	0					
ANR	3863605	IdentifierDeclType	AlphaExtractContext *		3863600	0					
ANR	3863606	Identifier	extract		3863600	1					
ANR	3863607	AssignmentExpression	* extract = inlink -> dst -> priv		3863600	2		=			
ANR	3863608	Identifier	extract		3863600	0					
ANR	3863609	PtrMemberAccess	inlink -> dst -> priv		3863600	1					
ANR	3863610	PtrMemberAccess	inlink -> dst		3863600	0					
ANR	3863611	Identifier	inlink		3863600	0					
ANR	3863612	Identifier	dst		3863600	1					
ANR	3863613	Identifier	priv		3863600	1					
ANR	3863614	IdentifierDeclStatement	AVFilterLink * outlink = inlink -> dst -> outputs [ 0 ] ;	7:4:137:184	3863600	1	True				
ANR	3863615	IdentifierDecl	* outlink = inlink -> dst -> outputs [ 0 ]		3863600	0					
ANR	3863616	IdentifierDeclType	AVFilterLink *		3863600	0					
ANR	3863617	Identifier	outlink		3863600	1					
ANR	3863618	AssignmentExpression	* outlink = inlink -> dst -> outputs [ 0 ]		3863600	2		=			
ANR	3863619	Identifier	outlink		3863600	0					
ANR	3863620	ArrayIndexing	inlink -> dst -> outputs [ 0 ]		3863600	1					
ANR	3863621	PtrMemberAccess	inlink -> dst -> outputs		3863600	0					
ANR	3863622	PtrMemberAccess	inlink -> dst		3863600	0					
ANR	3863623	Identifier	inlink		3863600	0					
ANR	3863624	Identifier	dst		3863600	1					
