command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	4054026	File	/home/p4ultr4n/workplace/ReVeal/raw_code/ga_command_state_add_1.c								
ANR	4054027	Function	ga_command_state_add	1:0:0:308							
ANR	4054028	FunctionDef	"ga_command_state_add (GACommandState * cs , void ( * init ) ( void ) , void ( * cleanup ) ( void ))"		4054027	0					
ANR	4054029	CompoundStatement		7:0:144:308	4054027	0					
ANR	4054030	IdentifierDeclStatement	GACommandGroup * cg = g_malloc0 ( sizeof ( GACommandGroup ) ) ;	9:4:151:205	4054027	0	True				
ANR	4054031	IdentifierDecl	* cg = g_malloc0 ( sizeof ( GACommandGroup ) )		4054027	0					
ANR	4054032	IdentifierDeclType	GACommandGroup *		4054027	0					
ANR	4054033	Identifier	cg		4054027	1					
ANR	4054034	AssignmentExpression	* cg = g_malloc0 ( sizeof ( GACommandGroup ) )		4054027	2		=			
ANR	4054035	Identifier	cg		4054027	0					
ANR	4054036	CallExpression	g_malloc0 ( sizeof ( GACommandGroup ) )		4054027	1					
ANR	4054037	Callee	g_malloc0		4054027	0					
ANR	4054038	Identifier	g_malloc0		4054027	0					
ANR	4054039	ArgumentList	sizeof ( GACommandGroup )		4054027	1					
ANR	4054040	Argument	sizeof ( GACommandGroup )		4054027	0					
ANR	4054041	SizeofExpression	sizeof ( GACommandGroup )		4054027	0					
ANR	4054042	Sizeof	sizeof		4054027	0					
ANR	4054043	SizeofOperand	GACommandGroup		4054027	1					
ANR	4054044	ExpressionStatement	cg -> init = init	11:4:212:227	4054027	1	True				
ANR	4054045	AssignmentExpression	cg -> init = init		4054027	0		=			
ANR	4054046	PtrMemberAccess	cg -> init		4054027	0					
ANR	4054047	Identifier	cg		4054027	0					
ANR	4054048	Identifier	init		4054027	1					
ANR	4054049	Identifier	init		4054027	1					
ANR	4054050	ExpressionStatement	cg -> cleanup = cleanup	13:4:234:255	4054027	2	True				
ANR	4054051	AssignmentExpression	cg -> cleanup = cleanup		4054027	0		=			
ANR	4054052	PtrMemberAccess	cg -> cleanup		4054027	0					
ANR	4054053	Identifier	cg		4054027	0					
ANR	4054054	Identifier	cleanup		4054027	1					
ANR	4054055	Identifier	cleanup		4054027	1					
ANR	4054056	ExpressionStatement	"cs -> groups = g_slist_append ( cs -> groups , cg )"	15:4:262:305	4054027	3	True				
ANR	4054057	AssignmentExpression	"cs -> groups = g_slist_append ( cs -> groups , cg )"		4054027	0		=			
ANR	4054058	PtrMemberAccess	cs -> groups		4054027	0					
ANR	4054059	Identifier	cs		4054027	0					
ANR	4054060	Identifier	groups		4054027	1					
ANR	4054061	CallExpression	"g_slist_append ( cs -> groups , cg )"		4054027	1					
ANR	4054062	Callee	g_slist_append		4054027	0					
ANR	4054063	Identifier	g_slist_append		4054027	0					
ANR	4054064	ArgumentList	cs -> groups		4054027	1					
ANR	4054065	Argument	cs -> groups		4054027	0					
ANR	4054066	PtrMemberAccess	cs -> groups		4054027	0					
ANR	4054067	Identifier	cs		4054027	0					
ANR	4054068	Identifier	groups		4054027	1					
ANR	4054069	Argument	cg		4054027	1					
ANR	4054070	Identifier	cg		4054027	0					
ANR	4054071	ReturnType	void		4054027	1					
ANR	4054072	Identifier	ga_command_state_add		4054027	2					
ANR	4054073	ParameterList	"GACommandState * cs , void ( * init ) ( void ) , void ( * cleanup ) ( void )"		4054027	3					
ANR	4054074	Parameter	GACommandState * cs	1:26:26:43	4054027	0	True				
ANR	4054075	ParameterType	GACommandState *		4054027	0					
ANR	4054076	Identifier	cs		4054027	1					
ANR	4054077	Parameter	void ( * init ) ( void )	3:26:73:90	4054027	1	True				
ANR	4054078	ParameterType	(( void ) void) *		4054027	0					
ANR	4054079	Identifier	init		4054027	1					
ANR	4054080	Parameter	void ( * cleanup ) ( void )	5:26:120:140	4054027	2	True				
ANR	4054081	ParameterType	(( void ) void) *		4054027	0					
ANR	4054082	Identifier	cleanup		4054027	1					
ANR	4054083	CFGEntryNode	ENTRY		4054027		True				
ANR	4054084	CFGExitNode	EXIT		4054027		True				
ANR	4054085	Symbol	cs		4054027						
ANR	4054086	Symbol	cs -> groups		4054027						
ANR	4054087	Symbol	init		4054027						
ANR	4054088	Symbol	cg		4054027						
ANR	4054089	Symbol	cleanup		4054027						
ANR	4054090	Symbol	* cs		4054027						
ANR	4054091	Symbol	* cg		4054027						
ANR	4054092	Symbol	g_malloc0		4054027						
ANR	4054093	Symbol	cg -> init		4054027						
ANR	4054094	Symbol	g_slist_append		4054027						
ANR	4054095	Symbol	cg -> cleanup		4054027						
