start	end	type	var
4077087	4077088	IS_AST_PARENT	
4077087	4077089	IS_AST_PARENT	
4077087	4077090	IS_AST_PARENT	
4077086	4077087	IS_AST_PARENT	
4077085	4077086	IS_AST_PARENT	
4077092	4077093	IS_AST_PARENT	
4077092	4077094	IS_AST_PARENT	
4077091	4077092	IS_AST_PARENT	
4077095	4077096	IS_AST_PARENT	
4077095	4077097	IS_AST_PARENT	
4077091	4077095	IS_AST_PARENT	
4077085	4077091	IS_AST_PARENT	
4077099	4077100	IS_AST_PARENT	
4077099	4077101	IS_AST_PARENT	
4077098	4077099	IS_AST_PARENT	
4077085	4077098	IS_AST_PARENT	
4077103	4077104	IS_AST_PARENT	
4077103	4077105	IS_AST_PARENT	
4077102	4077103	IS_AST_PARENT	
4077106	4077107	IS_AST_PARENT	
4077106	4077108	IS_AST_PARENT	
4077102	4077106	IS_AST_PARENT	
4077085	4077102	IS_AST_PARENT	
4077110	4077111	IS_AST_PARENT	
4077110	4077112	IS_AST_PARENT	
4077109	4077110	IS_AST_PARENT	
4077085	4077109	IS_AST_PARENT	
4077114	4077115	IS_AST_PARENT	
4077114	4077116	IS_AST_PARENT	
4077114	4077117	IS_AST_PARENT	
4077113	4077114	IS_AST_PARENT	
4077085	4077113	IS_AST_PARENT	
4077119	4077120	IS_AST_PARENT	
4077119	4077121	IS_AST_PARENT	
4077118	4077119	IS_AST_PARENT	
4077085	4077118	IS_AST_PARENT	
4077123	4077124	IS_AST_PARENT	
4077127	4077128	IS_AST_PARENT	
4077126	4077127	IS_AST_PARENT	
4077130	4077131	IS_AST_PARENT	
4077129	4077130	IS_AST_PARENT	
4077132	4077133	IS_AST_PARENT	
4077129	4077132	IS_AST_PARENT	
4077134	4077135	IS_AST_PARENT	
4077129	4077134	IS_AST_PARENT	
4077126	4077129	IS_AST_PARENT	
4077125	4077126	IS_AST_PARENT	
4077125	4077136	IS_AST_PARENT	
4077123	4077125	IS_AST_PARENT	
4077122	4077123	IS_AST_PARENT	
4077085	4077122	IS_AST_PARENT	
4077139	4077140	IS_AST_PARENT	
4077143	4077144	IS_AST_PARENT	
4077143	4077145	IS_AST_PARENT	
4077142	4077143	IS_AST_PARENT	
4077142	4077146	IS_AST_PARENT	
4077141	4077142	IS_AST_PARENT	
4077141	4077147	IS_AST_PARENT	
4077139	4077141	IS_AST_PARENT	
4077138	4077139	IS_AST_PARENT	
4077137	4077138	IS_AST_PARENT	
4077150	4077151	IS_AST_PARENT	
4077150	4077152	IS_AST_PARENT	
4077149	4077150	IS_AST_PARENT	
4077148	4077149	IS_AST_PARENT	
4077137	4077148	IS_AST_PARENT	
4077085	4077137	IS_AST_PARENT	
4077157	4077158	IS_AST_PARENT	
4077156	4077157	IS_AST_PARENT	
4077160	4077161	IS_AST_PARENT	
4077159	4077160	IS_AST_PARENT	
4077162	4077163	IS_AST_PARENT	
4077159	4077162	IS_AST_PARENT	
4077156	4077159	IS_AST_PARENT	
4077155	4077156	IS_AST_PARENT	
4077155	4077164	IS_AST_PARENT	
4077154	4077155	IS_AST_PARENT	
4077153	4077154	IS_AST_PARENT	
4077167	4077168	IS_AST_PARENT	
4077167	4077169	IS_AST_PARENT	
4077166	4077167	IS_AST_PARENT	
4077165	4077166	IS_AST_PARENT	
4077153	4077165	IS_AST_PARENT	
4077085	4077153	IS_AST_PARENT	
4077174	4077175	IS_AST_PARENT	
4077174	4077176	IS_AST_PARENT	
4077173	4077174	IS_AST_PARENT	
4077173	4077177	IS_AST_PARENT	
4077172	4077173	IS_AST_PARENT	
4077172	4077178	IS_AST_PARENT	
4077171	4077172	IS_AST_PARENT	
4077170	4077171	IS_AST_PARENT	
4077181	4077182	IS_AST_PARENT	
4077181	4077183	IS_AST_PARENT	
