command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	4082501	File	/home/p4ultr4n/workplace/ReVeal/raw_code/gen_add16_1.c								
ANR	4082502	Function	gen_add16	1:0:0:335							
ANR	4082503	FunctionDef	"gen_add16 (TCGv t0 , TCGv t1)"		4082502	0					
ANR	4082504	CompoundStatement		3:0:41:335	4082502	0					
ANR	4082505	IdentifierDeclStatement	TCGv tmp = new_tmp ( ) ;	5:4:48:68	4082502	0	True				
ANR	4082506	IdentifierDecl	tmp = new_tmp ( )		4082502	0					
ANR	4082507	IdentifierDeclType	TCGv		4082502	0					
ANR	4082508	Identifier	tmp		4082502	1					
ANR	4082509	AssignmentExpression	tmp = new_tmp ( )		4082502	2		=			
ANR	4082510	Identifier	tmp		4082502	0					
ANR	4082511	CallExpression	new_tmp ( )		4082502	1					
ANR	4082512	Callee	new_tmp		4082502	0					
ANR	4082513	Identifier	new_tmp		4082502	0					
ANR	4082514	ArgumentList			4082502	1					
ANR	4082515	ExpressionStatement	"tcg_gen_xor_i32 ( tmp , t0 , t1 )"	7:4:75:103	4082502	1	True				
ANR	4082516	CallExpression	"tcg_gen_xor_i32 ( tmp , t0 , t1 )"		4082502	0					
ANR	4082517	Callee	tcg_gen_xor_i32		4082502	0					
ANR	4082518	Identifier	tcg_gen_xor_i32		4082502	0					
ANR	4082519	ArgumentList	tmp		4082502	1					
ANR	4082520	Argument	tmp		4082502	0					
ANR	4082521	Identifier	tmp		4082502	0					
ANR	4082522	Argument	t0		4082502	1					
ANR	4082523	Identifier	t0		4082502	0					
ANR	4082524	Argument	t1		4082502	2					
ANR	4082525	Identifier	t1		4082502	0					
ANR	4082526	ExpressionStatement	"tcg_gen_andi_i32 ( tmp , tmp , 0x8000 )"	9:4:110:144	4082502	2	True				
ANR	4082527	CallExpression	"tcg_gen_andi_i32 ( tmp , tmp , 0x8000 )"		4082502	0					
ANR	4082528	Callee	tcg_gen_andi_i32		4082502	0					
