command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	4087673	File	/home/p4ultr4n/workplace/ReVeal/raw_code/gen_arith_imm_0.c								
ANR	4087674	Function	gen_arith_imm	1:0:0:7577							
ANR	4087675	FunctionDef	"gen_arith_imm (CPUState * env , DisasContext * ctx , uint32_t opc , int rt , int rs , int16_t imm)"		4087674	0					
ANR	4087676	CompoundStatement		5:0:133:7577	4087674	0					
ANR	4087677	IdentifierDeclStatement	target_ulong uimm ;	7:4:140:157	4087674	0	True				
ANR	4087678	IdentifierDecl	uimm		4087674	0					
ANR	4087679	IdentifierDeclType	target_ulong		4087674	0					
ANR	4087680	Identifier	uimm		4087674	1					
ANR	4087681	IdentifierDeclStatement	"const char * opn = ""imm arith"" ;"	9:4:164:193	4087674	1	True				
ANR	4087682	IdentifierDecl	"* opn = ""imm arith"""		4087674	0					
ANR	4087683	IdentifierDeclType	const char *		4087674	0					
ANR	4087684	Identifier	opn		4087674	1					
ANR	4087685	AssignmentExpression	"* opn = ""imm arith"""		4087674	2		=			
ANR	4087686	Identifier	opn		4087674	0					
ANR	4087687	PrimaryExpression	"""imm arith"""		4087674	1					
ANR	4087688	IdentifierDeclStatement	TCGv t0 = tcg_temp_local_new ( TCG_TYPE_TL ) ;	11:4:200:241	4087674	2	True				
ANR	4087689	IdentifierDecl	t0 = tcg_temp_local_new ( TCG_TYPE_TL )		4087674	0					
ANR	4087690	IdentifierDeclType	TCGv		4087674	0					
ANR	4087691	Identifier	t0		4087674	1					
ANR	4087692	AssignmentExpression	t0 = tcg_temp_local_new ( TCG_TYPE_TL )		4087674	2		=			
ANR	4087693	Identifier	t0		4087674	0					
ANR	4087694	CallExpression	tcg_temp_local_new ( TCG_TYPE_TL )		4087674	1					
ANR	4087695	Callee	tcg_temp_local_new		4087674	0					
ANR	4087696	Identifier	tcg_temp_local_new		4087674	0					
ANR	4087697	ArgumentList	TCG_TYPE_TL		4087674	1					
ANR	4087698	Argument	TCG_TYPE_TL		4087674	0					
ANR	4087699	Identifier	TCG_TYPE_TL		4087674	0					
ANR	4087700	IfStatement	if ( rt == 0 && opc != OPC_ADDI && opc != OPC_DADDI )		4087674	3					
ANR	4087701	Condition	rt == 0 && opc != OPC_ADDI && opc != OPC_DADDI	15:8:254:299	4087674	0	True				
ANR	4087702	AndExpression	rt == 0 && opc != OPC_ADDI && opc != OPC_DADDI		4087674	0		&&			
ANR	4087703	EqualityExpression	rt == 0		4087674	0		==			
ANR	4087704	Identifier	rt		4087674	0					
ANR	4087705	PrimaryExpression	0		4087674	1					
ANR	4087706	AndExpression	opc != OPC_ADDI && opc != OPC_DADDI		4087674	1		&&			
ANR	4087707	EqualityExpression	opc != OPC_ADDI		4087674	0		!=			
ANR	4087708	Identifier	opc		4087674	0					
ANR	4087709	Identifier	OPC_ADDI		4087674	1					
ANR	4087710	EqualityExpression	opc != OPC_DADDI		4087674	1		!=			
ANR	4087711	Identifier	opc		4087674	0					
ANR	4087712	Identifier	OPC_DADDI		4087674	1					
ANR	4087713	CompoundStatement		11:56:168:168	4087674	1					
ANR	4087714	ExpressionStatement	"MIPS_DEBUG ( ""NOP"" )"	21:8:441:458	4087674	0	True				
ANR	4087715	CallExpression	"MIPS_DEBUG ( ""NOP"" )"		4087674	0					
ANR	4087716	Callee	MIPS_DEBUG		4087674	0					
ANR	4087717	Identifier	MIPS_DEBUG		4087674	0					
ANR	4087718	ArgumentList	"""NOP"""		4087674	1					
ANR	4087719	Argument	"""NOP"""		4087674	0					
ANR	4087720	PrimaryExpression	"""NOP"""		4087674	0					
ANR	4087721	GotoStatement	goto out ;	23:8:469:477	4087674	1	True				
ANR	4087722	Identifier	out		4087674	0					
ANR	4087723	ExpressionStatement	uimm = ( uint16_t ) imm	27:4:491:511	4087674	4	True				
ANR	4087724	AssignmentExpression	uimm = ( uint16_t ) imm		4087674	0		=			
ANR	4087725	Identifier	uimm		4087674	0					
ANR	4087726	CastExpression	( uint16_t ) imm		4087674	1					
ANR	4087727	CastTarget	uint16_t		4087674	0					
ANR	4087728	Identifier	imm		4087674	1					
ANR	4087729	SwitchStatement	switch ( opc )		4087674	5					
ANR	4087730	Condition	opc	29:12:526:528	4087674	0	True				
ANR	4087731	Identifier	opc		4087674	0					
ANR	4087732	CompoundStatement		25:17:397:397	4087674	1					
ANR	4087733	Label	case OPC_ADDI :	31:4:538:551	4087674	0	True				
ANR	4087734	Identifier	OPC_ADDI		4087674	0					
ANR	4087735	Label	case OPC_ADDIU :	33:4:558:572	4087674	1	True				
ANR	4087736	Identifier	OPC_ADDIU		4087674	0					
ANR	4087737	Label	case OPC_DADDI :	37:4:607:621	4087674	2	True				
ANR	4087738	Identifier	OPC_DADDI		4087674	0					
ANR	4087739	Label	case OPC_DADDIU :	39:4:628:643	4087674	3	True				
ANR	4087740	Identifier	OPC_DADDIU		4087674	0					
ANR	4087741	Label	case OPC_SLTI :	43:4:658:671	4087674	4	True				
ANR	4087742	Identifier	OPC_SLTI		4087674	0					
ANR	4087743	Label	case OPC_SLTIU :	45:4:678:692	4087674	5	True				
ANR	4087744	Identifier	OPC_SLTIU		4087674	0					
ANR	4087745	ExpressionStatement	uimm = ( target_long ) imm	47:8:703:726	4087674	6	True				
ANR	4087746	AssignmentExpression	uimm = ( target_long ) imm		4087674	0		=			
ANR	4087747	Identifier	uimm		4087674	0					
ANR	4087748	CastExpression	( target_long ) imm		4087674	1					
ANR	4087749	CastTarget	target_long		4087674	0					
ANR	4087750	Identifier	imm		4087674	1					
ANR	4087751	Label	case OPC_ANDI :	51:4:794:807	4087674	7	True				
ANR	4087752	Identifier	OPC_ANDI		4087674	0					
ANR	4087753	Label	case OPC_ORI :	53:4:814:826	4087674	8	True				
ANR	4087754	Identifier	OPC_ORI		4087674	0					
ANR	4087755	Label	case OPC_XORI :	55:4:833:846	4087674	9	True				
ANR	4087756	Identifier	OPC_XORI		4087674	0					
ANR	4087757	ExpressionStatement	"gen_load_gpr ( t0 , rs )"	57:8:857:877	4087674	10	True				
ANR	4087758	CallExpression	"gen_load_gpr ( t0 , rs )"		4087674	0					
ANR	4087759	Callee	gen_load_gpr		4087674	0					
ANR	4087760	Identifier	gen_load_gpr		4087674	0					
ANR	4087761	ArgumentList	t0		4087674	1					
ANR	4087762	Argument	t0		4087674	0					
ANR	4087763	Identifier	t0		4087674	0					
ANR	4087764	Argument	rs		4087674	1					
ANR	4087765	Identifier	rs		4087674	0					
ANR	4087766	BreakStatement	break ;	59:8:888:893	4087674	11	True				
ANR	4087767	Label	case OPC_LUI :	61:4:900:912	4087674	12	True				
ANR	4087768	Identifier	OPC_LUI		4087674	0					
ANR	4087769	ExpressionStatement	"tcg_gen_movi_tl ( t0 , imm << 16 )"	63:8:923:953	4087674	13	True				
ANR	4087770	CallExpression	"tcg_gen_movi_tl ( t0 , imm << 16 )"		4087674	0					
ANR	4087771	Callee	tcg_gen_movi_tl		4087674	0					
ANR	4087772	Identifier	tcg_gen_movi_tl		4087674	0					
ANR	4087773	ArgumentList	t0		4087674	1					
ANR	4087774	Argument	t0		4087674	0					
ANR	4087775	Identifier	t0		4087674	0					
ANR	4087776	Argument	imm << 16		4087674	1					
ANR	4087777	ShiftExpression	imm << 16		4087674	0		<<			
ANR	4087778	Identifier	imm		4087674	0					
ANR	4087779	PrimaryExpression	16		4087674	1					
ANR	4087780	BreakStatement	break ;	65:8:964:969	4087674	14	True				
ANR	4087781	Label	case OPC_SLL :	67:4:976:988	4087674	15	True				
ANR	4087782	Identifier	OPC_SLL		4087674	0					
ANR	4087783	Label	case OPC_SRA :	69:4:995:1007	4087674	16	True				
ANR	4087784	Identifier	OPC_SRA		4087674	0					
ANR	4087785	Label	case OPC_SRL :	71:4:1014:1026	4087674	17	True				
ANR	4087786	Identifier	OPC_SRL		4087674	0					
ANR	4087787	Label	case OPC_DSLL :	75:4:1061:1074	4087674	18	True				
ANR	4087788	Identifier	OPC_DSLL		4087674	0					
ANR	4087789	Label	case OPC_DSRA :	77:4:1081:1094	4087674	19	True				
ANR	4087790	Identifier	OPC_DSRA		4087674	0					
ANR	4087791	Label	case OPC_DSRL :	79:4:1101:1114	4087674	20	True				
ANR	4087792	Identifier	OPC_DSRL		4087674	0					
ANR	4087793	Label	case OPC_DSLL32 :	81:4:1121:1136	4087674	21	True				
ANR	4087794	Identifier	OPC_DSLL32		4087674	0					
ANR	4087795	Label	case OPC_DSRA32 :	83:4:1143:1158	4087674	22	True				
ANR	4087796	Identifier	OPC_DSRA32		4087674	0					
ANR	4087797	Label	case OPC_DSRL32 :	85:4:1165:1180	4087674	23	True				
ANR	4087798	Identifier	OPC_DSRL32		4087674	0					
ANR	4087799	ExpressionStatement	uimm &= 0x1f	89:8:1199:1211	4087674	24	True				
ANR	4087800	AssignmentExpression	uimm &= 0x1f		4087674	0		&=			
ANR	4087801	Identifier	uimm		4087674	0					
ANR	4087802	PrimaryExpression	0x1f		4087674	1					
ANR	4087803	ExpressionStatement	"gen_load_gpr ( t0 , rs )"	91:8:1222:1242	4087674	25	True				
ANR	4087804	CallExpression	"gen_load_gpr ( t0 , rs )"		4087674	0					
ANR	4087805	Callee	gen_load_gpr		4087674	0					
ANR	4087806	Identifier	gen_load_gpr		4087674	0					
ANR	4087807	ArgumentList	t0		4087674	1					
ANR	4087808	Argument	t0		4087674	0					
ANR	4087809	Identifier	t0		4087674	0					
ANR	4087810	Argument	rs		4087674	1					
ANR	4087811	Identifier	rs		4087674	0					
ANR	4087812	BreakStatement	break ;	93:8:1253:1258	4087674	26	True				
ANR	4087813	SwitchStatement	switch ( opc )		4087674	6					
ANR	4087814	Condition	opc	97:12:1280:1282	4087674	0	True				
ANR	4087815	Identifier	opc		4087674	0					
ANR	4087816	CompoundStatement		93:17:1151:1151	4087674	1					
ANR	4087817	Label	case OPC_ADDI :	99:4:1292:1305	4087674	0	True				
ANR	4087818	Identifier	OPC_ADDI		4087674	0					
ANR	4087819	CompoundStatement		103:12:1311:1335	4087674	1					
ANR	4087820	IdentifierDeclStatement	TCGv r_tmp1 = tcg_temp_local_new ( TCG_TYPE_TL ) ;	103:12:1331:1376	4087674	0	True				
ANR	4087821	IdentifierDecl	r_tmp1 = tcg_temp_local_new ( TCG_TYPE_TL )		4087674	0					
ANR	4087822	IdentifierDeclType	TCGv		4087674	0					
ANR	4087823	Identifier	r_tmp1		4087674	1					
ANR	4087824	AssignmentExpression	r_tmp1 = tcg_temp_local_new ( TCG_TYPE_TL )		4087674	2		=			
ANR	4087825	Identifier	r_tmp1		4087674	0					
ANR	4087826	CallExpression	tcg_temp_local_new ( TCG_TYPE_TL )		4087674	1					
ANR	4087827	Callee	tcg_temp_local_new		4087674	0					
ANR	4087828	Identifier	tcg_temp_local_new		4087674	0					
ANR	4087829	ArgumentList	TCG_TYPE_TL		4087674	1					
ANR	4087830	Argument	TCG_TYPE_TL		4087674	0					
ANR	4087831	Identifier	TCG_TYPE_TL		4087674	0					
