start	end	type	var
4163256	4163257	IS_AST_PARENT	
4163256	4163258	IS_AST_PARENT	
4163259	4163260	IS_AST_PARENT	
4163262	4163263	IS_AST_PARENT	
4163261	4163262	IS_AST_PARENT	
4163265	4163266	IS_AST_PARENT	
4163264	4163265	IS_AST_PARENT	
4163261	4163264	IS_AST_PARENT	
4163259	4163261	IS_AST_PARENT	
4163256	4163259	IS_AST_PARENT	
4163255	4163256	IS_AST_PARENT	
4163254	4163255	IS_AST_PARENT	
4163268	4163269	IS_AST_PARENT	
4163268	4163270	IS_AST_PARENT	
4163271	4163272	IS_AST_PARENT	
4163273	4163274	IS_AST_PARENT	
4163275	4163276	IS_AST_PARENT	
4163275	4163277	IS_AST_PARENT	
4163273	4163275	IS_AST_PARENT	
4163271	4163273	IS_AST_PARENT	
4163268	4163271	IS_AST_PARENT	
4163267	4163268	IS_AST_PARENT	
4163254	4163267	IS_AST_PARENT	
4163279	4163280	IS_AST_PARENT	
4163279	4163281	IS_AST_PARENT	
4163278	4163279	IS_AST_PARENT	
4163282	4163283	IS_AST_PARENT	
4163282	4163284	IS_AST_PARENT	
4163285	4163286	IS_AST_PARENT	
4163287	4163288	IS_AST_PARENT	
4163287	4163289	IS_AST_PARENT	
4163285	4163287	IS_AST_PARENT	
4163282	4163285	IS_AST_PARENT	
4163278	4163282	IS_AST_PARENT	
4163254	4163278	IS_AST_PARENT	
4163291	4163292	IS_AST_PARENT	
4163291	4163293	IS_AST_PARENT	
4163290	4163291	IS_AST_PARENT	
4163254	4163290	IS_AST_PARENT	
4163295	4163296	IS_AST_PARENT	
4163295	4163297	IS_AST_PARENT	
4163294	4163295	IS_AST_PARENT	
4163254	4163294	IS_AST_PARENT	
4163299	4163300	IS_AST_PARENT	
4163299	4163301	IS_AST_PARENT	
4163298	4163299	IS_AST_PARENT	
4163254	4163298	IS_AST_PARENT	
4163303	4163304	IS_AST_PARENT	
4163303	4163305	IS_AST_PARENT	
4163302	4163303	IS_AST_PARENT	
4163254	4163302	IS_AST_PARENT	
4163307	4163308	IS_AST_PARENT	
4163309	4163310	IS_AST_PARENT	
4163309	4163311	IS_AST_PARENT	
4163307	4163309	IS_AST_PARENT	
4163306	4163307	IS_AST_PARENT	
4163254	4163306	IS_AST_PARENT	
4163314	4163315	IS_AST_PARENT	
4163314	4163316	IS_AST_PARENT	
4163313	4163314	IS_AST_PARENT	
4163313	4163317	IS_AST_PARENT	
4163312	4163313	IS_AST_PARENT	
4163254	4163312	IS_AST_PARENT	
4163320	4163321	IS_AST_PARENT	
4163320	4163322	IS_AST_PARENT	
4163319	4163320	IS_AST_PARENT	
4163319	4163323	IS_AST_PARENT	
4163318	4163319	IS_AST_PARENT	
4163254	4163318	IS_AST_PARENT	
4163326	4163327	IS_AST_PARENT	
4163326	4163328	IS_AST_PARENT	
4163325	4163326	IS_AST_PARENT	
4163325	4163329	IS_AST_PARENT	
4163324	4163325	IS_AST_PARENT	
4163254	4163324	IS_AST_PARENT	
4163332	4163333	IS_AST_PARENT	
4163332	4163334	IS_AST_PARENT	
4163331	4163332	IS_AST_PARENT	
4163335	4163336	IS_AST_PARENT	
4163335	4163337	IS_AST_PARENT	
4163331	4163335	IS_AST_PARENT	
4163330	4163331	IS_AST_PARENT	
4163254	4163330	IS_AST_PARENT	
4163340	4163341	IS_AST_PARENT	
4163340	4163342	IS_AST_PARENT	
4163339	4163340	IS_AST_PARENT	
4163339	4163343	IS_AST_PARENT	
4163338	4163339	IS_AST_PARENT	
4163254	4163338	IS_AST_PARENT	
4163346	4163347	IS_AST_PARENT	
4163346	4163348	IS_AST_PARENT	
4163345	4163346	IS_AST_PARENT	
4163345	4163349	IS_AST_PARENT	
4163344	4163345	IS_AST_PARENT	
4163254	4163344	IS_AST_PARENT	
4163352	4163353	IS_AST_PARENT	
4163352	4163354	IS_AST_PARENT	
4163351	4163352	IS_AST_PARENT	
4163357	4163358	IS_AST_PARENT	
4163356	4163357	IS_AST_PARENT	
4163360	4163361	IS_AST_PARENT	
4163359	4163360	IS_AST_PARENT	
4163362	4163363	IS_AST_PARENT	
4163359	4163362	IS_AST_PARENT	
4163356	4163359	IS_AST_PARENT	
4163355	4163356	IS_AST_PARENT	
4163364	4163365	IS_AST_PARENT	
4163367	4163368	IS_AST_PARENT	
4163366	4163367	IS_AST_PARENT	
4163370	4163371	IS_AST_PARENT	
4163369	4163370	IS_AST_PARENT	
4163372	4163373	IS_AST_PARENT	
4163369	4163372	IS_AST_PARENT	
4163366	4163369	IS_AST_PARENT	
4163364	4163366	IS_AST_PARENT	
4163355	4163364	IS_AST_PARENT	
4163351	4163355	IS_AST_PARENT	
4163350	4163351	IS_AST_PARENT	
4163254	4163350	IS_AST_PARENT	
4163376	4163377	IS_AST_PARENT	
4163376	4163378	IS_AST_PARENT	
4163375	4163376	IS_AST_PARENT	
4163375	4163379	IS_AST_PARENT	
4163374	4163375	IS_AST_PARENT	
4163254	4163374	IS_AST_PARENT	
4163382	4163383	IS_AST_PARENT	
4163382	4163384	IS_AST_PARENT	
4163381	4163382	IS_AST_PARENT	
4163381	4163385	IS_AST_PARENT	
4163380	4163381	IS_AST_PARENT	
4163254	4163380	IS_AST_PARENT	
4163388	4163389	IS_AST_PARENT	
4163388	4163390	IS_AST_PARENT	
