command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	4180345	File	/home/p4ultr4n/workplace/ReVeal/raw_code/gen_intermediate_code_internal_1.c								
ANR	4180346	Function	gen_intermediate_code_internal	1:0:0:5210							
ANR	4180347	FunctionDef	"gen_intermediate_code_internal (MIPSCPU * cpu , TranslationBlock * tb , bool search_pc)"		4180346	0					
ANR	4180348	CompoundStatement		5:0:116:5210	4180346	0					
ANR	4180349	IdentifierDeclStatement	CPUState * cs = CPU ( cpu ) ;	7:4:123:146	4180346	0	True				
ANR	4180350	IdentifierDecl	* cs = CPU ( cpu )		4180346	0					
ANR	4180351	IdentifierDeclType	CPUState *		4180346	0					
ANR	4180352	Identifier	cs		4180346	1					
ANR	4180353	AssignmentExpression	* cs = CPU ( cpu )		4180346	2		=			
ANR	4180354	Identifier	cs		4180346	0					
ANR	4180355	CallExpression	CPU ( cpu )		4180346	1					
ANR	4180356	Callee	CPU		4180346	0					
ANR	4180357	Identifier	CPU		4180346	0					
ANR	4180358	ArgumentList	cpu		4180346	1					
ANR	4180359	Argument	cpu		4180346	0					
ANR	4180360	Identifier	cpu		4180346	0					
ANR	4180361	IdentifierDeclStatement	CPUMIPSState * env = & cpu -> env ;	9:4:153:182	4180346	1	True				
ANR	4180362	IdentifierDecl	* env = & cpu -> env		4180346	0					
ANR	4180363	IdentifierDeclType	CPUMIPSState *		4180346	0					
ANR	4180364	Identifier	env		4180346	1					
ANR	4180365	AssignmentExpression	* env = & cpu -> env		4180346	2		=			
ANR	4180366	Identifier	env		4180346	0					
ANR	4180367	UnaryOperationExpression	& cpu -> env		4180346	1					
ANR	4180368	UnaryOperator	&		4180346	0					
ANR	4180369	PtrMemberAccess	cpu -> env		4180346	1					
ANR	4180370	Identifier	cpu		4180346	0					
ANR	4180371	Identifier	env		4180346	1					
ANR	4180372	IdentifierDeclStatement	DisasContext ctx ;	11:4:189:205	4180346	2	True				
ANR	4180373	IdentifierDecl	ctx		4180346	0					
ANR	4180374	IdentifierDeclType	DisasContext		4180346	0					
ANR	4180375	Identifier	ctx		4180346	1					
ANR	4180376	IdentifierDeclStatement	target_ulong pc_start ;	13:4:212:233	4180346	3	True				
ANR	4180377	IdentifierDecl	pc_start		4180346	0					
ANR	4180378	IdentifierDeclType	target_ulong		4180346	0					
ANR	4180379	Identifier	pc_start		4180346	1					
ANR	4180380	IdentifierDeclStatement	uint16_t * gen_opc_end ;	15:4:240:261	4180346	4	True				
ANR	4180381	IdentifierDecl	* gen_opc_end		4180346	0					
ANR	4180382	IdentifierDeclType	uint16_t *		4180346	0					
ANR	4180383	Identifier	gen_opc_end		4180346	1					
ANR	4180384	IdentifierDeclStatement	CPUBreakpoint * bp ;	17:4:268:285	4180346	5	True				
ANR	4180385	IdentifierDecl	* bp		4180346	0					
ANR	4180386	IdentifierDeclType	CPUBreakpoint *		4180346	0					
ANR	4180387	Identifier	bp		4180346	1					
ANR	4180388	IdentifierDeclStatement	"int j , lj = - 1 ;"	19:4:292:306	4180346	6	True				
ANR	4180389	IdentifierDecl	j		4180346	0					
ANR	4180390	IdentifierDeclType	int		4180346	0					
ANR	4180391	Identifier	j		4180346	1					
ANR	4180392	IdentifierDecl	lj = - 1		4180346	1					
ANR	4180393	IdentifierDeclType	int		4180346	0					
ANR	4180394	Identifier	lj		4180346	1					
ANR	4180395	AssignmentExpression	lj = - 1		4180346	2		=			
ANR	4180396	Identifier	lj		4180346	0					
ANR	4180397	UnaryOperationExpression	- 1		4180346	1					
ANR	4180398	UnaryOperator	-		4180346	0					
ANR	4180399	PrimaryExpression	1		4180346	1					
ANR	4180400	IdentifierDeclStatement	int num_insns ;	21:4:313:326	4180346	7	True				
ANR	4180401	IdentifierDecl	num_insns		4180346	0					
ANR	4180402	IdentifierDeclType	int		4180346	0					
