start	end	type	var
4241158	4241159	IS_AST_PARENT	
4241157	4241158	IS_AST_PARENT	
4241161	4241162	IS_AST_PARENT	
4241160	4241161	IS_AST_PARENT	
4241163	4241164	IS_AST_PARENT	
4241160	4241163	IS_AST_PARENT	
4241157	4241160	IS_AST_PARENT	
4241156	4241157	IS_AST_PARENT	
4241155	4241156	IS_AST_PARENT	
4241154	4241155	IS_AST_PARENT	
4241154	4241165	IS_AST_PARENT	
4241154	4241166	IS_AST_PARENT	
4241168	4241169	IS_AST_PARENT	
4241168	4241170	IS_AST_PARENT	
4241167	4241168	IS_AST_PARENT	
4241154	4241167	IS_AST_PARENT	
4241171	4241168	FLOWS_TO	
4241168	4241156	FLOWS_TO	
4241156	4241172	FLOWS_TO	
4241156	4241173	USE	
4241163	4241173	USE	
4241168	4241174	DEF	
4241156	4241174	USE	
4241161	4241174	USE	
4241168	4241156	REACHES	ctx
4241171	4241168	CONTROLS	
4241171	4241156	CONTROLS	
4241171	4241171	DOM	
4241168	4241156	DOM	
4241171	4241168	DOM	
4241156	4241172	DOM	
4241172	4241156	POST_DOM	
4241168	4241171	POST_DOM	
4241156	4241168	POST_DOM	
4241172	4241172	POST_DOM	
4241153	4241154	IS_FUNCTION_OF_AST	
4241153	4241171	IS_FUNCTION_OF_CFG	
4241152	4241153	IS_FILE_OF	
