command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	4243313	File	/home/p4ultr4n/workplace/ReVeal/raw_code/gen_muldiv_1.c								
ANR	4243314	Function	gen_muldiv	1:0:0:8375							
ANR	4243315	FunctionDef	"gen_muldiv (DisasContext * ctx , uint32_t opc , int rs , int rt)"		4243314	0					
ANR	4243316	CompoundStatement		5:0:99:8375	4243314	0					
ANR	4243317	IdentifierDeclStatement	"const char * opn = ""mul/div"" ;"	7:4:106:133	4243314	0	True				
ANR	4243318	IdentifierDecl	"* opn = ""mul/div"""		4243314	0					
ANR	4243319	IdentifierDeclType	const char *		4243314	0					
ANR	4243320	Identifier	opn		4243314	1					
ANR	4243321	AssignmentExpression	"* opn = ""mul/div"""		4243314	2		=			
ANR	4243322	Identifier	opn		4243314	0					
ANR	4243323	PrimaryExpression	"""mul/div"""		4243314	1					
ANR	4243324	IdentifierDeclStatement	"TCGv t0 , t1 ;"	9:4:140:151	4243314	1	True				
ANR	4243325	IdentifierDecl	t0		4243314	0					
ANR	4243326	IdentifierDeclType	TCGv		4243314	0					
ANR	4243327	Identifier	t0		4243314	1					
ANR	4243328	IdentifierDecl	t1		4243314	1					
ANR	4243329	IdentifierDeclType	TCGv		4243314	0					
ANR	4243330	Identifier	t1		4243314	1					
ANR	4243331	IdentifierDeclStatement	unsigned int acc ;	11:4:158:174	4243314	2	True				
ANR	4243332	IdentifierDecl	acc		4243314	0					
ANR	4243333	IdentifierDeclType	unsigned int		4243314	0					
ANR	4243334	Identifier	acc		4243314	1					
ANR	4243335	SwitchStatement	switch ( opc )		4243314	3					
ANR	4243336	Condition	opc	15:12:191:193	4243314	0	True				
ANR	4243337	Identifier	opc		4243314	0					
ANR	4243338	CompoundStatement		11:17:96:96	4243314	1					
ANR	4243339	Label	case OPC_DIV :	17:4:203:215	4243314	0	True				
ANR	4243340	Identifier	OPC_DIV		4243314	0					
ANR	4243341	Label	case OPC_DIVU :	19:4:222:235	4243314	1	True				
ANR	4243342	Identifier	OPC_DIVU		4243314	0					
ANR	4243343	Label	case OPC_DDIV :	23:4:270:283	4243314	2	True				
ANR	4243344	Identifier	OPC_DDIV		4243314	0					
ANR	4243345	Label	case OPC_DDIVU :	25:4:290:304	4243314	3	True				
ANR	4243346	Identifier	OPC_DDIVU		4243314	0					
ANR	4243347	ExpressionStatement	t0 = tcg_temp_local_new ( )	29:8:323:348	4243314	4	True				
ANR	4243348	AssignmentExpression	t0 = tcg_temp_local_new ( )		4243314	0		=			
ANR	4243349	Identifier	t0		4243314	0					
ANR	4243350	CallExpression	tcg_temp_local_new ( )		4243314	1					
ANR	4243351	Callee	tcg_temp_local_new		4243314	0					
ANR	4243352	Identifier	tcg_temp_local_new		4243314	0					
ANR	4243353	ArgumentList			4243314	1					
ANR	4243354	ExpressionStatement	t1 = tcg_temp_local_new ( )	31:8:359:384	4243314	5	True				
ANR	4243355	AssignmentExpression	t1 = tcg_temp_local_new ( )		4243314	0		=			
ANR	4243356	Identifier	t1		4243314	0					
ANR	4243357	CallExpression	tcg_temp_local_new ( )		4243314	1					
ANR	4243358	Callee	tcg_temp_local_new		4243314	0					
ANR	4243359	Identifier	tcg_temp_local_new		4243314	0					
ANR	4243360	ArgumentList			4243314	1					
ANR	4243361	BreakStatement	break ;	33:8:395:400	4243314	6	True				
ANR	4243362	Label	default :	35:4:407:414	4243314	7	True				
ANR	4243363	Identifier	default		4243314	0					
ANR	4243364	ExpressionStatement	t0 = tcg_temp_new ( )	37:8:425:444	4243314	8	True				
ANR	4243365	AssignmentExpression	t0 = tcg_temp_new ( )		4243314	0		=			
ANR	4243366	Identifier	t0		4243314	0					
ANR	4243367	CallExpression	tcg_temp_new ( )		4243314	1					
ANR	4243368	Callee	tcg_temp_new		4243314	0					
ANR	4243369	Identifier	tcg_temp_new		4243314	0					
ANR	4243370	ArgumentList			4243314	1					
ANR	4243371	ExpressionStatement	t1 = tcg_temp_new ( )	39:8:455:474	4243314	9	True				
ANR	4243372	AssignmentExpression	t1 = tcg_temp_new ( )		4243314	0		=			
ANR	4243373	Identifier	t1		4243314	0					
ANR	4243374	CallExpression	tcg_temp_new ( )		4243314	1					
ANR	4243375	Callee	tcg_temp_new		4243314	0					
ANR	4243376	Identifier	tcg_temp_new		4243314	0					
ANR	4243377	ArgumentList			4243314	1					
ANR	4243378	BreakStatement	break ;	41:8:485:490	4243314	10	True				
ANR	4243379	ExpressionStatement	"gen_load_gpr ( t0 , rs )"	47:4:506:526	4243314	4	True				
ANR	4243380	CallExpression	"gen_load_gpr ( t0 , rs )"		4243314	0					
ANR	4243381	Callee	gen_load_gpr		4243314	0					
ANR	4243382	Identifier	gen_load_gpr		4243314	0					
ANR	4243383	ArgumentList	t0		4243314	1					
ANR	4243384	Argument	t0		4243314	0					
ANR	4243385	Identifier	t0		4243314	0					
ANR	4243386	Argument	rs		4243314	1					
ANR	4243387	Identifier	rs		4243314	0					
ANR	4243388	ExpressionStatement	"gen_load_gpr ( t1 , rt )"	49:4:533:553	4243314	5	True				
ANR	4243389	CallExpression	"gen_load_gpr ( t1 , rt )"		4243314	0					
ANR	4243390	Callee	gen_load_gpr		4243314	0					
ANR	4243391	Identifier	gen_load_gpr		4243314	0					
ANR	4243392	ArgumentList	t1		4243314	1					
ANR	4243393	Argument	t1		4243314	0					
ANR	4243394	Identifier	t1		4243314	0					
ANR	4243395	Argument	rt		4243314	1					
ANR	4243396	Identifier	rt		4243314	0					
ANR	4243397	SwitchStatement	switch ( opc )		4243314	6					
ANR	4243398	Condition	opc	51:12:568:570	4243314	0	True				
ANR	4243399	Identifier	opc		4243314	0					
ANR	4243400	CompoundStatement		47:17:473:473	4243314	1					
ANR	4243401	Label	case OPC_DIV :	53:4:580:592	4243314	0	True				
ANR	4243402	Identifier	OPC_DIV		4243314	0					
ANR	4243403	CompoundStatement		55:12:557:581	4243314	1					
ANR	4243404	IdentifierDeclStatement	int l1 = gen_new_label ( ) ;	57:12:618:642	4243314	0	True				
ANR	4243405	IdentifierDecl	l1 = gen_new_label ( )		4243314	0					
ANR	4243406	IdentifierDeclType	int		4243314	0					
ANR	4243407	Identifier	l1		4243314	1					
