command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	4254721	File	/home/p4ultr4n/workplace/ReVeal/raw_code/gen_op_jnz_ecx_0.c								
ANR	4254722	Function	gen_op_jnz_ecx	1:0:0:203							
ANR	4254723	FunctionDef	"gen_op_jnz_ecx (TCGMemOp size , int label1)"		4254722	0					
ANR	4254724	CompoundStatement		3:0:62:203	4254722	0					
ANR	4254725	ExpressionStatement	"tcg_gen_mov_tl ( cpu_tmp0 , cpu_regs [ R_ECX ] )"	5:4:69:110	4254722	0	True				
ANR	4254726	CallExpression	"tcg_gen_mov_tl ( cpu_tmp0 , cpu_regs [ R_ECX ] )"		4254722	0					
ANR	4254727	Callee	tcg_gen_mov_tl		4254722	0					
ANR	4254728	Identifier	tcg_gen_mov_tl		4254722	0					
ANR	4254729	ArgumentList	cpu_tmp0		4254722	1					
ANR	4254730	Argument	cpu_tmp0		4254722	0					
ANR	4254731	Identifier	cpu_tmp0		4254722	0					
ANR	4254732	Argument	cpu_regs [ R_ECX ]		4254722	1					
ANR	4254733	ArrayIndexing	cpu_regs [ R_ECX ]		4254722	0					
ANR	4254734	Identifier	cpu_regs		4254722	0					
ANR	4254735	Identifier	R_ECX		4254722	1					
ANR	4254736	ExpressionStatement	"gen_extu ( size , cpu_tmp0 )"	7:4:117:141	4254722	1	True				
ANR	4254737	CallExpression	"gen_extu ( size , cpu_tmp0 )"		4254722	0					
ANR	4254738	Callee	gen_extu		4254722	0					
ANR	4254739	Identifier	gen_extu		4254722	0					
ANR	4254740	ArgumentList	size		4254722	1					
ANR	4254741	Argument	size		4254722	0					
ANR	4254742	Identifier	size		4254722	0					
ANR	4254743	Argument	cpu_tmp0		4254722	1					
ANR	4254744	Identifier	cpu_tmp0		4254722	0					
ANR	4254745	ExpressionStatement	"tcg_gen_brcondi_tl ( TCG_COND_NE , cpu_tmp0 , 0 , label1 )"	9:4:148:200	4254722	2	True				
ANR	4254746	CallExpression	"tcg_gen_brcondi_tl ( TCG_COND_NE , cpu_tmp0 , 0 , label1 )"		4254722	0					
ANR	4254747	Callee	tcg_gen_brcondi_tl		4254722	0					
ANR	4254748	Identifier	tcg_gen_brcondi_tl		4254722	0					
ANR	4254749	ArgumentList	TCG_COND_NE		4254722	1					
ANR	4254750	Argument	TCG_COND_NE		4254722	0					
ANR	4254751	Identifier	TCG_COND_NE		4254722	0					
ANR	4254752	Argument	cpu_tmp0		4254722	1					
ANR	4254753	Identifier	cpu_tmp0		4254722	0					
ANR	4254754	Argument	0		4254722	2					
ANR	4254755	PrimaryExpression	0		4254722	0					
ANR	4254756	Argument	label1		4254722	3					
ANR	4254757	Identifier	label1		4254722	0					
ANR	4254758	ReturnType	static inline void		4254722	1					
ANR	4254759	Identifier	gen_op_jnz_ecx		4254722	2					
ANR	4254760	ParameterList	"TCGMemOp size , int label1"		4254722	3					
ANR	4254761	Parameter	TCGMemOp size	1:34:34:46	4254722	0	True				
ANR	4254762	ParameterType	TCGMemOp		4254722	0					
ANR	4254763	Identifier	size		4254722	1					
ANR	4254764	Parameter	int label1	1:49:49:58	4254722	1	True				
ANR	4254765	ParameterType	int		4254722	0					
ANR	4254766	Identifier	label1		4254722	1					
ANR	4254767	CFGEntryNode	ENTRY		4254722		True				
ANR	4254768	CFGExitNode	EXIT		4254722		True				
ANR	4254769	Symbol	R_ECX		4254722						
ANR	4254770	Symbol	cpu_regs		4254722						
ANR	4254771	Symbol	* cpu_regs		4254722						
ANR	4254772	Symbol	size		4254722						
ANR	4254773	Symbol	TCG_COND_NE		4254722						
ANR	4254774	Symbol	cpu_tmp0		4254722						
ANR	4254775	Symbol	* R_ECX		4254722						
ANR	4254776	Symbol	label1		4254722						
