command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	4274545	File	/home/p4ultr4n/workplace/ReVeal/raw_code/gen_sraq_0.c								
ANR	4274546	Function	gen_sraq	1:0:0:1176							
ANR	4274547	FunctionDef	gen_sraq (DisasContext * ctx)		4274546	0					
ANR	4274548	CompoundStatement		3:0:41:1176	4274546	0					
ANR	4274549	IdentifierDeclStatement	int l1 = gen_new_label ( ) ;	5:4:48:72	4274546	0	True				
ANR	4274550	IdentifierDecl	l1 = gen_new_label ( )		4274546	0					
ANR	4274551	IdentifierDeclType	int		4274546	0					
ANR	4274552	Identifier	l1		4274546	1					
ANR	4274553	AssignmentExpression	l1 = gen_new_label ( )		4274546	2		=			
ANR	4274554	Identifier	l1		4274546	0					
ANR	4274555	CallExpression	gen_new_label ( )		4274546	1					
ANR	4274556	Callee	gen_new_label		4274546	0					
ANR	4274557	Identifier	gen_new_label		4274546	0					
ANR	4274558	ArgumentList			4274546	1					
ANR	4274559	IdentifierDeclStatement	int l2 = gen_new_label ( ) ;	7:4:79:103	4274546	1	True				
ANR	4274560	IdentifierDecl	l2 = gen_new_label ( )		4274546	0					
ANR	4274561	IdentifierDeclType	int		4274546	0					
ANR	4274562	Identifier	l2		4274546	1					
ANR	4274563	AssignmentExpression	l2 = gen_new_label ( )		4274546	2		=			
ANR	4274564	Identifier	l2		4274546	0					
ANR	4274565	CallExpression	gen_new_label ( )		4274546	1					
ANR	4274566	Callee	gen_new_label		4274546	0					
ANR	4274567	Identifier	gen_new_label		4274546	0					
ANR	4274568	ArgumentList			4274546	1					
ANR	4274569	IdentifierDeclStatement	TCGv t0 = tcg_temp_new ( ) ;	9:4:110:134	4274546	2	True				
ANR	4274570	IdentifierDecl	t0 = tcg_temp_new ( )		4274546	0					
ANR	4274571	IdentifierDeclType	TCGv		4274546	0					
ANR	4274572	Identifier	t0		4274546	1					
ANR	4274573	AssignmentExpression	t0 = tcg_temp_new ( )		4274546	2		=			
ANR	4274574	Identifier	t0		4274546	0					
ANR	4274575	CallExpression	tcg_temp_new ( )		4274546	1					
ANR	4274576	Callee	tcg_temp_new		4274546	0					
ANR	4274577	Identifier	tcg_temp_new		4274546	0					
ANR	4274578	ArgumentList			4274546	1					
ANR	4274579	IdentifierDeclStatement	TCGv t1 = tcg_temp_local_new ( ) ;	11:4:141:171	4274546	3	True				
ANR	4274580	IdentifierDecl	t1 = tcg_temp_local_new ( )		4274546	0					
