start	end	type	var
4429365	4429366	IS_AST_PARENT	
4429365	4429367	IS_AST_PARENT	
4429369	4429370	IS_AST_PARENT	
4429369	4429371	IS_AST_PARENT	
4429368	4429369	IS_AST_PARENT	
4429368	4429372	IS_AST_PARENT	
4429365	4429368	IS_AST_PARENT	
4429364	4429365	IS_AST_PARENT	
4429363	4429364	IS_AST_PARENT	
4429375	4429376	IS_AST_PARENT	
4429375	4429377	IS_AST_PARENT	
4429374	4429375	IS_AST_PARENT	
4429373	4429374	IS_AST_PARENT	
4429380	4429381	IS_AST_PARENT	
4429380	4429382	IS_AST_PARENT	
4429379	4429380	IS_AST_PARENT	
4429378	4429379	IS_AST_PARENT	
4429385	4429386	IS_AST_PARENT	
4429388	4429389	IS_AST_PARENT	
4429387	4429388	IS_AST_PARENT	
4429391	4429392	IS_AST_PARENT	
4429390	4429391	IS_AST_PARENT	
4429387	4429390	IS_AST_PARENT	
4429385	4429387	IS_AST_PARENT	
4429384	4429385	IS_AST_PARENT	
4429383	4429384	IS_AST_PARENT	
4429394	4429395	IS_AST_PARENT	
4429394	4429396	IS_AST_PARENT	
4429393	4429394	IS_AST_PARENT	
4429383	4429393	IS_AST_PARENT	
4429378	4429383	IS_AST_PARENT	
4429398	4429399	IS_AST_PARENT	
4429400	4429401	IS_AST_PARENT	
4429403	4429404	IS_AST_PARENT	
4429403	4429405	IS_AST_PARENT	
4429402	4429403	IS_AST_PARENT	
4429402	4429406	IS_AST_PARENT	
4429400	4429402	IS_AST_PARENT	
4429398	4429400	IS_AST_PARENT	
4429397	4429398	IS_AST_PARENT	
4429378	4429397	IS_AST_PARENT	
4429408	4429409	IS_AST_PARENT	
4429411	4429412	IS_AST_PARENT	
4429410	4429411	IS_AST_PARENT	
4429415	4429416	IS_AST_PARENT	
4429415	4429417	IS_AST_PARENT	
4429414	4429415	IS_AST_PARENT	
4429413	4429414	IS_AST_PARENT	
4429419	4429420	IS_AST_PARENT	
4429419	4429421	IS_AST_PARENT	
4429418	4429419	IS_AST_PARENT	
4429413	4429418	IS_AST_PARENT	
4429422	4429423	IS_AST_PARENT	
4429413	4429422	IS_AST_PARENT	
4429425	4429426	IS_AST_PARENT	
4429425	4429427	IS_AST_PARENT	
4429424	4429425	IS_AST_PARENT	
4429413	4429424	IS_AST_PARENT	
4429410	4429413	IS_AST_PARENT	
4429408	4429410	IS_AST_PARENT	
4429407	4429408	IS_AST_PARENT	
4429378	4429407	IS_AST_PARENT	
4429430	4429431	IS_AST_PARENT	
4429430	4429432	IS_AST_PARENT	
4429429	4429430	IS_AST_PARENT	
4429428	4429429	IS_AST_PARENT	
4429435	4429436	IS_AST_PARENT	
4429435	4429437	IS_AST_PARENT	
4429434	4429435	IS_AST_PARENT	
4429433	4429434	IS_AST_PARENT	
4429428	4429433	IS_AST_PARENT	
4429378	4429428	IS_AST_PARENT	
4429439	4429440	IS_AST_PARENT	
4429442	4429443	IS_AST_PARENT	
4429441	4429442	IS_AST_PARENT	
4429446	4429447	IS_AST_PARENT	
4429446	4429448	IS_AST_PARENT	
4429445	4429446	IS_AST_PARENT	
4429444	4429445	IS_AST_PARENT	
4429449	4429450	IS_AST_PARENT	
4429444	4429449	IS_AST_PARENT	
4429451	4429452	IS_AST_PARENT	
4429444	4429451	IS_AST_PARENT	
4429454	4429455	IS_AST_PARENT	
4429454	4429456	IS_AST_PARENT	
4429453	4429454	IS_AST_PARENT	
4429444	4429453	IS_AST_PARENT	
4429441	4429444	IS_AST_PARENT	
4429439	4429441	IS_AST_PARENT	
4429438	4429439	IS_AST_PARENT	
4429378	4429438	IS_AST_PARENT	
4429459	4429460	IS_AST_PARENT	
4429459	4429461	IS_AST_PARENT	
4429458	4429459	IS_AST_PARENT	
4429457	4429458	IS_AST_PARENT	
4429464	4429465	IS_AST_PARENT	
4429464	4429466	IS_AST_PARENT	
4429463	4429464	IS_AST_PARENT	
4429462	4429463	IS_AST_PARENT	
4429457	4429462	IS_AST_PARENT	
4429378	4429457	IS_AST_PARENT	
4429373	4429378	IS_AST_PARENT	
4429363	4429373	IS_AST_PARENT	
4429467	4429468	IS_AST_PARENT	
4429363	4429467	IS_AST_PARENT	
4429362	4429363	IS_AST_PARENT	
4429362	4429469	IS_AST_PARENT	
4429362	4429470	IS_AST_PARENT	
4429472	4429473	IS_AST_PARENT	
4429472	4429474	IS_AST_PARENT	
4429471	4429472	IS_AST_PARENT	
4429475	4429476	IS_AST_PARENT	
4429475	4429477	IS_AST_PARENT	
4429471	4429475	IS_AST_PARENT	
4429478	4429479	IS_AST_PARENT	
4429478	4429480	IS_AST_PARENT	
4429471	4429478	IS_AST_PARENT	
4429481	4429482	IS_AST_PARENT	
4429481	4429483	IS_AST_PARENT	
4429471	4429481	IS_AST_PARENT	
4429484	4429485	IS_AST_PARENT	
4429484	4429486	IS_AST_PARENT	
4429471	4429484	IS_AST_PARENT	
4429362	4429471	IS_AST_PARENT	
4429487	4429472	FLOWS_TO	
4429472	4429475	FLOWS_TO	
4429475	4429478	FLOWS_TO	
4429478	4429481	FLOWS_TO	
4429481	4429484	FLOWS_TO	
4429484	4429364	FLOWS_TO	
4429364	4429374	FLOWS_TO	
4429374	4429379	FLOWS_TO	
4429374	4429467	FLOWS_TO	
4429379	4429384	FLOWS_TO	
4429384	4429393	FLOWS_TO	
4429384	4429397	FLOWS_TO	
4429393	4429488	FLOWS_TO	
4429397	4429407	FLOWS_TO	
4429407	4429429	FLOWS_TO	
4429429	4429434	FLOWS_TO	
4429429	4429438	FLOWS_TO	
4429434	4429488	FLOWS_TO	
4429438	4429458	FLOWS_TO	
4429458	4429463	FLOWS_TO	
4429458	4429467	FLOWS_TO	
4429463	4429488	FLOWS_TO	
4429467	4429488	FLOWS_TO	
4429475	4429489	DEF	
4429364	4429489	USE	
4429369	4429489	USE	
4429397	4429489	USE	
4429403	4429489	USE	
4429407	4429489	USE	
4429425	4429489	USE	
4429438	4429489	USE	
4429454	4429489	USE	
4429446	4429489	USE	
4429379	4429490	DEF	
4429380	4429490	DEF	
4429407	4429490	DEF	
4429408	4429490	DEF	
4429429	4429490	USE	
