start	end	type	var
4461018	4461019	IS_AST_PARENT	
4461018	4461020	IS_AST_PARENT	
4461021	4461022	IS_AST_PARENT	
4461021	4461023	IS_AST_PARENT	
4461018	4461021	IS_AST_PARENT	
4461017	4461018	IS_AST_PARENT	
4461016	4461017	IS_AST_PARENT	
4461025	4461026	IS_AST_PARENT	
4461025	4461027	IS_AST_PARENT	
4461024	4461025	IS_AST_PARENT	
4461016	4461024	IS_AST_PARENT	
4461030	4461031	IS_AST_PARENT	
4461029	4461030	IS_AST_PARENT	
4461034	4461035	IS_AST_PARENT	
4461034	4461036	IS_AST_PARENT	
4461033	4461034	IS_AST_PARENT	
4461032	4461033	IS_AST_PARENT	
4461029	4461032	IS_AST_PARENT	
4461028	4461029	IS_AST_PARENT	
4461016	4461028	IS_AST_PARENT	
4461038	4461039	IS_AST_PARENT	
4461040	4461041	IS_AST_PARENT	
4461040	4461042	IS_AST_PARENT	
4461038	4461040	IS_AST_PARENT	
4461037	4461038	IS_AST_PARENT	
4461016	4461037	IS_AST_PARENT	
4461045	4461046	IS_AST_PARENT	
4461044	4461045	IS_AST_PARENT	
4461049	4461050	IS_AST_PARENT	
4461049	4461051	IS_AST_PARENT	
4461048	4461049	IS_AST_PARENT	
4461047	4461048	IS_AST_PARENT	
4461044	4461047	IS_AST_PARENT	
4461043	4461044	IS_AST_PARENT	
4461016	4461043	IS_AST_PARENT	
4461053	4461054	IS_AST_PARENT	
4461053	4461055	IS_AST_PARENT	
4461052	4461053	IS_AST_PARENT	
4461016	4461052	IS_AST_PARENT	
4461057	4461058	IS_AST_PARENT	
4461056	4461057	IS_AST_PARENT	
4461060	4461061	IS_AST_PARENT	
4461059	4461060	IS_AST_PARENT	
4461063	4461064	IS_AST_PARENT	
4461063	4461065	IS_AST_PARENT	
4461062	4461063	IS_AST_PARENT	
4461059	4461062	IS_AST_PARENT	
4461066	4461067	IS_AST_PARENT	
4461059	4461066	IS_AST_PARENT	
4461069	4461070	IS_AST_PARENT	
4461069	4461071	IS_AST_PARENT	
4461068	4461069	IS_AST_PARENT	
4461059	4461068	IS_AST_PARENT	
4461072	4461073	IS_AST_PARENT	
4461059	4461072	IS_AST_PARENT	
4461076	4461077	IS_AST_PARENT	
4461076	4461078	IS_AST_PARENT	
4461075	4461076	IS_AST_PARENT	
4461075	4461079	IS_AST_PARENT	
4461074	4461075	IS_AST_PARENT	
4461059	4461074	IS_AST_PARENT	
4461080	4461081	IS_AST_PARENT	
4461059	4461080	IS_AST_PARENT	
4461082	4461083	IS_AST_PARENT	
4461059	4461082	IS_AST_PARENT	
4461084	4461085	IS_AST_PARENT	
4461059	4461084	IS_AST_PARENT	
4461086	4461087	IS_AST_PARENT	
4461059	4461086	IS_AST_PARENT	
4461089	4461090	IS_AST_PARENT	
4461089	4461091	IS_AST_PARENT	
4461088	4461089	IS_AST_PARENT	
4461059	4461088	IS_AST_PARENT	
4461092	4461093	IS_AST_PARENT	
4461059	4461092	IS_AST_PARENT	
4461059	4461094	IS_AST_PARENT	
4461056	4461059	IS_AST_PARENT	
4461016	4461056	IS_AST_PARENT	
4461098	4461099	IS_AST_PARENT	
4461098	4461100	IS_AST_PARENT	
4461097	4461098	IS_AST_PARENT	
4461101	4461102	IS_AST_PARENT	
4461101	4461103	IS_AST_PARENT	
4461097	4461101	IS_AST_PARENT	
4461096	4461097	IS_AST_PARENT	
4461095	4461096	IS_AST_PARENT	
4461106	4461107	IS_AST_PARENT	
4461106	4461108	IS_AST_PARENT	
4461109	4461110	IS_AST_PARENT	
4461112	4461113	IS_AST_PARENT	
4461112	4461114	IS_AST_PARENT	
4461111	4461112	IS_AST_PARENT	
4461111	4461115	IS_AST_PARENT	
4461109	4461111	IS_AST_PARENT	
4461106	4461109	IS_AST_PARENT	
4461105	4461106	IS_AST_PARENT	
4461104	4461105	IS_AST_PARENT	
4461118	4461119	IS_AST_PARENT	
4461117	4461118	IS_AST_PARENT	
4461123	4461124	IS_AST_PARENT	
4461123	4461125	IS_AST_PARENT	
4461122	4461123	IS_AST_PARENT	
4461126	4461127	IS_AST_PARENT	
4461126	4461128	IS_AST_PARENT	
4461122	4461126	IS_AST_PARENT	
4461121	4461122	IS_AST_PARENT	
4461120	4461121	IS_AST_PARENT	
4461117	4461120	IS_AST_PARENT	
4461116	4461117	IS_AST_PARENT	
4461104	4461116	IS_AST_PARENT	
4461131	4461132	IS_AST_PARENT	
4461131	4461133	IS_AST_PARENT	
4461130	4461131	IS_AST_PARENT	
4461130	4461134	IS_AST_PARENT	
4461129	4461130	IS_AST_PARENT	
4461104	4461129	IS_AST_PARENT	
4461095	4461104	IS_AST_PARENT	
4461016	4461095	IS_AST_PARENT	
4461138	4461139	IS_AST_PARENT	
4461138	4461140	IS_AST_PARENT	
4461137	4461138	IS_AST_PARENT	
4461141	4461142	IS_AST_PARENT	
4461141	4461143	IS_AST_PARENT	
4461137	4461141	IS_AST_PARENT	
4461136	4461137	IS_AST_PARENT	
4461135	4461136	IS_AST_PARENT	
4461146	4461147	IS_AST_PARENT	
4461146	4461148	IS_AST_PARENT	
4461149	4461150	IS_AST_PARENT	
4461152	4461153	IS_AST_PARENT	
4461152	4461154	IS_AST_PARENT	
4461151	4461152	IS_AST_PARENT	
4461151	4461155	IS_AST_PARENT	
4461149	4461151	IS_AST_PARENT	
4461146	4461149	IS_AST_PARENT	
4461145	4461146	IS_AST_PARENT	
4461144	4461145	IS_AST_PARENT	
4461158	4461159	IS_AST_PARENT	
4461157	4461158	IS_AST_PARENT	
