command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	4470819	File	/home/p4ultr4n/workplace/ReVeal/raw_code/guess_disk_lchs_0.c								
ANR	4470820	Function	guess_disk_lchs	1:0:0:1557							
ANR	4470821	FunctionDef	"guess_disk_lchs (BlockDriverState * bs , int * pcylinders , int * pheads , int * psectors)"		4470820	0					
ANR	4470822	CompoundStatement		5:0:123:1557	4470820	0					
ANR	4470823	IdentifierDeclStatement	uint8_t buf [ BDRV_SECTOR_SIZE ] ;	7:4:130:159	4470820	0	True				
ANR	4470824	IdentifierDecl	buf [ BDRV_SECTOR_SIZE ]		4470820	0					
ANR	4470825	IdentifierDeclType	uint8_t [ BDRV_SECTOR_SIZE ]		4470820	0					
ANR	4470826	Identifier	buf		4470820	1					
ANR	4470827	Identifier	BDRV_SECTOR_SIZE		4470820	2					
ANR	4470828	IdentifierDeclStatement	"int i , heads , sectors , cylinders ;"	9:4:166:198	4470820	1	True				
ANR	4470829	IdentifierDecl	i		4470820	0					
ANR	4470830	IdentifierDeclType	int		4470820	0					
ANR	4470831	Identifier	i		4470820	1					
ANR	4470832	IdentifierDecl	heads		4470820	1					
ANR	4470833	IdentifierDeclType	int		4470820	0					
ANR	4470834	Identifier	heads		4470820	1					
ANR	4470835	IdentifierDecl	sectors		4470820	2					
ANR	4470836	IdentifierDeclType	int		4470820	0					
ANR	4470837	Identifier	sectors		4470820	1					
ANR	4470838	IdentifierDecl	cylinders		4470820	3					
ANR	4470839	IdentifierDeclType	int		4470820	0					
ANR	4470840	Identifier	cylinders		4470820	1					
ANR	4470841	IdentifierDeclStatement	struct partition * p ;	11:4:205:224	4470820	2	True				
ANR	4470842	IdentifierDecl	* p		4470820	0					
ANR	4470843	IdentifierDeclType	struct partition *		4470820	0					
ANR	4470844	Identifier	p		4470820	1					
ANR	4470845	IdentifierDeclStatement	uint32_t nr_sects ;	13:4:231:248	4470820	3	True				
ANR	4470846	IdentifierDecl	nr_sects		4470820	0					
ANR	4470847	IdentifierDeclType	uint32_t		4470820	0					
ANR	4470848	Identifier	nr_sects		4470820	1					
ANR	4470849	IdentifierDeclStatement	uint64_t nb_sectors ;	15:4:255:274	4470820	4	True				
ANR	4470850	IdentifierDecl	nb_sectors		4470820	0					
ANR	4470851	IdentifierDeclType	uint64_t		4470820	0					
ANR	4470852	Identifier	nb_sectors		4470820	1					
ANR	4470853	ExpressionStatement	"bdrv_get_geometry ( bs , & nb_sectors )"	19:4:283:317	4470820	5	True				
ANR	4470854	CallExpression	"bdrv_get_geometry ( bs , & nb_sectors )"		4470820	0					
ANR	4470855	Callee	bdrv_get_geometry		4470820	0					
ANR	4470856	Identifier	bdrv_get_geometry		4470820	0					
ANR	4470857	ArgumentList	bs		4470820	1					
ANR	4470858	Argument	bs		4470820	0					
ANR	4470859	Identifier	bs		4470820	0					
ANR	4470860	Argument	& nb_sectors		4470820	1					
ANR	4470861	UnaryOperationExpression	& nb_sectors		4470820	0					
ANR	4470862	UnaryOperator	&		4470820	0					
ANR	4470863	Identifier	nb_sectors		4470820	1					
ANR	4470864	IfStatement	"if ( bdrv_read_unthrottled ( bs , 0 , buf , 1 ) < 0 )"		4470820	6					
ANR	4470865	Condition	"bdrv_read_unthrottled ( bs , 0 , buf , 1 ) < 0"	33:8:556:595	4470820	0	True				
ANR	4470866	RelationalExpression	"bdrv_read_unthrottled ( bs , 0 , buf , 1 ) < 0"		4470820	0		<			
ANR	4470867	CallExpression	"bdrv_read_unthrottled ( bs , 0 , buf , 1 )"		4470820	0					
ANR	4470868	Callee	bdrv_read_unthrottled		4470820	0					
ANR	4470869	Identifier	bdrv_read_unthrottled		4470820	0					
ANR	4470870	ArgumentList	bs		4470820	1					
ANR	4470871	Argument	bs		4470820	0					
ANR	4470872	Identifier	bs		4470820	0					
ANR	4470873	Argument	0		4470820	1					
ANR	4470874	PrimaryExpression	0		4470820	0					
ANR	4470875	Argument	buf		4470820	2					
ANR	4470876	Identifier	buf		4470820	0					
ANR	4470877	Argument	1		4470820	3					
ANR	4470878	PrimaryExpression	1		4470820	0					
ANR	4470879	PrimaryExpression	0		4470820	1					
ANR	4470880	CompoundStatement		29:50:474:474	4470820	1					
ANR	4470881	ReturnStatement	return - 1 ;	35:8:609:618	4470820	0	True				
ANR	4470882	UnaryOperationExpression	- 1		4470820	0					
ANR	4470883	UnaryOperator	-		4470820	0					
ANR	4470884	PrimaryExpression	1		4470820	1					
ANR	4470885	IfStatement	if ( buf [ 510 ] != 0x55 || buf [ 511 ] != 0xaa )		4470820	7					
ANR	4470886	Condition	buf [ 510 ] != 0x55 || buf [ 511 ] != 0xaa	41:8:664:699	4470820	0	True				
ANR	4470887	OrExpression	buf [ 510 ] != 0x55 || buf [ 511 ] != 0xaa		4470820	0		||			
ANR	4470888	EqualityExpression	buf [ 510 ] != 0x55		4470820	0		!=			
ANR	4470889	ArrayIndexing	buf [ 510 ]		4470820	0					
ANR	4470890	Identifier	buf		4470820	0					
ANR	4470891	PrimaryExpression	510		4470820	1					
ANR	4470892	PrimaryExpression	0x55		4470820	1					
ANR	4470893	EqualityExpression	buf [ 511 ] != 0xaa		4470820	1		!=			
ANR	4470894	ArrayIndexing	buf [ 511 ]		4470820	0					
ANR	4470895	Identifier	buf		4470820	0					
ANR	4470896	PrimaryExpression	511		4470820	1					
ANR	4470897	PrimaryExpression	0xaa		4470820	1					
ANR	4470898	CompoundStatement		37:46:578:578	4470820	1					
ANR	4470899	ReturnStatement	return - 1 ;	43:8:713:722	4470820	0	True				
ANR	4470900	UnaryOperationExpression	- 1		4470820	0					
ANR	4470901	UnaryOperator	-		4470820	0					
