start	end	type	var
4483352	4483353	IS_AST_PARENT	
4483352	4483354	IS_AST_PARENT	
4483355	4483356	IS_AST_PARENT	
4483355	4483357	IS_AST_PARENT	
4483352	4483355	IS_AST_PARENT	
4483351	4483352	IS_AST_PARENT	
4483350	4483351	IS_AST_PARENT	
4483359	4483360	IS_AST_PARENT	
4483359	4483361	IS_AST_PARENT	
4483358	4483359	IS_AST_PARENT	
4483350	4483358	IS_AST_PARENT	
4483364	4483365	IS_AST_PARENT	
4483363	4483364	IS_AST_PARENT	
4483368	4483369	IS_AST_PARENT	
4483368	4483370	IS_AST_PARENT	
4483367	4483368	IS_AST_PARENT	
4483366	4483367	IS_AST_PARENT	
4483371	4483372	IS_AST_PARENT	
4483366	4483371	IS_AST_PARENT	
4483374	4483375	IS_AST_PARENT	
4483374	4483376	IS_AST_PARENT	
4483373	4483374	IS_AST_PARENT	
4483366	4483373	IS_AST_PARENT	
4483363	4483366	IS_AST_PARENT	
4483362	4483363	IS_AST_PARENT	
4483350	4483362	IS_AST_PARENT	
4483378	4483379	IS_AST_PARENT	
4483381	4483382	IS_AST_PARENT	
4483380	4483381	IS_AST_PARENT	
4483384	4483385	IS_AST_PARENT	
4483383	4483384	IS_AST_PARENT	
4483380	4483383	IS_AST_PARENT	
4483378	4483380	IS_AST_PARENT	
4483377	4483378	IS_AST_PARENT	
4483350	4483377	IS_AST_PARENT	
4483388	4483389	IS_AST_PARENT	
4483388	4483390	IS_AST_PARENT	
4483387	4483388	IS_AST_PARENT	
4483387	4483391	IS_AST_PARENT	
4483386	4483387	IS_AST_PARENT	
4483350	4483386	IS_AST_PARENT	
4483394	4483395	IS_AST_PARENT	
4483397	4483398	IS_AST_PARENT	
4483396	4483397	IS_AST_PARENT	
4483401	4483402	IS_AST_PARENT	
4483401	4483403	IS_AST_PARENT	
4483400	4483401	IS_AST_PARENT	
4483399	4483400	IS_AST_PARENT	
4483396	4483399	IS_AST_PARENT	
4483394	4483396	IS_AST_PARENT	
4483393	4483394	IS_AST_PARENT	
4483392	4483393	IS_AST_PARENT	
4483407	4483408	IS_AST_PARENT	
4483407	4483409	IS_AST_PARENT	
4483406	4483407	IS_AST_PARENT	
4483410	4483411	IS_AST_PARENT	
4483410	4483412	IS_AST_PARENT	
4483406	4483410	IS_AST_PARENT	
4483405	4483406	IS_AST_PARENT	
4483404	4483405	IS_AST_PARENT	
4483415	4483416	IS_AST_PARENT	
4483415	4483417	IS_AST_PARENT	
4483414	4483415	IS_AST_PARENT	
4483418	4483419	IS_AST_PARENT	
4483418	4483420	IS_AST_PARENT	
4483414	4483418	IS_AST_PARENT	
4483413	4483414	IS_AST_PARENT	
4483404	4483413	IS_AST_PARENT	
4483423	4483424	IS_AST_PARENT	
4483423	4483425	IS_AST_PARENT	
4483422	4483423	IS_AST_PARENT	
4483426	4483427	IS_AST_PARENT	
4483426	4483428	IS_AST_PARENT	
4483422	4483426	IS_AST_PARENT	
4483421	4483422	IS_AST_PARENT	
4483404	4483421	IS_AST_PARENT	
4483431	4483432	IS_AST_PARENT	
4483431	4483433	IS_AST_PARENT	
4483430	4483431	IS_AST_PARENT	
4483434	4483435	IS_AST_PARENT	
4483434	4483436	IS_AST_PARENT	
4483430	4483434	IS_AST_PARENT	
4483429	4483430	IS_AST_PARENT	
4483404	4483429	IS_AST_PARENT	
4483439	4483440	IS_AST_PARENT	
4483439	4483441	IS_AST_PARENT	
4483438	4483439	IS_AST_PARENT	
4483442	4483443	IS_AST_PARENT	
4483442	4483444	IS_AST_PARENT	
4483438	4483442	IS_AST_PARENT	
4483437	4483438	IS_AST_PARENT	
4483404	4483437	IS_AST_PARENT	
4483447	4483448	IS_AST_PARENT	
4483447	4483449	IS_AST_PARENT	
4483446	4483447	IS_AST_PARENT	
4483450	4483451	IS_AST_PARENT	
4483450	4483452	IS_AST_PARENT	
4483446	4483450	IS_AST_PARENT	
4483445	4483446	IS_AST_PARENT	
4483404	4483445	IS_AST_PARENT	
4483455	4483456	IS_AST_PARENT	
4483455	4483457	IS_AST_PARENT	
4483454	4483455	IS_AST_PARENT	
4483458	4483459	IS_AST_PARENT	
4483458	4483460	IS_AST_PARENT	
4483454	4483458	IS_AST_PARENT	
4483453	4483454	IS_AST_PARENT	
4483404	4483453	IS_AST_PARENT	
4483463	4483464	IS_AST_PARENT	
4483463	4483465	IS_AST_PARENT	
4483462	4483463	IS_AST_PARENT	
4483466	4483467	IS_AST_PARENT	
4483466	4483468	IS_AST_PARENT	
4483462	4483466	IS_AST_PARENT	
4483461	4483462	IS_AST_PARENT	
4483404	4483461	IS_AST_PARENT	
4483469	4483470	IS_AST_PARENT	
4483404	4483469	IS_AST_PARENT	
4483392	4483404	IS_AST_PARENT	
4483350	4483392	IS_AST_PARENT	
4483472	4483473	IS_AST_PARENT	
4483472	4483474	IS_AST_PARENT	
4483471	4483472	IS_AST_PARENT	
4483350	4483471	IS_AST_PARENT	
4483349	4483350	IS_AST_PARENT	
4483349	4483475	IS_AST_PARENT	
4483349	4483476	IS_AST_PARENT	
4483478	4483479	IS_AST_PARENT	
4483478	4483480	IS_AST_PARENT	
4483477	4483478	IS_AST_PARENT	
4483481	4483482	IS_AST_PARENT	
4483481	4483483	IS_AST_PARENT	
4483477	4483481	IS_AST_PARENT	
4483349	4483477	IS_AST_PARENT	
4483484	4483478	FLOWS_TO	
4483478	4483481	FLOWS_TO	
4483481	4483351	FLOWS_TO	
4483351	4483358	FLOWS_TO	
4483358	4483362	FLOWS_TO	
4483362	4483377	FLOWS_TO	
4483377	4483386	FLOWS_TO	
4483386	4483393	FLOWS_TO	
4483393	4483405	FLOWS_TO	
4483393	4483471	FLOWS_TO	
4483405	4483413	FLOWS_TO	
4483413	4483421	FLOWS_TO	
4483421	4483429	FLOWS_TO	
4483429	4483437	FLOWS_TO	
4483437	4483445	FLOWS_TO	
4483445	4483453	FLOWS_TO	
4483453	4483461	FLOWS_TO	
4483461	4483469	FLOWS_TO	
4483469	4483485	FLOWS_TO	
4483471	4483485	FLOWS_TO	
4483405	4483486	DEF	
4483406	4483486	DEF	
4483413	4483486	DEF	
4483414	4483486	DEF	
4483421	4483486	DEF	
4483422	4483486	DEF	
4483429	4483486	DEF	
4483430	4483486	DEF	
4483437	4483486	DEF	
4483438	4483486	DEF	
4483445	4483486	DEF	
4483446	4483486	DEF	
4483453	4483486	DEF	
4483454	4483486	DEF	
4483461	4483486	DEF	
4483462	4483486	DEF	
4483437	4483487	USE	
4483438	4483487	USE	
4483413	4483488	DEF	
4483414	4483488	DEF	
4483405	4483489	DEF	
4483406	4483489	DEF	
4483481	4483490	DEF	
4483405	4483490	USE	
4483407	4483490	USE	
4483413	4483490	USE	
4483415	4483490	USE	
4483421	4483490	USE	
4483423	4483490	USE	
4483429	4483490	USE	
4483431	4483490	USE	
4483437	4483490	USE	
4483439	4483490	USE	
4483445	4483490	USE	
4483447	4483490	USE	
4483453	4483490	USE	
4483455	4483490	USE	
4483461	4483490	USE	
4483463	4483490	USE	
4483413	4483491	USE	
4483414	4483491	USE	
4483405	4483492	USE	
4483406	4483492	USE	
4483445	4483493	USE	
4483446	4483493	USE	
4483453	4483494	DEF	
4483454	4483494	DEF	
4483362	4483495	USE	
4483367	4483495	USE	
4483393	4483495	USE	
4483400	4483495	USE	
4483377	4483496	USE	
4483378	4483496	USE	
4483393	4483497	USE	
4483351	4483498	DEF	
4483352	4483498	DEF	
4483355	4483498	DEF	
4483377	4483498	DEF	
4483378	4483498	DEF	
4483386	4483498	USE	
4483387	4483498	USE	
4483429	4483499	USE	
4483430	4483499	USE	
4483461	4483500	USE	
4483462	4483500	USE	
4483358	4483501	DEF	
4483359	4483501	DEF	
4483386	4483501	USE	
4483388	4483501	USE	
4483386	4483501	DEF	
4483387	4483501	DEF	
4483405	4483501	USE	
4483410	4483501	USE	
4483406	4483501	USE	
4483413	4483501	USE	
4483414	4483501	USE	
4483418	4483501	USE	
4483421	4483501	USE	
4483426	4483501	USE	
4483422	4483501	USE	
4483429	4483501	USE	
4483430	4483501	USE	
4483434	4483501	USE	
4483437	4483501	USE	
4483438	4483501	USE	
4483442	4483501	USE	
4483445	4483501	USE	
4483446	4483501	USE	
4483450	4483501	USE	
4483453	4483501	USE	
4483458	4483501	USE	
4483454	4483501	USE	
4483461	4483501	USE	
4483466	4483501	USE	
4483462	4483501	USE	
4483393	4483502	USE	
4483445	4483503	DEF	
4483446	4483503	DEF	
4483461	4483504	DEF	
4483462	4483504	DEF	
4483437	4483505	DEF	
4483438	4483505	DEF	
4483421	4483506	DEF	
4483422	4483506	DEF	
4483453	4483507	USE	
4483454	4483507	USE	
4483386	4483508	DEF	
4483387	4483508	DEF	
4483478	4483509	DEF	
4483377	4483509	USE	
4483384	4483509	USE	
4483429	4483510	DEF	
4483430	4483510	DEF	
4483421	4483511	USE	
4483422	4483511	USE	
4483461	4483485	REACHES	* stats
4483481	4483405	REACHES	stats
4483481	4483413	REACHES	stats
4483481	4483421	REACHES	stats
4483481	4483429	REACHES	stats
4483481	4483437	REACHES	stats
4483481	4483445	REACHES	stats
4483481	4483453	REACHES	stats
4483481	4483461	REACHES	stats
4483377	4483386	REACHES	if_index
4483386	4483405	REACHES	a_mid_ifrow
4483358	4483386	REACHES	a_mid_ifrow
4483386	4483413	REACHES	a_mid_ifrow
4483386	4483421	REACHES	a_mid_ifrow
4483386	4483429	REACHES	a_mid_ifrow
4483386	4483437	REACHES	a_mid_ifrow
4483386	4483445	REACHES	a_mid_ifrow
4483386	4483453	REACHES	a_mid_ifrow
4483386	4483461	REACHES	a_mid_ifrow
4483478	4483377	REACHES	name
