start	end	type	var
4483568	4483569	IS_AST_PARENT	
4483568	4483570	IS_AST_PARENT	
4483567	4483568	IS_AST_PARENT	
4483566	4483567	IS_AST_PARENT	
4483572	4483573	IS_AST_PARENT	
4483572	4483574	IS_AST_PARENT	
4483571	4483572	IS_AST_PARENT	
4483566	4483571	IS_AST_PARENT	
4483576	4483577	IS_AST_PARENT	
4483576	4483578	IS_AST_PARENT	
4483575	4483576	IS_AST_PARENT	
4483579	4483580	IS_AST_PARENT	
4483579	4483581	IS_AST_PARENT	
4483575	4483579	IS_AST_PARENT	
4483566	4483575	IS_AST_PARENT	
4483583	4483584	IS_AST_PARENT	
4483583	4483585	IS_AST_PARENT	
4483582	4483583	IS_AST_PARENT	
4483566	4483582	IS_AST_PARENT	
4483587	4483588	IS_AST_PARENT	
4483587	4483589	IS_AST_PARENT	
4483586	4483587	IS_AST_PARENT	
4483566	4483586	IS_AST_PARENT	
4483593	4483594	IS_AST_PARENT	
4483596	4483597	IS_AST_PARENT	
4483595	4483596	IS_AST_PARENT	
4483600	4483601	IS_AST_PARENT	
4483600	4483602	IS_AST_PARENT	
4483599	4483600	IS_AST_PARENT	
4483598	4483599	IS_AST_PARENT	
4483595	4483598	IS_AST_PARENT	
4483593	4483595	IS_AST_PARENT	
4483592	4483593	IS_AST_PARENT	
4483604	4483605	IS_AST_PARENT	
4483603	4483604	IS_AST_PARENT	
4483608	4483609	IS_AST_PARENT	
4483608	4483610	IS_AST_PARENT	
4483607	4483608	IS_AST_PARENT	
4483606	4483607	IS_AST_PARENT	
4483603	4483606	IS_AST_PARENT	
4483592	4483603	IS_AST_PARENT	
4483591	4483592	IS_AST_PARENT	
4483590	4483591	IS_AST_PARENT	
4483611	4483612	IS_AST_PARENT	
4483590	4483611	IS_AST_PARENT	
4483566	4483590	IS_AST_PARENT	
4483614	4483615	IS_AST_PARENT	
4483617	4483618	IS_AST_PARENT	
4483616	4483617	IS_AST_PARENT	
4483620	4483621	IS_AST_PARENT	
4483619	4483620	IS_AST_PARENT	
4483622	4483623	IS_AST_PARENT	
4483619	4483622	IS_AST_PARENT	
4483624	4483625	IS_AST_PARENT	
4483619	4483624	IS_AST_PARENT	
4483616	4483619	IS_AST_PARENT	
4483614	4483616	IS_AST_PARENT	
4483613	4483614	IS_AST_PARENT	
4483566	4483613	IS_AST_PARENT	
4483627	4483628	IS_AST_PARENT	
4483630	4483631	IS_AST_PARENT	
4483629	4483630	IS_AST_PARENT	
4483634	4483635	IS_AST_PARENT	
4483634	4483636	IS_AST_PARENT	
4483633	4483634	IS_AST_PARENT	
4483632	4483633	IS_AST_PARENT	
4483629	4483632	IS_AST_PARENT	
4483627	4483629	IS_AST_PARENT	
4483626	4483627	IS_AST_PARENT	
4483566	4483626	IS_AST_PARENT	
4483638	4483639	IS_AST_PARENT	
4483640	4483641	IS_AST_PARENT	
4483640	4483642	IS_AST_PARENT	
4483638	4483640	IS_AST_PARENT	
4483637	4483638	IS_AST_PARENT	
4483566	4483637	IS_AST_PARENT	
4483644	4483645	IS_AST_PARENT	
4483646	4483647	IS_AST_PARENT	
4483646	4483648	IS_AST_PARENT	
4483644	4483646	IS_AST_PARENT	
4483643	4483644	IS_AST_PARENT	
4483566	4483643	IS_AST_PARENT	
4483650	4483651	IS_AST_PARENT	
4483654	4483655	IS_AST_PARENT	
4483653	4483654	IS_AST_PARENT	
4483658	4483659	IS_AST_PARENT	
4483658	4483660	IS_AST_PARENT	
4483657	4483658	IS_AST_PARENT	
4483656	4483657	IS_AST_PARENT	
4483653	4483656	IS_AST_PARENT	
4483652	4483653	IS_AST_PARENT	
4483661	4483662	IS_AST_PARENT	
4483661	4483663	IS_AST_PARENT	
4483652	4483661	IS_AST_PARENT	
4483650	4483652	IS_AST_PARENT	
4483649	4483650	IS_AST_PARENT	
4483566	4483649	IS_AST_PARENT	
4483665	4483666	IS_AST_PARENT	
4483665	4483667	IS_AST_PARENT	
4483664	4483665	IS_AST_PARENT	
4483566	4483664	IS_AST_PARENT	
4483670	4483671	IS_AST_PARENT	
4483673	4483674	IS_AST_PARENT	
4483672	4483673	IS_AST_PARENT	
4483677	4483678	IS_AST_PARENT	
4483680	4483681	IS_AST_PARENT	
4483680	4483682	IS_AST_PARENT	
4483679	4483680	IS_AST_PARENT	
4483679	4483683	IS_AST_PARENT	
4483677	4483679	IS_AST_PARENT	
4483676	4483677	IS_AST_PARENT	
4483675	4483676	IS_AST_PARENT	
4483672	4483675	IS_AST_PARENT	
4483670	4483672	IS_AST_PARENT	
4483669	4483670	IS_AST_PARENT	
4483668	4483669	IS_AST_PARENT	
4483686	4483687	IS_AST_PARENT	
4483686	4483688	IS_AST_PARENT	
4483685	4483686	IS_AST_PARENT	
4483684	4483685	IS_AST_PARENT	
4483690	4483691	IS_AST_PARENT	
4483693	4483694	IS_AST_PARENT	
4483692	4483693	IS_AST_PARENT	
4483697	4483698	IS_AST_PARENT	
4483700	4483701	IS_AST_PARENT	
4483700	4483702	IS_AST_PARENT	
4483699	4483700	IS_AST_PARENT	
4483699	4483703	IS_AST_PARENT	
4483697	4483699	IS_AST_PARENT	
