command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	4525803	File	/home/p4ultr4n/workplace/ReVeal/raw_code/h264_parse_1.c								
ANR	4525804	Function	h264_parse	1:0:0:2898							
ANR	4525805	FunctionDef	"h264_parse (AVCodecParserContext * s , AVCodecContext * avctx , const uint8_t * * poutbuf , int * poutbuf_size , const uint8_t * buf , int buf_size)"		4525804	0					
ANR	4525806	CompoundStatement		9:0:218:2898	4525804	0					
ANR	4525807	IdentifierDeclStatement	H264ParseContext * p = s -> priv_data ;	11:4:225:259	4525804	0	True				
ANR	4525808	IdentifierDecl	* p = s -> priv_data		4525804	0					
ANR	4525809	IdentifierDeclType	H264ParseContext *		4525804	0					
ANR	4525810	Identifier	p		4525804	1					
ANR	4525811	AssignmentExpression	* p = s -> priv_data		4525804	2		=			
ANR	4525812	Identifier	p		4525804	0					
ANR	4525813	PtrMemberAccess	s -> priv_data		4525804	1					
ANR	4525814	Identifier	s		4525804	0					
ANR	4525815	Identifier	priv_data		4525804	1					
ANR	4525816	IdentifierDeclStatement	ParseContext * pc = & p -> pc ;	13:4:266:291	4525804	1	True				
ANR	4525817	IdentifierDecl	* pc = & p -> pc		4525804	0					
ANR	4525818	IdentifierDeclType	ParseContext *		4525804	0					
ANR	4525819	Identifier	pc		4525804	1					
ANR	4525820	AssignmentExpression	* pc = & p -> pc		4525804	2		=			
ANR	4525821	Identifier	pc		4525804	0					
ANR	4525822	UnaryOperationExpression	& p -> pc		4525804	1					
ANR	4525823	UnaryOperator	&		4525804	0					
ANR	4525824	PtrMemberAccess	p -> pc		4525804	1					
ANR	4525825	Identifier	p		4525804	0					
ANR	4525826	Identifier	pc		4525804	1					
ANR	4525827	IdentifierDeclStatement	int next ;	15:4:298:306	4525804	2	True				
ANR	4525828	IdentifierDecl	next		4525804	0					
ANR	4525829	IdentifierDeclType	int		4525804	0					
ANR	4525830	Identifier	next		4525804	1					
ANR	4525831	IfStatement	if ( ! p -> got_first )		4525804	3					
ANR	4525832	Condition	! p -> got_first	19:8:319:331	4525804	0	True				
ANR	4525833	UnaryOperationExpression	! p -> got_first		4525804	0					
ANR	4525834	UnaryOperator	!		4525804	0					
ANR	4525835	PtrMemberAccess	p -> got_first		4525804	1					
ANR	4525836	Identifier	p		4525804	0					
ANR	4525837	Identifier	got_first		4525804	1					
ANR	4525838	CompoundStatement		11:23:115:115	4525804	1					
ANR	4525839	ExpressionStatement	p -> got_first = 1	21:8:345:361	4525804	0	True				
ANR	4525840	AssignmentExpression	p -> got_first = 1		4525804	0		=			
ANR	4525841	PtrMemberAccess	p -> got_first		4525804	0					
ANR	4525842	Identifier	p		4525804	0					
ANR	4525843	Identifier	got_first		4525804	1					
ANR	4525844	PrimaryExpression	1		4525804	1					
ANR	4525845	IfStatement	if ( avctx -> extradata_size )		4525804	1					
ANR	4525846	Condition	avctx -> extradata_size	23:12:376:396	4525804	0	True				
ANR	4525847	PtrMemberAccess	avctx -> extradata_size		4525804	0					
ANR	4525848	Identifier	avctx		4525804	0					
ANR	4525849	Identifier	extradata_size		4525804	1					
ANR	4525850	CompoundStatement		15:35:180:180	4525804	1					
ANR	4525851	ExpressionStatement	"ff_h264_decode_extradata ( avctx -> extradata , avctx -> extradata_size , & p -> ps , & p -> is_avc , & p -> nal_length_size , avctx -> err_recognition , avctx )"	25:12:414:627	4525804	0	True				
ANR	4525852	CallExpression	"ff_h264_decode_extradata ( avctx -> extradata , avctx -> extradata_size , & p -> ps , & p -> is_avc , & p -> nal_length_size , avctx -> err_recognition , avctx )"		4525804	0					
ANR	4525853	Callee	ff_h264_decode_extradata		4525804	0					
ANR	4525854	Identifier	ff_h264_decode_extradata		4525804	0					
ANR	4525855	ArgumentList	avctx -> extradata		4525804	1					
ANR	4525856	Argument	avctx -> extradata		4525804	0					
ANR	4525857	PtrMemberAccess	avctx -> extradata		4525804	0					
ANR	4525858	Identifier	avctx		4525804	0					
ANR	4525859	Identifier	extradata		4525804	1					
ANR	4525860	Argument	avctx -> extradata_size		4525804	1					
ANR	4525861	PtrMemberAccess	avctx -> extradata_size		4525804	0					
ANR	4525862	Identifier	avctx		4525804	0					
ANR	4525863	Identifier	extradata_size		4525804	1					
ANR	4525864	Argument	& p -> ps		4525804	2					
ANR	4525865	UnaryOperationExpression	& p -> ps		4525804	0					
ANR	4525866	UnaryOperator	&		4525804	0					
ANR	4525867	PtrMemberAccess	p -> ps		4525804	1					
ANR	4525868	Identifier	p		4525804	0					
ANR	4525869	Identifier	ps		4525804	1					
ANR	4525870	Argument	& p -> is_avc		4525804	3					
ANR	4525871	UnaryOperationExpression	& p -> is_avc		4525804	0					
ANR	4525872	UnaryOperator	&		4525804	0					
ANR	4525873	PtrMemberAccess	p -> is_avc		4525804	1					
ANR	4525874	Identifier	p		4525804	0					
ANR	4525875	Identifier	is_avc		4525804	1					
ANR	4525876	Argument	& p -> nal_length_size		4525804	4					
ANR	4525877	UnaryOperationExpression	& p -> nal_length_size		4525804	0					
ANR	4525878	UnaryOperator	&		4525804	0					
ANR	4525879	PtrMemberAccess	p -> nal_length_size		4525804	1					
ANR	4525880	Identifier	p		4525804	0					
ANR	4525881	Identifier	nal_length_size		4525804	1					
ANR	4525882	Argument	avctx -> err_recognition		4525804	5					
ANR	4525883	PtrMemberAccess	avctx -> err_recognition		4525804	0					
ANR	4525884	Identifier	avctx		4525804	0					
ANR	4525885	Identifier	err_recognition		4525804	1					
