command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	4585111	File	/home/p4ultr4n/workplace/ReVeal/raw_code/has_decode_delay_been_guessed_0.c								
ANR	4585112	Function	has_decode_delay_been_guessed	1:0:0:177							
ANR	4585113	FunctionDef	has_decode_delay_been_guessed (AVStream * st)		4585112	0					
ANR	4585114	CompoundStatement		3:0:56:177	4585112	0					
ANR	4585115	ReturnStatement	return st -> codec -> codec_id != CODEC_ID_H264 || st -> codec_info_nb_frames >= 6 + st -> codec -> has_b_frames ;	5:4:63:174	4585112	0	True				
ANR	4585116	OrExpression	st -> codec -> codec_id != CODEC_ID_H264 || st -> codec_info_nb_frames >= 6 + st -> codec -> has_b_frames		4585112	0		||			
ANR	4585117	EqualityExpression	st -> codec -> codec_id != CODEC_ID_H264		4585112	0		!=			
ANR	4585118	PtrMemberAccess	st -> codec -> codec_id		4585112	0					
ANR	4585119	PtrMemberAccess	st -> codec		4585112	0					
ANR	4585120	Identifier	st		4585112	0					
ANR	4585121	Identifier	codec		4585112	1					
ANR	4585122	Identifier	codec_id		4585112	1					
ANR	4585123	Identifier	CODEC_ID_H264		4585112	1					
ANR	4585124	RelationalExpression	st -> codec_info_nb_frames >= 6 + st -> codec -> has_b_frames		4585112	1		>=			
ANR	4585125	PtrMemberAccess	st -> codec_info_nb_frames		4585112	0					
ANR	4585126	Identifier	st		4585112	0					
ANR	4585127	Identifier	codec_info_nb_frames		4585112	1					
ANR	4585128	AdditiveExpression	6 + st -> codec -> has_b_frames		4585112	1		+			
ANR	4585129	PrimaryExpression	6		4585112	0					
ANR	4585130	PtrMemberAccess	st -> codec -> has_b_frames		4585112	1					
ANR	4585131	PtrMemberAccess	st -> codec		4585112	0					
ANR	4585132	Identifier	st		4585112	0					
ANR	4585133	Identifier	codec		4585112	1					
ANR	4585134	Identifier	has_b_frames		4585112	1					
ANR	4585135	ReturnType	static int		4585112	1					
ANR	4585136	Identifier	has_decode_delay_been_guessed		4585112	2					
ANR	4585137	ParameterList	AVStream * st		4585112	3					
ANR	4585138	Parameter	AVStream * st	1:41:41:52	4585112	0	True				
ANR	4585139	ParameterType	AVStream *		4585112	0					
ANR	4585140	Identifier	st		4585112	1					
ANR	4585141	CFGEntryNode	ENTRY		4585112		True				
ANR	4585142	CFGExitNode	EXIT		4585112		True				
ANR	4585143	Symbol	st		4585112						
ANR	4585144	Symbol	st -> codec -> has_b_frames		4585112						
ANR	4585145	Symbol	st -> codec -> codec_id		4585112						
ANR	4585146	Symbol	* st		4585112						
ANR	4585147	Symbol	st -> codec_info_nb_frames		4585112						
ANR	4585148	Symbol	st -> codec		4585112						
ANR	4585149	Symbol	* st -> codec		4585112						
ANR	4585150	Symbol	CODEC_ID_H264		4585112						
ANR	4585151	Symbol	* * st		4585112						
