start	end	type	var
4631383	4631384	IS_AST_PARENT	
4631382	4631383	IS_AST_PARENT	
4631386	4631387	IS_AST_PARENT	
4631385	4631386	IS_AST_PARENT	
4631388	4631389	IS_AST_PARENT	
4631385	4631388	IS_AST_PARENT	
4631390	4631391	IS_AST_PARENT	
4631385	4631390	IS_AST_PARENT	
4631392	4631393	IS_AST_PARENT	
4631385	4631392	IS_AST_PARENT	
4631394	4631395	IS_AST_PARENT	
4631385	4631394	IS_AST_PARENT	
4631382	4631385	IS_AST_PARENT	
4631381	4631382	IS_AST_PARENT	
4631380	4631381	IS_AST_PARENT	
4631397	4631398	IS_AST_PARENT	
4631397	4631399	IS_AST_PARENT	
4631396	4631397	IS_AST_PARENT	
4631380	4631396	IS_AST_PARENT	
4631404	4631405	IS_AST_PARENT	
4631404	4631406	IS_AST_PARENT	
4631403	4631404	IS_AST_PARENT	
4631409	4631410	IS_AST_PARENT	
4631409	4631411	IS_AST_PARENT	
4631408	4631409	IS_AST_PARENT	
4631408	4631412	IS_AST_PARENT	
4631407	4631408	IS_AST_PARENT	
4631407	4631413	IS_AST_PARENT	
4631403	4631407	IS_AST_PARENT	
4631402	4631403	IS_AST_PARENT	
4631417	4631418	IS_AST_PARENT	
4631417	4631419	IS_AST_PARENT	
4631416	4631417	IS_AST_PARENT	
4631416	4631420	IS_AST_PARENT	
4631415	4631416	IS_AST_PARENT	
4631415	4631421	IS_AST_PARENT	
4631414	4631415	IS_AST_PARENT	
4631423	4631424	IS_AST_PARENT	
4631423	4631425	IS_AST_PARENT	
4631422	4631423	IS_AST_PARENT	
4631427	4631428	IS_AST_PARENT	
4631427	4631429	IS_AST_PARENT	
4631426	4631427	IS_AST_PARENT	
4631430	4631431	IS_AST_PARENT	
4631433	4631434	IS_AST_PARENT	
4631433	4631435	IS_AST_PARENT	
4631432	4631433	IS_AST_PARENT	
4631432	4631436	IS_AST_PARENT	
4631430	4631432	IS_AST_PARENT	
4631426	4631430	IS_AST_PARENT	
4631422	4631426	IS_AST_PARENT	
4631414	4631422	IS_AST_PARENT	
4631402	4631414	IS_AST_PARENT	
4631401	4631402	IS_AST_PARENT	
4631400	4631401	IS_AST_PARENT	
4631439	4631440	IS_AST_PARENT	
4631438	4631439	IS_AST_PARENT	
4631442	4631443	IS_AST_PARENT	
4631441	4631442	IS_AST_PARENT	
4631438	4631441	IS_AST_PARENT	
4631437	4631438	IS_AST_PARENT	
4631400	4631437	IS_AST_PARENT	
4631380	4631400	IS_AST_PARENT	
4631446	4631447	IS_AST_PARENT	
4631445	4631446	IS_AST_PARENT	
4631449	4631450	IS_AST_PARENT	
4631448	4631449	IS_AST_PARENT	
4631452	4631453	IS_AST_PARENT	
4631452	4631454	IS_AST_PARENT	
4631451	4631452	IS_AST_PARENT	
4631448	4631451	IS_AST_PARENT	
4631445	4631448	IS_AST_PARENT	
4631444	4631445	IS_AST_PARENT	
4631380	4631444	IS_AST_PARENT	
4631456	4631457	IS_AST_PARENT	
4631455	4631456	IS_AST_PARENT	
4631458	4631459	IS_AST_PARENT	
4631458	4631460	IS_AST_PARENT	
4631458	4631461	IS_AST_PARENT	
4631458	4631462	IS_AST_PARENT	
4631458	4631463	IS_AST_PARENT	
4631458	4631464	IS_AST_PARENT	
4631458	4631465	IS_AST_PARENT	
4631467	4631468	IS_AST_PARENT	
4631466	4631467	IS_AST_PARENT	
4631469	4631470	IS_AST_PARENT	
4631472	4631473	IS_AST_PARENT	
4631475	4631476	IS_AST_PARENT	
4631474	4631475	IS_AST_PARENT	
4631478	4631479	IS_AST_PARENT	
4631477	4631478	IS_AST_PARENT	
4631474	4631477	IS_AST_PARENT	
4631472	4631474	IS_AST_PARENT	
4631471	4631472	IS_AST_PARENT	
4631469	4631471	IS_AST_PARENT	
4631469	4631480	IS_AST_PARENT	
4631469	4631481	IS_AST_PARENT	
4631483	4631484	IS_AST_PARENT	
4631486	4631487	IS_AST_PARENT	
4631485	4631486	IS_AST_PARENT	
4631489	4631490	IS_AST_PARENT	
4631488	4631489	IS_AST_PARENT	
4631485	4631488	IS_AST_PARENT	
4631483	4631485	IS_AST_PARENT	
4631482	4631483	IS_AST_PARENT	
4631469	4631482	IS_AST_PARENT	
4631469	4631491	IS_AST_PARENT	
4631469	4631492	IS_AST_PARENT	
4631494	4631495	IS_AST_PARENT	
4631497	4631498	IS_AST_PARENT	
4631496	4631497	IS_AST_PARENT	
4631500	4631501	IS_AST_PARENT	
4631499	4631500	IS_AST_PARENT	
4631496	4631499	IS_AST_PARENT	
4631494	4631496	IS_AST_PARENT	
4631493	4631494	IS_AST_PARENT	
4631469	4631493	IS_AST_PARENT	
4631469	4631502	IS_AST_PARENT	
4631503	4631504	IS_AST_PARENT	
4631469	4631503	IS_AST_PARENT	
4631469	4631505	IS_AST_PARENT	
4631466	4631469	IS_AST_PARENT	
4631458	4631466	IS_AST_PARENT	
4631506	4631507	IS_AST_PARENT	
4631458	4631506	IS_AST_PARENT	
4631458	4631508	IS_AST_PARENT	
4631455	4631458	IS_AST_PARENT	
4631380	4631455	IS_AST_PARENT	
4631510	4631511	IS_AST_PARENT	
4631509	4631510	IS_AST_PARENT	
4631512	4631513	IS_AST_PARENT	
4631512	4631514	IS_AST_PARENT	
4631512	4631515	IS_AST_PARENT	
4631512	4631516	IS_AST_PARENT	
4631512	4631517	IS_AST_PARENT	
4631512	4631518	IS_AST_PARENT	
4631512	4631519	IS_AST_PARENT	
4631512	4631520	IS_AST_PARENT	
4631512	4631521	IS_AST_PARENT	
4631512	4631522	IS_AST_PARENT	
4631526	4631527	IS_AST_PARENT	
4631526	4631528	IS_AST_PARENT	
4631525	4631526	IS_AST_PARENT	
4631530	4631531	IS_AST_PARENT	
4631530	4631532	IS_AST_PARENT	
4631529	4631530	IS_AST_PARENT	
4631529	4631533	IS_AST_PARENT	
4631525	4631529	IS_AST_PARENT	
4631524	4631525	IS_AST_PARENT	
4631523	4631524	IS_AST_PARENT	
4631540	4631541	IS_AST_PARENT	
4631540	4631542	IS_AST_PARENT	
4631539	4631540	IS_AST_PARENT	
4631539	4631543	IS_AST_PARENT	
4631538	4631539	IS_AST_PARENT	
4631538	4631544	IS_AST_PARENT	
4631537	4631538	IS_AST_PARENT	
4631546	4631547	IS_AST_PARENT	
4631546	4631548	IS_AST_PARENT	
4631545	4631546	IS_AST_PARENT	
4631545	4631549	IS_AST_PARENT	
4631537	4631545	IS_AST_PARENT	
4631536	4631537	IS_AST_PARENT	
4631535	4631536	IS_AST_PARENT	
4631552	4631553	IS_AST_PARENT	
4631551	4631552	IS_AST_PARENT	
4631554	4631555	IS_AST_PARENT	
4631558	4631559	IS_AST_PARENT	
4631557	4631558	IS_AST_PARENT	
4631561	4631562	IS_AST_PARENT	
4631560	4631561	IS_AST_PARENT	
4631563	4631564	IS_AST_PARENT	
4631560	4631563	IS_AST_PARENT	
4631557	4631560	IS_AST_PARENT	
4631556	4631557	IS_AST_PARENT	
4631554	4631556	IS_AST_PARENT	
4631554	4631565	IS_AST_PARENT	
4631554	4631566	IS_AST_PARENT	
4631569	4631570	IS_AST_PARENT	
4631568	4631569	IS_AST_PARENT	
4631572	4631573	IS_AST_PARENT	
