start	end	type	var
4663143	4663144	IS_AST_PARENT	
4663143	4663145	IS_AST_PARENT	
4663146	4663147	IS_AST_PARENT	
4663148	4663149	IS_AST_PARENT	
4663148	4663150	IS_AST_PARENT	
4663146	4663148	IS_AST_PARENT	
4663143	4663146	IS_AST_PARENT	
4663142	4663143	IS_AST_PARENT	
4663151	4663152	IS_AST_PARENT	
4663151	4663153	IS_AST_PARENT	
4663142	4663151	IS_AST_PARENT	
4663141	4663142	IS_AST_PARENT	
4663155	4663156	IS_AST_PARENT	
4663155	4663157	IS_AST_PARENT	
4663154	4663155	IS_AST_PARENT	
4663141	4663154	IS_AST_PARENT	
4663159	4663160	IS_AST_PARENT	
4663159	4663161	IS_AST_PARENT	
4663162	4663163	IS_AST_PARENT	
4663164	4663165	IS_AST_PARENT	
4663168	4663169	IS_AST_PARENT	
4663168	4663170	IS_AST_PARENT	
4663167	4663168	IS_AST_PARENT	
4663167	4663171	IS_AST_PARENT	
4663166	4663167	IS_AST_PARENT	
4663166	4663172	IS_AST_PARENT	
4663164	4663166	IS_AST_PARENT	
4663162	4663164	IS_AST_PARENT	
4663159	4663162	IS_AST_PARENT	
4663158	4663159	IS_AST_PARENT	
4663141	4663158	IS_AST_PARENT	
4663174	4663175	IS_AST_PARENT	
4663174	4663176	IS_AST_PARENT	
4663177	4663178	IS_AST_PARENT	
4663177	4663179	IS_AST_PARENT	
4663174	4663177	IS_AST_PARENT	
4663173	4663174	IS_AST_PARENT	
4663141	4663173	IS_AST_PARENT	
4663181	4663182	IS_AST_PARENT	
4663181	4663183	IS_AST_PARENT	
4663184	4663185	IS_AST_PARENT	
4663184	4663186	IS_AST_PARENT	
4663181	4663184	IS_AST_PARENT	
4663180	4663181	IS_AST_PARENT	
4663141	4663180	IS_AST_PARENT	
4663188	4663189	IS_AST_PARENT	
4663188	4663190	IS_AST_PARENT	
4663191	4663192	IS_AST_PARENT	
4663193	4663194	IS_AST_PARENT	
4663193	4663195	IS_AST_PARENT	
4663191	4663193	IS_AST_PARENT	
4663188	4663191	IS_AST_PARENT	
4663187	4663188	IS_AST_PARENT	
4663141	4663187	IS_AST_PARENT	
4663197	4663198	IS_AST_PARENT	
4663197	4663199	IS_AST_PARENT	
4663200	4663201	IS_AST_PARENT	
4663204	4663205	IS_AST_PARENT	
4663204	4663206	IS_AST_PARENT	
4663203	4663204	IS_AST_PARENT	
4663203	4663207	IS_AST_PARENT	
4663202	4663203	IS_AST_PARENT	
4663208	4663209	IS_AST_PARENT	
4663214	4663215	IS_AST_PARENT	
4663214	4663216	IS_AST_PARENT	
4663213	4663214	IS_AST_PARENT	
4663213	4663217	IS_AST_PARENT	
4663212	4663213	IS_AST_PARENT	
4663212	4663218	IS_AST_PARENT	
4663211	4663212	IS_AST_PARENT	
4663219	4663220	IS_AST_PARENT	
4663219	4663221	IS_AST_PARENT	
4663211	4663219	IS_AST_PARENT	
4663210	4663211	IS_AST_PARENT	
4663224	4663225	IS_AST_PARENT	
4663224	4663226	IS_AST_PARENT	
4663223	4663224	IS_AST_PARENT	
4663223	4663227	IS_AST_PARENT	
4663222	4663223	IS_AST_PARENT	
4663222	4663228	IS_AST_PARENT	
4663210	4663222	IS_AST_PARENT	
4663208	4663210	IS_AST_PARENT	
4663202	4663208	IS_AST_PARENT	
4663200	4663202	IS_AST_PARENT	
4663197	4663200	IS_AST_PARENT	
4663196	4663197	IS_AST_PARENT	
4663141	4663196	IS_AST_PARENT	
