command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	4755131	File	/home/p4ultr4n/workplace/ReVeal/raw_code/i386_tr_translate_insn_1.c								
ANR	4755132	Function	i386_tr_translate_insn	1:0:0:1417							
ANR	4755133	FunctionDef	"i386_tr_translate_insn (DisasContextBase * dcbase , CPUState * cpu)"		4755132	0					
ANR	4755134	CompoundStatement		3:0:77:1417	4755132	0					
ANR	4755135	IdentifierDeclStatement	"DisasContext * dc = container_of ( dcbase , DisasContext , base ) ;"	5:4:84:143	4755132	0	True				
ANR	4755136	IdentifierDecl	"* dc = container_of ( dcbase , DisasContext , base )"		4755132	0					
ANR	4755137	IdentifierDeclType	DisasContext *		4755132	0					
ANR	4755138	Identifier	dc		4755132	1					
ANR	4755139	AssignmentExpression	"* dc = container_of ( dcbase , DisasContext , base )"		4755132	2		=			
ANR	4755140	Identifier	dc		4755132	0					
ANR	4755141	CallExpression	"container_of ( dcbase , DisasContext , base )"		4755132	1					
ANR	4755142	Callee	container_of		4755132	0					
ANR	4755143	Identifier	container_of		4755132	0					
ANR	4755144	ArgumentList	dcbase		4755132	1					
ANR	4755145	Argument	dcbase		4755132	0					
ANR	4755146	Identifier	dcbase		4755132	0					
ANR	4755147	Argument	DisasContext		4755132	1					
ANR	4755148	Identifier	DisasContext		4755132	0					
ANR	4755149	Argument	base		4755132	2					
ANR	4755150	Identifier	base		4755132	0					
ANR	4755151	IdentifierDeclStatement	"target_ulong pc_next = disas_insn ( dc , cpu ) ;"	7:4:150:192	4755132	1	True				
ANR	4755152	IdentifierDecl	"pc_next = disas_insn ( dc , cpu )"		4755132	0					
ANR	4755153	IdentifierDeclType	target_ulong		4755132	0					
ANR	4755154	Identifier	pc_next		4755132	1					
ANR	4755155	AssignmentExpression	"pc_next = disas_insn ( dc , cpu )"		4755132	2		=			
ANR	4755156	Identifier	pc_next		4755132	0					
ANR	4755157	CallExpression	"disas_insn ( dc , cpu )"		4755132	1					
ANR	4755158	Callee	disas_insn		4755132	0					
ANR	4755159	Identifier	disas_insn		4755132	0					
ANR	4755160	ArgumentList	dc		4755132	1					
ANR	4755161	Argument	dc		4755132	0					
ANR	4755162	Identifier	dc		4755132	0					
ANR	4755163	Argument	cpu		4755132	1					
ANR	4755164	Identifier	cpu		4755132	0					
ANR	4755165	IfStatement	if ( dc -> tf || ( dc -> base . tb -> flags & HF_INHIBIT_IRQ_MASK ) )		4755132	2					
ANR	4755166	Condition	dc -> tf || ( dc -> base . tb -> flags & HF_INHIBIT_IRQ_MASK )	11:8:205:256	4755132	0	True				
