command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	5005555	File	/home/p4ultr4n/workplace/ReVeal/raw_code/iscsi_aio_writev_01_1.c								
ANR	5005556	Function	iscsi_aio_writev	1:0:0:694							
ANR	5005557	FunctionDef	"iscsi_aio_writev (BlockDriverState * bs , int64_t sector_num , QEMUIOVector * qiov , int nb_sectors , BlockDriverCompletionFunc * cb , void * opaque)"		5005556	0					
ANR	5005558	CompoundStatement		5:0:191:694	5005556	0					
ANR	5005559	IdentifierDeclStatement	IscsiLun * iscsilun = bs -> opaque ;	6:4:197:228	5005556	0	True				
ANR	5005560	IdentifierDecl	* iscsilun = bs -> opaque		5005556	0					
ANR	5005561	IdentifierDeclType	IscsiLun *		5005556	0					
ANR	5005562	Identifier	iscsilun		5005556	1					
ANR	5005563	AssignmentExpression	* iscsilun = bs -> opaque		5005556	2		=			
ANR	5005564	Identifier	iscsilun		5005556	0					
ANR	5005565	PtrMemberAccess	bs -> opaque		5005556	1					
ANR	5005566	Identifier	bs		5005556	0					
ANR	5005567	Identifier	opaque		5005556	1					
ANR	5005568	IdentifierDeclStatement	IscsiAIOCB * acb ;	7:4:234:249	5005556	1	True				
ANR	5005569	IdentifierDecl	* acb		5005556	0					
ANR	5005570	IdentifierDeclType	IscsiAIOCB *		5005556	0					
ANR	5005571	Identifier	acb		5005556	1					
ANR	5005572	ExpressionStatement	"acb = qemu_aio_get ( & iscsi_aiocb_info , bs , cb , opaque )"	8:4:255:308	5005556	2	True				
ANR	5005573	AssignmentExpression	"acb = qemu_aio_get ( & iscsi_aiocb_info , bs , cb , opaque )"		5005556	0		=			
ANR	5005574	Identifier	acb		5005556	0					
ANR	5005575	CallExpression	"qemu_aio_get ( & iscsi_aiocb_info , bs , cb , opaque )"		5005556	1					
ANR	5005576	Callee	qemu_aio_get		5005556	0					
ANR	5005577	Identifier	qemu_aio_get		5005556	0					
ANR	5005578	ArgumentList	& iscsi_aiocb_info		5005556	1					
ANR	5005579	Argument	& iscsi_aiocb_info		5005556	0					
ANR	5005580	UnaryOperationExpression	& iscsi_aiocb_info		5005556	0					
ANR	5005581	UnaryOperator	&		5005556	0					
ANR	5005582	Identifier	iscsi_aiocb_info		5005556	1					
ANR	5005583	Argument	bs		5005556	1					
ANR	5005584	Identifier	bs		5005556	0					
ANR	5005585	Argument	cb		5005556	2					
ANR	5005586	Identifier	cb		5005556	0					
ANR	5005587	Argument	opaque		5005556	3					
ANR	5005588	Identifier	opaque		5005556	0					
ANR	5005589	ExpressionStatement	"trace_iscsi_aio_writev ( iscsilun -> iscsi , sector_num , nb_sectors , opaque , acb )"	9:4:314:390	5005556	3	True				
ANR	5005590	CallExpression	"trace_iscsi_aio_writev ( iscsilun -> iscsi , sector_num , nb_sectors , opaque , acb )"		5005556	0					
ANR	5005591	Callee	trace_iscsi_aio_writev		5005556	0					
ANR	5005592	Identifier	trace_iscsi_aio_writev		5005556	0					
ANR	5005593	ArgumentList	iscsilun -> iscsi		5005556	1					
ANR	5005594	Argument	iscsilun -> iscsi		5005556	0					
ANR	5005595	PtrMemberAccess	iscsilun -> iscsi		5005556	0					
ANR	5005596	Identifier	iscsilun		5005556	0					
ANR	5005597	Identifier	iscsi		5005556	1					
ANR	5005598	Argument	sector_num		5005556	1					
ANR	5005599	Identifier	sector_num		5005556	0					
ANR	5005600	Argument	nb_sectors		5005556	2					
ANR	5005601	Identifier	nb_sectors		5005556	0					
ANR	5005602	Argument	opaque		5005556	3					
ANR	5005603	Identifier	opaque		5005556	0					
ANR	5005604	Argument	acb		5005556	4					
ANR	5005605	Identifier	acb		5005556	0					
ANR	5005606	ExpressionStatement	acb -> iscsilun = iscsilun	10:4:396:423	5005556	4	True				
ANR	5005607	AssignmentExpression	acb -> iscsilun = iscsilun		5005556	0		=			
ANR	5005608	PtrMemberAccess	acb -> iscsilun		5005556	0					
ANR	5005609	Identifier	acb		5005556	0					
ANR	5005610	Identifier	iscsilun		5005556	1					
ANR	5005611	Identifier	iscsilun		5005556	1					
