start	end	type	var
5112164	5112165	IS_AST_PARENT	
5112164	5112166	IS_AST_PARENT	
5112167	5112168	IS_AST_PARENT	
5112169	5112170	IS_AST_PARENT	
5112171	5112172	IS_AST_PARENT	
5112171	5112173	IS_AST_PARENT	
5112169	5112171	IS_AST_PARENT	
5112167	5112169	IS_AST_PARENT	
5112164	5112167	IS_AST_PARENT	
5112163	5112164	IS_AST_PARENT	
5112162	5112163	IS_AST_PARENT	
5112175	5112176	IS_AST_PARENT	
5112175	5112177	IS_AST_PARENT	
5112174	5112175	IS_AST_PARENT	
5112162	5112174	IS_AST_PARENT	
5112179	5112180	IS_AST_PARENT	
5112179	5112181	IS_AST_PARENT	
5112178	5112179	IS_AST_PARENT	
5112182	5112183	IS_AST_PARENT	
5112182	5112184	IS_AST_PARENT	
5112178	5112182	IS_AST_PARENT	
5112162	5112178	IS_AST_PARENT	
5112186	5112187	IS_AST_PARENT	
5112189	5112190	IS_AST_PARENT	
5112188	5112189	IS_AST_PARENT	
5112194	5112195	IS_AST_PARENT	
5112193	5112194	IS_AST_PARENT	
5112197	5112198	IS_AST_PARENT	
5112196	5112197	IS_AST_PARENT	
5112193	5112196	IS_AST_PARENT	
5112192	5112193	IS_AST_PARENT	
5112191	5112192	IS_AST_PARENT	
5112199	5112200	IS_AST_PARENT	
5112191	5112199	IS_AST_PARENT	
5112202	5112203	IS_AST_PARENT	
5112202	5112204	IS_AST_PARENT	
5112201	5112202	IS_AST_PARENT	
5112191	5112201	IS_AST_PARENT	
5112188	5112191	IS_AST_PARENT	
5112186	5112188	IS_AST_PARENT	
5112185	5112186	IS_AST_PARENT	
5112162	5112185	IS_AST_PARENT	
5112207	5112208	IS_AST_PARENT	
5112207	5112209	IS_AST_PARENT	
5112206	5112207	IS_AST_PARENT	
5112205	5112206	IS_AST_PARENT	
5112211	5112212	IS_AST_PARENT	
5112210	5112211	IS_AST_PARENT	
5112205	5112210	IS_AST_PARENT	
5112162	5112205	IS_AST_PARENT	
5112215	5112216	IS_AST_PARENT	
