start	end	type	var
5173356	5173357	IS_AST_PARENT	
5173356	5173358	IS_AST_PARENT	
5173359	5173360	IS_AST_PARENT	
5173361	5173362	IS_AST_PARENT	
5173361	5173363	IS_AST_PARENT	
5173359	5173361	IS_AST_PARENT	
5173356	5173359	IS_AST_PARENT	
5173355	5173356	IS_AST_PARENT	
5173354	5173355	IS_AST_PARENT	
5173365	5173366	IS_AST_PARENT	
5173365	5173367	IS_AST_PARENT	
5173364	5173365	IS_AST_PARENT	
5173354	5173364	IS_AST_PARENT	
5173371	5173372	IS_AST_PARENT	
5173371	5173373	IS_AST_PARENT	
5173370	5173371	IS_AST_PARENT	
5173374	5173375	IS_AST_PARENT	
5173374	5173376	IS_AST_PARENT	
5173370	5173374	IS_AST_PARENT	
5173369	5173370	IS_AST_PARENT	
5173368	5173369	IS_AST_PARENT	
5173380	5173381	IS_AST_PARENT	
5173379	5173380	IS_AST_PARENT	
5173383	5173384	IS_AST_PARENT	
5173382	5173383	IS_AST_PARENT	
5173385	5173386	IS_AST_PARENT	
5173382	5173385	IS_AST_PARENT	
5173379	5173382	IS_AST_PARENT	
5173378	5173379	IS_AST_PARENT	
5173377	5173378	IS_AST_PARENT	
5173377	5173387	IS_AST_PARENT	
5173368	5173377	IS_AST_PARENT	
5173354	5173368	IS_AST_PARENT	
5173389	5173390	IS_AST_PARENT	
5173388	5173389	IS_AST_PARENT	
5173392	5173393	IS_AST_PARENT	
5173391	5173392	IS_AST_PARENT	
5173395	5173396	IS_AST_PARENT	
5173397	5173398	IS_AST_PARENT	
5173399	5173400	IS_AST_PARENT	
5173399	5173401	IS_AST_PARENT	
5173397	5173399	IS_AST_PARENT	
5173395	5173397	IS_AST_PARENT	
5173394	5173395	IS_AST_PARENT	
5173391	5173394	IS_AST_PARENT	
5173404	5173405	IS_AST_PARENT	
5173404	5173406	IS_AST_PARENT	
5173403	5173404	IS_AST_PARENT	
5173409	5173410	IS_AST_PARENT	
5173409	5173411	IS_AST_PARENT	
5173408	5173409	IS_AST_PARENT	
5173408	5173412	IS_AST_PARENT	
5173407	5173408	IS_AST_PARENT	
5173407	5173413	IS_AST_PARENT	
5173403	5173407	IS_AST_PARENT	
5173402	5173403	IS_AST_PARENT	
5173391	5173402	IS_AST_PARENT	
5173391	5173414	IS_AST_PARENT	
5173415	5173416	IS_AST_PARENT	
5173391	5173415	IS_AST_PARENT	
5173419	5173420	IS_AST_PARENT	
5173419	5173421	IS_AST_PARENT	
5173418	5173419	IS_AST_PARENT	
5173418	5173422	IS_AST_PARENT	
5173417	5173418	IS_AST_PARENT	
5173391	5173417	IS_AST_PARENT	
5173391	5173423	IS_AST_PARENT	
5173424	5173425	IS_AST_PARENT	
5173391	5173424	IS_AST_PARENT	
5173428	5173429	IS_AST_PARENT	
5173428	5173430	IS_AST_PARENT	
5173427	5173428	IS_AST_PARENT	
5173431	5173432	IS_AST_PARENT	
5173431	5173433	IS_AST_PARENT	
5173427	5173431	IS_AST_PARENT	
5173426	5173427	IS_AST_PARENT	
5173391	5173426	IS_AST_PARENT	
5173436	5173437	IS_AST_PARENT	
5173436	5173438	IS_AST_PARENT	
5173435	5173436	IS_AST_PARENT	
5173439	5173440	IS_AST_PARENT	
5173439	5173441	IS_AST_PARENT	
5173435	5173439	IS_AST_PARENT	
5173434	5173435	IS_AST_PARENT	
5173391	5173434	IS_AST_PARENT	
5173391	5173442	IS_AST_PARENT	
5173443	5173444	IS_AST_PARENT	
5173391	5173443	IS_AST_PARENT	
5173447	5173448	IS_AST_PARENT	
5173446	5173447	IS_AST_PARENT	
5173450	5173451	IS_AST_PARENT	
5173449	5173450	IS_AST_PARENT	
5173452	5173453	IS_AST_PARENT	
5173449	5173452	IS_AST_PARENT	
5173446	5173449	IS_AST_PARENT	
5173445	5173446	IS_AST_PARENT	
5173391	5173445	IS_AST_PARENT	
5173456	5173457	IS_AST_PARENT	
5173456	5173458	IS_AST_PARENT	
5173455	5173456	IS_AST_PARENT	
5173455	5173459	IS_AST_PARENT	
5173454	5173455	IS_AST_PARENT	
5173391	5173454	IS_AST_PARENT	
5173391	5173460	IS_AST_PARENT	
5173461	5173462	IS_AST_PARENT	
5173391	5173461	IS_AST_PARENT	
5173465	5173466	IS_AST_PARENT	
5173465	5173467	IS_AST_PARENT	
5173464	5173465	IS_AST_PARENT	
5173463	5173464	IS_AST_PARENT	
5173471	5173472	IS_AST_PARENT	
5173471	5173473	IS_AST_PARENT	
5173470	5173471	IS_AST_PARENT	
5173470	5173474	IS_AST_PARENT	
5173469	5173470	IS_AST_PARENT	
5173468	5173469	IS_AST_PARENT	
5173477	5173478	IS_AST_PARENT	
5173477	5173479	IS_AST_PARENT	
5173476	5173477	IS_AST_PARENT	
5173476	5173480	IS_AST_PARENT	
5173475	5173476	IS_AST_PARENT	
5173468	5173475	IS_AST_PARENT	
5173483	5173484	IS_AST_PARENT	
5173483	5173485	IS_AST_PARENT	
5173482	5173483	IS_AST_PARENT	
5173486	5173487	IS_AST_PARENT	
5173486	5173488	IS_AST_PARENT	
5173482	5173486	IS_AST_PARENT	
5173481	5173482	IS_AST_PARENT	
5173468	5173481	IS_AST_PARENT	
5173492	5173493	IS_AST_PARENT	
5173492	5173494	IS_AST_PARENT	
5173491	5173492	IS_AST_PARENT	
5173495	5173496	IS_AST_PARENT	
5173495	5173497	IS_AST_PARENT	
5173491	5173495	IS_AST_PARENT	
5173490	5173491	IS_AST_PARENT	
5173490	5173498	IS_AST_PARENT	
5173489	5173490	IS_AST_PARENT	
5173468	5173489	IS_AST_PARENT	
5173463	5173468	IS_AST_PARENT	
5173391	5173463	IS_AST_PARENT	
5173501	5173502	IS_AST_PARENT	
5173501	5173503	IS_AST_PARENT	
5173500	5173501	IS_AST_PARENT	
5173504	5173505	IS_AST_PARENT	
5173504	5173506	IS_AST_PARENT	
5173500	5173504	IS_AST_PARENT	
5173499	5173500	IS_AST_PARENT	
5173391	5173499	IS_AST_PARENT	
5173391	5173507	IS_AST_PARENT	
5173508	5173509	IS_AST_PARENT	
5173391	5173508	IS_AST_PARENT	
5173512	5173513	IS_AST_PARENT	
5173512	5173514	IS_AST_PARENT	
5173511	5173512	IS_AST_PARENT	
5173510	5173511	IS_AST_PARENT	
5173518	5173519	IS_AST_PARENT	
5173518	5173520	IS_AST_PARENT	
5173517	5173518	IS_AST_PARENT	
5173517	5173521	IS_AST_PARENT	
5173516	5173517	IS_AST_PARENT	
5173515	5173516	IS_AST_PARENT	
5173510	5173515	IS_AST_PARENT	
5173391	5173510	IS_AST_PARENT	
5173524	5173525	IS_AST_PARENT	
5173524	5173526	IS_AST_PARENT	
5173523	5173524	IS_AST_PARENT	
5173522	5173523	IS_AST_PARENT	
5173531	5173532	IS_AST_PARENT	
5173531	5173533	IS_AST_PARENT	
5173530	5173531	IS_AST_PARENT	
5173530	5173534	IS_AST_PARENT	
5173529	5173530	IS_AST_PARENT	
5173529	5173535	IS_AST_PARENT	
5173528	5173529	IS_AST_PARENT	
5173527	5173528	IS_AST_PARENT	
5173539	5173540	IS_AST_PARENT	
5173539	5173541	IS_AST_PARENT	
5173538	5173539	IS_AST_PARENT	
5173538	5173542	IS_AST_PARENT	
5173537	5173538	IS_AST_PARENT	
5173537	5173543	IS_AST_PARENT	
5173536	5173537	IS_AST_PARENT	
5173527	5173536	IS_AST_PARENT	
5173547	5173548	IS_AST_PARENT	
5173547	5173549	IS_AST_PARENT	
5173546	5173547	IS_AST_PARENT	
5173546	5173550	IS_AST_PARENT	
5173545	5173546	IS_AST_PARENT	
5173545	5173551	IS_AST_PARENT	
5173544	5173545	IS_AST_PARENT	
5173527	5173544	IS_AST_PARENT	
5173522	5173527	IS_AST_PARENT	
5173391	5173522	IS_AST_PARENT	
5173554	5173555	IS_AST_PARENT	
5173554	5173556	IS_AST_PARENT	
5173553	5173554	IS_AST_PARENT	
5173557	5173558	IS_AST_PARENT	
5173557	5173559	IS_AST_PARENT	
5173553	5173557	IS_AST_PARENT	
5173552	5173553	IS_AST_PARENT	
5173391	5173552	IS_AST_PARENT	
5173391	5173560	IS_AST_PARENT	
5173561	5173562	IS_AST_PARENT	
5173391	5173561	IS_AST_PARENT	
5173565	5173566	IS_AST_PARENT	
5173565	5173567	IS_AST_PARENT	
5173564	5173565	IS_AST_PARENT	
5173563	5173564	IS_AST_PARENT	
5173571	5173572	IS_AST_PARENT	
5173570	5173571	IS_AST_PARENT	
5173575	5173576	IS_AST_PARENT	
5173578	5173579	IS_AST_PARENT	
5173578	5173580	IS_AST_PARENT	
5173577	5173578	IS_AST_PARENT	
5173577	5173581	IS_AST_PARENT	
