start	end	type	var
5400338	5400339	IS_AST_PARENT	
5400338	5400340	IS_AST_PARENT	
5400341	5400342	IS_AST_PARENT	
5400343	5400344	IS_AST_PARENT	
5400343	5400345	IS_AST_PARENT	
5400341	5400343	IS_AST_PARENT	
5400338	5400341	IS_AST_PARENT	
5400337	5400338	IS_AST_PARENT	
5400336	5400337	IS_AST_PARENT	
5400347	5400348	IS_AST_PARENT	
5400347	5400349	IS_AST_PARENT	
5400350	5400351	IS_AST_PARENT	
5400352	5400353	IS_AST_PARENT	
5400352	5400354	IS_AST_PARENT	
5400350	5400352	IS_AST_PARENT	
5400347	5400350	IS_AST_PARENT	
5400346	5400347	IS_AST_PARENT	
5400336	5400346	IS_AST_PARENT	
5400356	5400357	IS_AST_PARENT	
5400356	5400358	IS_AST_PARENT	
5400359	5400360	IS_AST_PARENT	
5400361	5400362	IS_AST_PARENT	
5400361	5400363	IS_AST_PARENT	
5400359	5400361	IS_AST_PARENT	
5400356	5400359	IS_AST_PARENT	
5400355	5400356	IS_AST_PARENT	
5400336	5400355	IS_AST_PARENT	
5400365	5400366	IS_AST_PARENT	
5400365	5400367	IS_AST_PARENT	
5400364	5400365	IS_AST_PARENT	
5400336	5400364	IS_AST_PARENT	
5400369	5400370	IS_AST_PARENT	
5400369	5400371	IS_AST_PARENT	
5400368	5400369	IS_AST_PARENT	
5400336	5400368	IS_AST_PARENT	
5400373	5400374	IS_AST_PARENT	
5400373	5400375	IS_AST_PARENT	
5400372	5400373	IS_AST_PARENT	
5400336	5400372	IS_AST_PARENT	
5400377	5400378	IS_AST_PARENT	
5400377	5400379	IS_AST_PARENT	
5400376	5400377	IS_AST_PARENT	
5400336	5400376	IS_AST_PARENT	
5400381	5400382	IS_AST_PARENT	
5400381	5400383	IS_AST_PARENT	
5400380	5400381	IS_AST_PARENT	
5400336	5400380	IS_AST_PARENT	
5400385	5400386	IS_AST_PARENT	
5400385	5400387	IS_AST_PARENT	
5400384	5400385	IS_AST_PARENT	
5400336	5400384	IS_AST_PARENT	
5400389	5400390	IS_AST_PARENT	
5400389	5400391	IS_AST_PARENT	
5400392	5400393	IS_AST_PARENT	
5400395	5400396	IS_AST_PARENT	
5400394	5400395	IS_AST_PARENT	
5400394	5400397	IS_AST_PARENT	
5400392	5400394	IS_AST_PARENT	
5400389	5400392	IS_AST_PARENT	
5400388	5400389	IS_AST_PARENT	
5400336	5400388	IS_AST_PARENT	
5400399	5400400	IS_AST_PARENT	
5400399	5400401	IS_AST_PARENT	
5400402	5400403	IS_AST_PARENT	
5400405	5400406	IS_AST_PARENT	
5400404	5400405	IS_AST_PARENT	
5400408	5400409	IS_AST_PARENT	
5400407	5400408	IS_AST_PARENT	
5400410	5400411	IS_AST_PARENT	
5400407	5400410	IS_AST_PARENT	
5400404	5400407	IS_AST_PARENT	
5400402	5400404	IS_AST_PARENT	
5400399	5400402	IS_AST_PARENT	
5400398	5400399	IS_AST_PARENT	
5400336	5400398	IS_AST_PARENT	
5400413	5400414	IS_AST_PARENT	
5400413	5400415	IS_AST_PARENT	
5400416	5400417	IS_AST_PARENT	
5400419	5400420	IS_AST_PARENT	
5400418	5400419	IS_AST_PARENT	
5400422	5400423	IS_AST_PARENT	
5400421	5400422	IS_AST_PARENT	
5400424	5400425	IS_AST_PARENT	
5400421	5400424	IS_AST_PARENT	
5400418	5400421	IS_AST_PARENT	
5400416	5400418	IS_AST_PARENT	
5400413	5400416	IS_AST_PARENT	
5400412	5400413	IS_AST_PARENT	
5400336	5400412	IS_AST_PARENT	
5400428	5400429	IS_AST_PARENT	
5400428	5400430	IS_AST_PARENT	
5400427	5400428	IS_AST_PARENT	
