start	end	type	var
5435398	5435399	IS_AST_PARENT	
5435398	5435400	IS_AST_PARENT	
5435397	5435398	IS_AST_PARENT	
5435396	5435397	IS_AST_PARENT	
5435403	5435404	IS_AST_PARENT	
5435402	5435403	IS_AST_PARENT	
5435406	5435407	IS_AST_PARENT	
5435405	5435406	IS_AST_PARENT	
5435402	5435405	IS_AST_PARENT	
5435401	5435402	IS_AST_PARENT	
5435396	5435401	IS_AST_PARENT	
5435409	5435410	IS_AST_PARENT	
5435409	5435411	IS_AST_PARENT	
5435408	5435409	IS_AST_PARENT	
5435396	5435408	IS_AST_PARENT	
5435414	5435415	IS_AST_PARENT	
5435414	5435416	IS_AST_PARENT	
5435413	5435414	IS_AST_PARENT	
5435412	5435413	IS_AST_PARENT	
5435419	5435420	IS_AST_PARENT	
5435418	5435419	IS_AST_PARENT	
5435424	5435425	IS_AST_PARENT	
5435423	5435424	IS_AST_PARENT	
5435427	5435428	IS_AST_PARENT	
5435426	5435427	IS_AST_PARENT	
5435429	5435430	IS_AST_PARENT	
5435426	5435429	IS_AST_PARENT	
5435423	5435426	IS_AST_PARENT	
5435422	5435423	IS_AST_PARENT	
5435421	5435422	IS_AST_PARENT	
5435421	5435431	IS_AST_PARENT	
5435421	5435432	IS_AST_PARENT	
5435421	5435433	IS_AST_PARENT	
5435421	5435434	IS_AST_PARENT	
5435421	5435435	IS_AST_PARENT	
5435421	5435436	IS_AST_PARENT	
5435421	5435437	IS_AST_PARENT	
5435421	5435438	IS_AST_PARENT	
5435421	5435439	IS_AST_PARENT	
5435443	5435444	IS_AST_PARENT	
5435442	5435443	IS_AST_PARENT	
5435446	5435447	IS_AST_PARENT	
5435445	5435446	IS_AST_PARENT	
5435442	5435445	IS_AST_PARENT	
5435441	5435442	IS_AST_PARENT	
5435440	5435441	IS_AST_PARENT	
5435421	5435440	IS_AST_PARENT	
5435450	5435451	IS_AST_PARENT	
5435449	5435450	IS_AST_PARENT	
5435453	5435454	IS_AST_PARENT	
5435452	5435453	IS_AST_PARENT	
5435455	5435456	IS_AST_PARENT	
5435452	5435455	IS_AST_PARENT	
5435449	5435452	IS_AST_PARENT	
