command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	5437997	File	/home/p4ultr4n/workplace/ReVeal/raw_code/menelaus_rtc_stop_1.c								
ANR	5437998	Function	menelaus_rtc_stop	1:0:0:193							
ANR	5437999	FunctionDef	menelaus_rtc_stop (struct menelaus_s * s)		5437998	0					
ANR	5438000	CompoundStatement		3:0:60:193	5437998	0					
ANR	5438001	ExpressionStatement	qemu_del_timer ( s -> rtc . hz )	5:4:67:92	5437998	0	True				
ANR	5438002	CallExpression	qemu_del_timer ( s -> rtc . hz )		5437998	0					
ANR	5438003	Callee	qemu_del_timer		5437998	0					
ANR	5438004	Identifier	qemu_del_timer		5437998	0					
ANR	5438005	ArgumentList	s -> rtc . hz		5437998	1					
ANR	5438006	Argument	s -> rtc . hz		5437998	0					
ANR	5438007	MemberAccess	s -> rtc . hz		5437998	0					
ANR	5438008	PtrMemberAccess	s -> rtc		5437998	0					
ANR	5438009	Identifier	s		5437998	0					
ANR	5438010	Identifier	rtc		5437998	1					
ANR	5438011	Identifier	hz		5437998	1					
ANR	5438012	ExpressionStatement	s -> rtc . next = - qemu_get_clock ( rt_clock )	7:4:99:138	5437998	1	True				
ANR	5438013	AssignmentExpression	s -> rtc . next = - qemu_get_clock ( rt_clock )		5437998	0		=			
ANR	5438014	MemberAccess	s -> rtc . next		5437998	0					
ANR	5438015	PtrMemberAccess	s -> rtc		5437998	0					
ANR	5438016	Identifier	s		5437998	0					
ANR	5438017	Identifier	rtc		5437998	1					
ANR	5438018	Identifier	next		5437998	1					
ANR	5438019	UnaryOperationExpression	- qemu_get_clock ( rt_clock )		5437998	1					
ANR	5438020	UnaryOperator	-		5437998	0					
ANR	5438021	CallExpression	qemu_get_clock ( rt_clock )		5437998	1					
ANR	5438022	Callee	qemu_get_clock		5437998	0					
ANR	5438023	Identifier	qemu_get_clock		5437998	0					
ANR	5438024	ArgumentList	rt_clock		5437998	1					
ANR	5438025	Argument	rt_clock		5437998	0					
ANR	5438026	Identifier	rt_clock		5437998	0					
ANR	5438027	IfStatement	if ( s -> rtc . next < 1 )		5437998	2					
ANR	5438028	Condition	s -> rtc . next < 1	9:8:149:163	5437998	0	True				
ANR	5438029	RelationalExpression	s -> rtc . next < 1		5437998	0		<			
ANR	5438030	MemberAccess	s -> rtc . next		5437998	0					
ANR	5438031	PtrMemberAccess	s -> rtc		5437998	0					
ANR	5438032	Identifier	s		5437998	0					
ANR	5438033	Identifier	rtc		5437998	1					
ANR	5438034	Identifier	next		5437998	1					
ANR	5438035	PrimaryExpression	1		5437998	1					
ANR	5438036	ExpressionStatement	s -> rtc . next = 1	11:8:175:190	5437998	1	True				
ANR	5438037	AssignmentExpression	s -> rtc . next = 1		5437998	0		=			
ANR	5438038	MemberAccess	s -> rtc . next		5437998	0					
ANR	5438039	PtrMemberAccess	s -> rtc		5437998	0					
ANR	5438040	Identifier	s		5437998	0					
ANR	5438041	Identifier	rtc		5437998	1					
ANR	5438042	Identifier	next		5437998	1					
ANR	5438043	PrimaryExpression	1		5437998	1					
ANR	5438044	ReturnType	static inline void		5437998	1					
ANR	5438045	Identifier	menelaus_rtc_stop		5437998	2					
ANR	5438046	ParameterList	struct menelaus_s * s		5437998	3					
ANR	5438047	Parameter	struct menelaus_s * s	1:37:37:56	5437998	0	True				
ANR	5438048	ParameterType	struct menelaus_s *		5437998	0					
ANR	5438049	Identifier	s		5437998	1					
ANR	5438050	CFGEntryNode	ENTRY		5437998		True				
ANR	5438051	CFGExitNode	EXIT		5437998		True				
ANR	5438052	Symbol	s -> rtc . next		5437998						
ANR	5438053	Symbol	s		5437998						
ANR	5438054	Symbol	qemu_get_clock		5437998						
ANR	5438055	Symbol	s -> rtc . hz		5437998						
ANR	5438056	Symbol	rt_clock		5437998						
ANR	5438057	Symbol	* s		5437998						
ANR	5438058	Symbol	s -> rtc		5437998						
