start	end	type	var
5500666	5500667	IS_AST_PARENT	
5500666	5500668	IS_AST_PARENT	
5500665	5500666	IS_AST_PARENT	
5500664	5500665	IS_AST_PARENT	
5500670	5500671	IS_AST_PARENT	
5500670	5500672	IS_AST_PARENT	
5500670	5500673	IS_AST_PARENT	
5500674	5500675	IS_AST_PARENT	
5500677	5500678	IS_AST_PARENT	
5500677	5500679	IS_AST_PARENT	
5500676	5500677	IS_AST_PARENT	
5500676	5500680	IS_AST_PARENT	
5500674	5500676	IS_AST_PARENT	
5500670	5500674	IS_AST_PARENT	
5500669	5500670	IS_AST_PARENT	
5500664	5500669	IS_AST_PARENT	
5500683	5500684	IS_AST_PARENT	
5500683	5500685	IS_AST_PARENT	
5500682	5500683	IS_AST_PARENT	
5500681	5500682	IS_AST_PARENT	
5500687	5500688	IS_AST_PARENT	
5500687	5500689	IS_AST_PARENT	
5500686	5500687	IS_AST_PARENT	
5500681	5500686	IS_AST_PARENT	
5500690	5500691	IS_AST_PARENT	
5500690	5500692	IS_AST_PARENT	
5500681	5500690	IS_AST_PARENT	
5500697	5500698	IS_AST_PARENT	
5500697	5500699	IS_AST_PARENT	
5500696	5500697	IS_AST_PARENT	
5500696	5500700	IS_AST_PARENT	
5500695	5500696	IS_AST_PARENT	
5500703	5500704	IS_AST_PARENT	
5500703	5500705	IS_AST_PARENT	
5500702	5500703	IS_AST_PARENT	
5500702	5500706	IS_AST_PARENT	
5500701	5500702	IS_AST_PARENT	
5500708	5500709	IS_AST_PARENT	
5500708	5500710	IS_AST_PARENT	
5500707	5500708	IS_AST_PARENT	
5500707	5500711	IS_AST_PARENT	
5500701	5500707	IS_AST_PARENT	
5500695	5500701	IS_AST_PARENT	
5500694	5500695	IS_AST_PARENT	
5500693	5500694	IS_AST_PARENT	
5500715	5500716	IS_AST_PARENT	
5500715	5500717	IS_AST_PARENT	
5500714	5500715	IS_AST_PARENT	
5500714	5500718	IS_AST_PARENT	
5500713	5500714	IS_AST_PARENT	
5500721	5500722	IS_AST_PARENT	
5500721	5500723	IS_AST_PARENT	
5500720	5500721	IS_AST_PARENT	
5500720	5500724	IS_AST_PARENT	
5500719	5500720	IS_AST_PARENT	
5500726	5500727	IS_AST_PARENT	
5500726	5500728	IS_AST_PARENT	
5500725	5500726	IS_AST_PARENT	
5500725	5500729	IS_AST_PARENT	
5500719	5500725	IS_AST_PARENT	
5500713	5500719	IS_AST_PARENT	
