start	end	type	var
5612194	5612195	IS_AST_PARENT	
5612194	5612196	IS_AST_PARENT	
5612197	5612198	IS_AST_PARENT	
5612199	5612200	IS_AST_PARENT	
5612199	5612201	IS_AST_PARENT	
5612197	5612199	IS_AST_PARENT	
5612194	5612197	IS_AST_PARENT	
5612193	5612194	IS_AST_PARENT	
5612192	5612193	IS_AST_PARENT	
5612203	5612204	IS_AST_PARENT	
5612203	5612205	IS_AST_PARENT	
5612202	5612203	IS_AST_PARENT	
5612192	5612202	IS_AST_PARENT	
5612207	5612208	IS_AST_PARENT	
5612207	5612209	IS_AST_PARENT	
5612206	5612207	IS_AST_PARENT	
5612192	5612206	IS_AST_PARENT	
5612211	5612212	IS_AST_PARENT	
5612211	5612213	IS_AST_PARENT	
5612214	5612215	IS_AST_PARENT	
5612214	5612216	IS_AST_PARENT	
5612211	5612214	IS_AST_PARENT	
5612210	5612211	IS_AST_PARENT	
5612192	5612210	IS_AST_PARENT	
5612218	5612219	IS_AST_PARENT	
5612218	5612220	IS_AST_PARENT	
5612217	5612218	IS_AST_PARENT	
5612192	5612217	IS_AST_PARENT	
5612223	5612224	IS_AST_PARENT	
5612223	5612225	IS_AST_PARENT	
5612222	5612223	IS_AST_PARENT	
5612222	5612226	IS_AST_PARENT	
5612221	5612222	IS_AST_PARENT	
5612192	5612221	IS_AST_PARENT	
5612227	5612228	IS_AST_PARENT	
5612192	5612227	IS_AST_PARENT	
5612230	5612231	IS_AST_PARENT	
5612233	5612234	IS_AST_PARENT	
5612232	5612233	IS_AST_PARENT	
5612236	5612237	IS_AST_PARENT	
5612235	5612236	IS_AST_PARENT	
5612239	5612240	IS_AST_PARENT	
5612239	5612241	IS_AST_PARENT	
5612238	5612239	IS_AST_PARENT	
5612235	5612238	IS_AST_PARENT	
5612232	5612235	IS_AST_PARENT	
5612230	5612232	IS_AST_PARENT	
5612229	5612230	IS_AST_PARENT	
5612192	5612229	IS_AST_PARENT	
5612244	5612245	IS_AST_PARENT	
5612244	5612246	IS_AST_PARENT	
5612243	5612244	IS_AST_PARENT	
5612242	5612243	IS_AST_PARENT	
5612250	5612251	IS_AST_PARENT	
5612250	5612252	IS_AST_PARENT	
5612249	5612250	IS_AST_PARENT	
5612249	5612253	IS_AST_PARENT	
5612248	5612249	IS_AST_PARENT	
5612247	5612248	IS_AST_PARENT	
5612256	5612257	IS_AST_PARENT	
5612258	5612259	IS_AST_PARENT	
5612258	5612260	IS_AST_PARENT	
