command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	5865105	File	/home/p4ultr4n/workplace/ReVeal/raw_code/mv_read_packet_0.c								
ANR	5865106	Function	mv_read_packet	1:0:0:1273							
ANR	5865107	FunctionDef	"mv_read_packet (AVFormatContext * avctx , AVPacket * pkt)"		5865106	0					
ANR	5865108	CompoundStatement		3:0:66:1273	5865106	0					
ANR	5865109	IdentifierDeclStatement	MvContext * mv = avctx -> priv_data ;	5:4:73:105	5865106	0	True				
ANR	5865110	IdentifierDecl	* mv = avctx -> priv_data		5865106	0					
ANR	5865111	IdentifierDeclType	MvContext *		5865106	0					
ANR	5865112	Identifier	mv		5865106	1					
ANR	5865113	AssignmentExpression	* mv = avctx -> priv_data		5865106	2		=			
ANR	5865114	Identifier	mv		5865106	0					
ANR	5865115	PtrMemberAccess	avctx -> priv_data		5865106	1					
ANR	5865116	Identifier	avctx		5865106	0					
ANR	5865117	Identifier	priv_data		5865106	1					
ANR	5865118	IdentifierDeclStatement	AVIOContext * pb = avctx -> pb ;	7:4:112:139	5865106	1	True				
ANR	5865119	IdentifierDecl	* pb = avctx -> pb		5865106	0					
ANR	5865120	IdentifierDeclType	AVIOContext *		5865106	0					
ANR	5865121	Identifier	pb		5865106	1					
ANR	5865122	AssignmentExpression	* pb = avctx -> pb		5865106	2		=			
ANR	5865123	Identifier	pb		5865106	0					
ANR	5865124	PtrMemberAccess	avctx -> pb		5865106	1					
ANR	5865125	Identifier	avctx		5865106	0					
ANR	5865126	Identifier	pb		5865106	1					
ANR	5865127	IdentifierDeclStatement	AVStream * st = avctx -> streams [ mv -> stream_index ] ;	9:4:146:193	5865106	2	True				
ANR	5865128	IdentifierDecl	* st = avctx -> streams [ mv -> stream_index ]		5865106	0					
ANR	5865129	IdentifierDeclType	AVStream *		5865106	0					
ANR	5865130	Identifier	st		5865106	1					
ANR	5865131	AssignmentExpression	* st = avctx -> streams [ mv -> stream_index ]		5865106	2		=			
ANR	5865132	Identifier	st		5865106	0					
ANR	5865133	ArrayIndexing	avctx -> streams [ mv -> stream_index ]		5865106	1					
ANR	5865134	PtrMemberAccess	avctx -> streams		5865106	0					
ANR	5865135	Identifier	avctx		5865106	0					
ANR	5865136	Identifier	streams		5865106	1					
ANR	5865137	PtrMemberAccess	mv -> stream_index		5865106	1					
ANR	5865138	Identifier	mv		5865106	0					
ANR	5865139	Identifier	stream_index		5865106	1					
ANR	5865140	IdentifierDeclStatement	const AVIndexEntry * index ;	11:4:200:225	5865106	3	True				
ANR	5865141	IdentifierDecl	* index		5865106	0					
ANR	5865142	IdentifierDeclType	const AVIndexEntry *		5865106	0					
ANR	5865143	Identifier	index		5865106	1					
ANR	5865144	IdentifierDeclStatement	int frame = mv -> frame [ mv -> stream_index ] ;	13:4:232:271	5865106	4	True				
ANR	5865145	IdentifierDecl	frame = mv -> frame [ mv -> stream_index ]		5865106	0					
ANR	5865146	IdentifierDeclType	int		5865106	0					
ANR	5865147	Identifier	frame		5865106	1					
ANR	5865148	AssignmentExpression	frame = mv -> frame [ mv -> stream_index ]		5865106	2		=			
ANR	5865149	Identifier	frame		5865106	0					
ANR	5865150	ArrayIndexing	mv -> frame [ mv -> stream_index ]		5865106	1					
ANR	5865151	PtrMemberAccess	mv -> frame		5865106	0					
ANR	5865152	Identifier	mv		5865106	0					
ANR	5865153	Identifier	frame		5865106	1					
ANR	5865154	PtrMemberAccess	mv -> stream_index		5865106	1					
ANR	5865155	Identifier	mv		5865106	0					
ANR	5865156	Identifier	stream_index		5865106	1					
ANR	5865157	IdentifierDeclStatement	int ret ;	15:4:278:285	5865106	5	True				
ANR	5865158	IdentifierDecl	ret		5865106	0					
ANR	5865159	IdentifierDeclType	int		5865106	0					
ANR	5865160	Identifier	ret		5865106	1					
ANR	5865161	IdentifierDeclStatement	uint64_t pos ;	17:4:292:304	5865106	6	True				
ANR	5865162	IdentifierDecl	pos		5865106	0					
ANR	5865163	IdentifierDeclType	uint64_t		5865106	0					
ANR	5865164	Identifier	pos		5865106	1					
ANR	5865165	IfStatement	if ( frame < st -> nb_frames )		5865106	7					
ANR	5865166	Condition	frame < st -> nb_frames	21:8:317:338	5865106	0	True				
ANR	5865167	RelationalExpression	frame < st -> nb_frames		5865106	0		<			
ANR	5865168	Identifier	frame		5865106	0					
ANR	5865169	PtrMemberAccess	st -> nb_frames		5865106	1					
ANR	5865170	Identifier	st		5865106	0					
ANR	5865171	Identifier	nb_frames		5865106	1					
ANR	5865172	CompoundStatement		19:32:274:274	5865106	1					
ANR	5865173	ExpressionStatement	index = & st -> index_entries [ frame ]	23:8:352:385	5865106	0	True				
ANR	5865174	AssignmentExpression	index = & st -> index_entries [ frame ]		5865106	0		=			
ANR	5865175	Identifier	index		5865106	0					
ANR	5865176	UnaryOperationExpression	& st -> index_entries [ frame ]		5865106	1					
ANR	5865177	UnaryOperator	&		5865106	0					
ANR	5865178	ArrayIndexing	st -> index_entries [ frame ]		5865106	1					
ANR	5865179	PtrMemberAccess	st -> index_entries		5865106	0					
ANR	5865180	Identifier	st		5865106	0					
ANR	5865181	Identifier	index_entries		5865106	1					
ANR	5865182	Identifier	frame		5865106	1					
ANR	5865183	ExpressionStatement	pos = avio_tell ( pb )	25:8:396:415	5865106	1	True				
ANR	5865184	AssignmentExpression	pos = avio_tell ( pb )		5865106	0		=			
ANR	5865185	Identifier	pos		5865106	0					
ANR	5865186	CallExpression	avio_tell ( pb )		5865106	1					
ANR	5865187	Callee	avio_tell		5865106	0					
ANR	5865188	Identifier	avio_tell		5865106	0					
ANR	5865189	ArgumentList	pb		5865106	1					
